Date,Location,Raw,Speakers,Description,Issue date
JULY 4,"Manchester ' Paddy's Green , "" Burnage - open - air","Manchester ' Paddy's Green , "" Burnage - open - air meeting - Miss J. Heyes , Miss M. Walkhead 8.0","['Miss J. Heyes', 'Miss M. Walkhead']",,"JULY 4 , 1912"
JULY 4,Cirencester - Corn Hall,"Cirencester - Corn Hall - The Rt . Hon . the Earl of Lytton , Miss Rose Sidgwick , Miss Hunter Baillie , Mr. Cameron Grant ( chair ) 4.0","['The Rt. Hon. the Earl of Lytton', 'Miss Rose Sidgwick', 'Miss Hunter Baillie', 'Mr. Cameron Grant']",,"JULY 4 , 1912"
JULY 4,Pershore Mrs. Harrison's Suffrage Tea,Pershore Mrs. Harrison's Suffrage Tea - Miss Muriel Matters 8.0,['Miss Muriel Matters'],,"JULY 4 , 1912"
JULY 4,"Nottingham - Tanley House , Carisbrooke Drive The Misses de Hersant's garden meeting","Nottingham - Tanley House , Carisbrooke Drive The Misses de Hersant's garden meeting - Miss Eva Ward , B.A. , Mrs. W. E. Dowson ( chair ) 3.30","['Miss Eva Ward', 'Mrs. W. E. Dowson']",,"JULY 4 , 1912"
JULY 4,Chester - le - street - garden party,"Chester - le - street - garden party - Miss Lucas , Miss I. S. A. Beaver 3.30","['Miss Lucas', 'Miss I. S. A. Beaver']",,"JULY 4 , 1912"
JULY 5,"Cambridge - 18 , Hobson St.","Cambridge - 18 , Hobson St. - Speakers ' Debate 6.0",,Speakers' Debate,"JULY 4 , 1912"
JULY 5,"Solihull and District - Sunny Croft , Knowle - Mrs . Lionel Smallwood's garden meeting","Solihull and District - Sunny Croft , Knowle - Mrs . Lionel Smallwood's garden meeting- Miss Muriel Matters , Lady Isobel Margesson , Rev. W. Ingham - Brooke ( chair ) 3.30","['Miss Muriel Matters', 'Lady Isobel Margesson', 'Rev. W. Ingham-Brooke']",,"JULY 4 , 1912"
JULY 5,Solihuli and District Henley - in - Arden - open - air meeting,"Solihuli and District Henley - in - Arden - open - air meeting - Miss Muriel Matters , Rev. W. Ingham Brooke ( ohair ) 7.30","['Miss Muriel Matters', 'Rev. W. Ingham Brooke']",,"JULY 4 , 1912"
JULY 5,"Nottingham- "" East Dene , "" Alexandra Mrs. Park- garden","Nottingham- "" East Dene , "" Alexandra Mrs. Park- garden W. R. Hamilton's meeting J. G. Warren , Esq . ( chair ) 7.30","['W. R. Hamilton', 'J. G. Warren, Esq.']",,"JULY 4 , 1912"
JULY 5,Bristol - Durdham Downs - open - air,"Bristol - Durdham Downs - open - air H. C. Hicks , Mr. T. L. Pearson 3.0","['H. C. Hicks', 'Mr. T. L. Pearson']",,"JULY 4 , 1912"
JULY 5,Hitchin - Old Grammar School,Hitchin - Old Grammar School - cake sale 7.0,,,"JULY 4 , 1912"
JULY 5,Brancepeth - open - air meeting,"Brancepeth - open - air meeting - Miss I , S. A. Beaver Miss C. M. Gordon afternoon",,,"JULY 4 , 1912"
JULY 6,"Accrington - Moorside House , Altham - garden party","Accrington - Moorside House , Altham - garden party ( by permission of Mrs. Haworth ) - music , dramatic performance , etc.- speaker , Miss A , Maude Royden- Admission 6d . 3-9",['Miss A. Maude Royden'],,"JULY 4 , 1912"
