Date,Location,Raw,Issue date
January 10th,Bow,"Bow , The Obelisk . Miss Rogers . 8 p.m.","January 10 , 1913"
January 10th,Bromley,"Bromley , Small Hall . Miss Hunt ... 3 p.m.","January 10 , 1913"
January 10th,Bromley,"Bromley , Public Hall . Mr. George Lansbury , Mrs. Drummond 8 p.m.","January 10 , 1913"
January 10th,Clapham,"Clapham , The Plough . Miss Guttridge 8 p.m.","January 10 , 1913"
January 10th,N. Kensington,"N. Kensington , 3 , Testerton - street . Women's Meet- ing . Dr. L. Garrett - Anderson .. 2.30 p.m.","January 10 , 1913"
January 10th,N. Kensington,"N. Kensington , Lancaster - road Baths . Mrs. Bartlett 7.30 p.m.","January 10 , 1913"
January 10th,Poplar,"Poplar , 157 , East India Dock - road . Dr. Helen Gordon 8 p.m.","January 10 , 1913"
January 10th,Sloane - square,"Sloane - square . Miss Canning , Mrs. Temple Bird 12 noon","January 10 , 1913"
January 10th,Stepney - green,Stepney - green . Miss Wingrove 7.30 p.m.,"January 10 , 1913"
January 11th,Bow,"Bow , Vernon - road . Miss Hopkins .. 3 p.m.","January 10 , 1913"
January 11th,Hammersmith,"Hammersmith , Avenue Chapel , Avenue - road , Gold- hawk - road . Debate . Miss P. Ayrton 7.30 p.m.","January 10 , 1913"
January 11th,Harlesden,"Harlesden , Manor Park - road . Miss P. Rickards 8 p.m.","January 10 , 1913"
January 11th,Ilford,"Ilford , Balfour - rond . Miss Bonwick , B.A ... 8 p.m.","January 10 , 1913"
January 11th,Kingston,"Kingston , Church - street . Mrs. Theresa Gough . Chair : Mrs. Dacre Fox .. 12 noon","January 10 , 1913"
January 11th,Lincoln's Inn House,"Lincoln's Inn House , Kingsway . Procession to Holloway Prison Chair : Miss Phillips 7.30 p.m.","January 10 , 1913"
January 11th,N. Kensington,"N. Kensington , 3. Testerton - street . Miss Canning . 2.30 p.m.","January 10 , 1913"
January 11th,N. Kensington,"N. Kensington , 235. Portobello - road . Mrs. Porch 2.30 p.m.","January 10 , 1913"
January 11th,Stratford,"Stratford , Maryland Point . Mrs. Bouvier . Chair : Miss Friedlaender .. 8 p.m.","January 10 , 1913"
January 11th,Stepney,"Stepney , Mile - end Waste . Miss R. Barry . Chair : Miss Humo 8 p.m.","January 10 , 1913"
January 11th,Wimbledon - broadway,Wimbledon - broadway . Miss Daisy Gibbs . Chair : Miss Belile . 7 p.m.,"January 10 , 1913"
January 11th,World's - end,World's - end . Miss Kelly . Chair : Miss F. Haig .. 8 p.m.,"January 10 , 1913"
January 12th,Bethnal - green,"Bethnal - green , 30 , York - street . Miss S. Pankhurst 3 p.m","January 10 , 1913"
January 12th,Wimbledon - common,Wimbledon - common . Mrs. Bouvier 11.30 a.m.,"January 10 , 1913"
January 12th,Hampstead - heath,"Hampstead - heath , Flagstaff . Miss Nancy Lightman 3 p.m.","January 10 , 1913"
January 13th,Bermondsey,"Bermondsey , Oakley - place . Miss Coombs , Miss Lynch 8 p.m.","January 10 , 1913"
January 13th,Bethnal - green,"Bethnal - green , Blythe - street Institute . Miss S. Pankhurst , Mr. Charles Gray .. 8 p.m.","January 10 , 1913"
