Date,Location,Raw,Speakers,Time,Description,Hosts,Issue date
OCTOBER 24,"Birmingham - Lawn House, Edgbaston - Mrs. Walter Barrow's drawing-room meeting","Birmingham - Lawn House , Edgbaston - Mrs . Walter Barrow's drawing - room meeting - Mrs . F. T. Swanwick - Mrs . Godlee ( chair )",['Mrs. F. T. Swanwick'],3.30,,,"OCTOBER 24, 1912"
OCTOBER 24,North Shields - Percy Hall,North Shields - Percy Hall - Dr . Ethel Williams,['Dr. Ethel Williams'],8.0,,,"OCTOBER 24, 1912"
OCTOBER 24,Kettering- Cross Keys Assembly Room,"Kettering- Mrs. Chew , Rev. Lewis Johnson - Joint meeting of N.U. and I.L.P. -Cross Keys Assembly Room","['Mrs. Chew', 'Rev. Lewis Johnson']",8.0,Joint meeting of N.U. and I.L.P.,,"OCTOBER 24, 1912"
OCTOBER 24,Bargoed Skating Rink,"Bargoed Skating Rink - Miss Helen Fraser , Miss Bessie Davies","['Miss Helen Fraser', 'Miss Bessie Davies']",7.30,,,"OCTOBER 24, 1912"
OCTOBER 24,Durham Town Hall,"Durham Town Hall - Rev . E. Pace , N.A.B.D. ( chair ) , Miss Margaret Robertson",['Miss Margaret Robertson'],8.6,,,"OCTOBER 24, 1912"
OCTOBER 24,Birmingham - Harborne Garden Village Institute,"Birmingham - Harborne Garden Village Institute- Mrs. F. T. Swanwick , M.A. , Councillor Appleby ( chair )","['Mrs. F. T. Swanwick, M.A.']",,,,"OCTOBER 24, 1912"
OCTOBER 24,Bristol - The Coliseum,Bristol - The Coliseum - Suffrage Stall - The Misses Chate,['The Misses Chate'],12-10,Suffrage Stall,,"OCTOBER 24, 1912"
OCTOBER 25,Worcester Co-operative Hall,Worcester Co - operative Hall - Worcester Women's Liberal Association - Mrs . Ring,['Mrs. Ring'],3.30,,,"OCTOBER 24, 1912"
OCTOBER 25,Penygraig Chapel Vestry,"Penygraig Chapel Vestry --Miss Helen Fraser , Mrs. Jameson Williams","['Miss Helen Fraser', 'Mrs. Jameson Williams']",,,,"OCTOBER 24, 1912"
OCTOBER 25,Bristol - The Coliseum,"Bristol - The Coliseum - Suffrage Stall - Miss Baker , Miss Stock","['Miss Baker', 'Miss Stock']",12-10,Suffrage Stall,,"OCTOBER 24, 1912"
