Date,Location,Raw,Speakers,Description,Issue date
September 26,"Battersea, Mossbury Road","Battersea, Mossbury Road. M.P.U. Mr. H. Bark, Rev. C. A. Wills ... 8 p.m.","['Mr. H. Bark', 'Rev. C. A. Wills']",,"September 26, 1913"
September 26,"Balham, Caistor Road","Balham, Caistor Road. ... 8 p.m.",[],,"September 26, 1913"
September 26,"Bow, Ford Road","Bow, Ford Road. Mrs. Weller ... 3 ... 8 p.m.",['Mrs. Weller'],,"September 26, 1913"
September 26,"Ealing, opposite Ye Olde Hatte","Ealing, opposite Ye Olde Hatte. M.P.U. Mr. F. Richards, Mr. E. Mewett ... 8 p.m.","['Mr. F. Richards', 'Mr. E. Mewett']",,"September 26, 1913"
September 26,"Golder's Green, Cheapside","Golder's Green, Cheapside. Miss Bonwick, B.A., Miss Burton ... 8 p.m.","['Miss Bonwick, B.A.', 'Miss Burton']",,"September 26, 1913"
September 26,Highgate,"Highgate, High Street and Southwood Lane. Miss Prankerd, B.Sc. ... 8 p.m.","['Miss Prankerd, B.Sc.']",,"September 26, 1913"
September 26,"Ilford, Broadway Chambers","Ilford, Broadway Chambers. Miss Hicks, M.A. ... 8 p.m.","['Miss Hicks, M.A.']",,"September 26, 1913"
September 26,"Manor Park, Earl of Essex","Manor Park, Earl of Essex. M.P.U. Mrs. E. Duval, Mr. Allan Clark, Mr. C. E. Rembridge ... 8 p.m.","['Mrs. E. Duval', 'Mr. Allan Clark', 'Mr. C. E. Rembridge']",,"September 26, 1913"
September 26,"Muswell Hill, Queen's Avenue","Muswell Hill, Queen's Avenue, Miss Myers. Miss Pepper ... 8 p.m.","['Miss Myers', 'Miss Pepper']",,"September 26, 1913"
September 26,North Kensington,"North Kensington, corner of Blenheim Crescent and Portobello Road. Miss Jacobs, Chair: Miss E. Rushbrooke ... 8.15 p.m.",['Miss Jacobs'],,"September 26, 1913"
September 26,"Old Kent Road, corner of Paragon Mews","Old Kent Road, corner of Paragon Mews. M.P.U. ""Mr. E. Sullivan, Mr. H. J. Gillespie ... 8 p.m.","['Mr. E. Sullivan', 'Mr. H. J. Gillespie']",,"September 26, 1913"
September 26,Sloane Square,Sloane Square. Miss Naylor. Chair: Miss Medwin ... 12.15 p.m.,['Miss Naylor'],,"September 26, 1913"
September 26,"South Wimbledon, Bay Tree Assembly Room, Kingston Road","South Wimbledon, Bay Tree Assembly Room, Kingston Road. Mrs. Dacre Fox. Chair: Mr. F. G. Bell ... 8. p.m.",['Mrs. Dacre Fox'],,"September 26, 1913"
September 26,Tower Hill,"Tower Hill. M.P.U. Mr. Charles Gray, Mr. H. J. Gillespie ... 1 p.m.","['Mr. Charles Gray', 'Mr. H. J. Gillespie']",,"September 26, 1913"
September 26,"Upper Holloway, Pemberton Gardens","Upper Holloway, Pemberton Gardens. Miss Barry. Miss Darton ... 8 p.m.","['Miss Barry', 'Miss Darton']",,"September 26, 1913"
September 26,"West Ham, Stratford Broadway","West Ham, Stratford Broadway. Miss Hopkins. Miss Brice ... 7.30 p.m.","['Miss Hopkins', 'Miss Brice']",,"September 26, 1913"
September 26,Willesden Green Library,"Willesden Green Library. Mr. Lawrence, Miss Short ... 8 p.m.","['Mr. Lawrence', 'Miss Short']",,"September 26, 1913"
September 26,"Birmingham, Queen's College","Birmingham, Queen's College. Miss Gladys Hazel ... 8 p.m.",['Miss Gladys Hazel'],,"September 26, 1913"
September 26,"Dundee, Panmure Street","Dundee, Panmure Street, Miss Grant, Miss Cuthbert ... 8 p.m.","['Miss Grant', 'Miss Cuthbert']",,"September 26, 1913"
September 26,Edinburgh,Edinburgh. Miss Lambie ... 8 p.m.,['Miss Lambie'],,"September 26, 1913"
September 26,"Edinburgh, Mound","Edinburgh, Mound. M.P.U. Mr. Burne ... 8 p.m.",['Mr. Burne'],,"September 26, 1913"
September 26,"Newcastle, Craghead","Newcastle, Craghead. Miss Eden, Miss Faulkner ... 6.30 p.m.","['Miss Eden', 'Miss Faulkner']",,"September 26, 1913"
September 26,"Newcastle, Wallsend","Newcastle, Wallsend. Mrs. Crow, Miss Wilcox ... 7 p.m.","['Mrs. Crow', 'Miss Wilcox']",,"September 26, 1913"
September 26,"Reading, The Butts","Reading, The Butts. Mr. O. Gray. Chair: Miss O. Cobb ... 7.30 p.m.",['Mr. O. Gray'],,"September 26, 1913"
September 27,"Cricklewood, Clock Tower","Cricklewood, Clock Tower. Miss Joan Dugdale ... 8 p.m.",['Miss Joan Dugdale'],,"September 26, 1913"
September 27,"Finchley, Church End G.N.R. Station","Finchley, Church End G.N.R. Station. ... 8 p.m.",,,"September 26, 1913"
September 27,"Highgate, Northlands, Bishopswood Road","Highgate, Northlands, Bishopswood Road, Miss L. Tyson. Chair: Miss Bonwick, B.A. Hostess: Mrs. Yeoman ... 4 p.m.",['Miss L. Tyson'],,"September 26, 1913"
September 27,"Holloway Road, Jones Bros","Holloway Road, Jones Bros. Mrs. John Brindley. Miss Kirby ... 8 p.m.","['Mrs. John Brindley', 'Miss Kirby']",,"September 26, 1913"
September 27,"Ilford, Balfour Road","Ilford, Balfour Road ... 8 p.m.",,,"September 26, 1913"
September 27,Kingston,Kingston. Miss L. Tyson. Chair: Mrs. Matthews ... 8 p.m.,['Miss L. Tyson'],,"September 26, 1913"
September 27,"Harrow, Havelock Road","Harrow, Havelock Road. M.P.U. Mr. R. H. Burnell, Mr. A. Mackinlay ... 7.30 p.m.","['Mr. R. H. Burnell', 'Mr. A. Mackinlay']",,"September 26, 1913"
September 27,Kingston,Kingston. Mr. Hemingway and others. Chair: Mr. Matthews ... 12 noon,['Mr. Hemingway'],,"September 26, 1913"
September 27,"Palmer's Green, Alderman's Hill","Palmer's Green, Alderman's Hill. Miss Jacobs ... 8 p.m.",['Miss Jacobs'],,"September 26, 1913"
September 27,"Sydenham, near Telephone Exchange","Sydenham, near Telephone Exchange ... 7.30 p.m.",,,"September 26, 1913"
September 27,"South Wimbledon, Broadway","South Wimbledon, Broadway. Miss Elsa Myers ... 4 p.m.",['Miss Elsa Myers'],,"September 26, 1913"
September 27,"Wandsworth, Council House","Wandsworth, Council House. Miss Hicks, M.A. ... 8 p.m.","['Miss Hicks, M.A.']",,"September 26, 1913"
September 27,"West Ham, Forest Gate Station","West Ham, Forest Gate Station. Miss Palmer. Miss Harbott ... 7.30 p.m.","['Miss Palmer', 'Miss Harbott']",,"September 26, 1913"
September 27,"Westminster, Regency Place","Westminster, Regency Place. Miss Margaret Wright ... 8 p.m.",['Miss Margaret Wright'],,"September 26, 1913"
September 27,"Birmingham, Saltley, Alum Rock Road","Birmingham, Saltley, Alum Rock Road. Miss L. Mitchell ... 7 p.m.",['Miss L. Mitchell'],,"September 26, 1913"
September 27,"Dundee, Greenmarket","Dundee, Greenmarket. Miss Grant ... 7.30 p.m",['Miss Grant'],,"September 26, 1913"
September 27,"Manchester, Rusholme Place, Wilmslow Road","Manchester, Rusholme Place, Wilmslow Road. Miss P. Woodlock ... 7 p.m.",['Miss P. Woodlock'],,"September 26, 1913"
September 27,"Newcastle, Ferryhill","Newcastle, Ferryhill. Mrs. Blanche, Mrs. Crow ... 3 p.m.","['Mrs. Blanche', 'Mrs. Crow']",,"September 26, 1913"
September 28,Battersea Park,Battersea Park. Miss Wright .... ... 5.30 p.m.,['Miss Wright'],,"September 26, 1913"
September 28,"Bow, Ford Road","Bow, Ford Road. M.P.U. Mr. W. Cullen, Mr. Allan Clark ... 11.30 a.m.","['Mr. W. Cullen', 'Mr. Allan Clark']",,"September 26, 1913"
September 28,"Bethnal Green Road, Club Row","Bethnal Green Road, Club Row. M.F.W.S. Mr. John Quinn. Chair: Mr. W. Cullen ... ... 7 p.m.",['Mr. John Quinn'],,"September 26, 1913"
September 28,"Poplar, East India Dock Gates","""Miss Randall ... 11.30 a.m.",['Miss Randall'],,"September 26, 1913"
