Date,Location,Raw,Time,Speakers,Description,Issue date
"January 15, 1910","Rehearsal Theatre, Streatham","Preparations are now complete for the meeting of the Drummers ' Union in the Rehearsal Theatre to - morrow night , and a few tickets only remain to be sold . They can be had from Miss Janet MacLeod , 9 , Thornton Avenue , Streatham.",night,,,"January 14, 1910"
"Late April, 1910",Scotland,"Preparations are going on apace for the Scottish Exhi- bition of the W.S.P.U. to be opened by Dr. Garrett Anderson late in April . At this exhibition the "" Pageant of Great Women , "" given in London by the Actresses ' Franchise League , will be repeated.",late,['Dr. Garrett Anderson'],,"January 14, 1910"
"January 15, 1910",London,"Details of a ""Votes for Women "" Parade , taking place in London to - day , will be found on p . 245",10.30 a.m.,,Votes for Women Parade,"January 14, 1910"
"January 17, 1910","Queen's Hall, Langham Place, London","All those interested in the Women's Social and Political Union's General Election campaign will be glad to know that they will have an opportunity of hearing a number of Suff- rage speakers every Monday afternoon at the Queen's Hall , Langham Place, from 3 to 5",3 to 5 p.m.,"['Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst']",,"January 14, 1910"
"January 17, 1910","Queen's Hall, Langham Place, London","Next Monday afternoon the speakers will be Mrs. Pethick Law- rence and Miss Christabel Pankhurst , and Miss Decima Moore will recite "" Woman This and Woman That . """,3 to 5 p.m.,"['Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst', 'Miss Decima Moore']",,"January 14, 1910"
"January 20, 1910","St. James's Hall, Great Portland Street, London","they will have an opportunity of hearing a number of Suff- rage speakers every ... Thursday evening at St. James's Hall, Great Portland Street , from 8 to 10.",8 to 10 p.m.,,,"January 14, 1910"
"January 20, 1910","Cabmen's Club and Institute, St. Martin's Street, W.C., London","Another meeting for taxicab and other drivers will be held at the Cabmen's Club and Institute , St. Martin's Street , W.C. , on January 20 , at 8 p.m.",8 p.m.,,,"January 14, 1910"
"January, 1910","London, 53, Berners Street","National Health Society , 53 , Berners St. , W. WOMEN Sanitary Inspectors , Health Visitors and Lecturers . SPECIAL TRAINING LECTURES FOR LADIES , JANUARY , 1910 . For Particulars apply to the SECRETARY , NATIONAL HEALTH SOCIETY , 53 , Berners Street , London , W.",Unspecified,[],,"January 14, 1910"
"January 11, 1910","Battersea Town Hall, Battersea","To - night ( Friday ) , at the Battorsea Town Hall , Miss Christabel Pankhurst and Miss Georgina Brackenbury will speak .",,"['Miss Christabel Pankhurst', 'Miss Georgina Brackenbury']",,"January 14, 1910"
"January 15, 1910","Battersea Square, Battersea","Saturday . Battersea Square , Open - air Meeting , 7.30",7.30,,,"January 14, 1910"
"January 15, 1910","Aliwal Road, Battersea","Aliwal Road . Open - air Meeting , 7.30",7.30,,,"January 14, 1910"
"January 15, 1910","Cedars Road, Battersea","Cedars Road , Open - air Meeting , 7.30",7.30,,,"January 14, 1910"
"January 15, 1910","Kerrison Street, Battersea","Kerrison Street , Open - air Meeting , 7.30",7.30,,,"January 14, 1910"
"January 15, 1910","Neath Street, Battersea","Neath Street , Open - air Meeting , 7.30",7.30,,,"January 14, 1910"
"January 15, 1910","Prince's Head, Battersea","Prince's Head , Open - air Meeting , 7.30",7.30,,,"January 14, 1910"
"January 15, 1910","Rossbuy Rd, Battersea","Rossbuy Rd , Open - air Meeting , 7.30",7.30,,,"January 14, 1910"
"January 14, 1910","Avondale Hall, Stockwell, Brixton","Friday . - Avondale Hall , Mrs. Pethick Lawrence , 8 .",8,['Mrs. Pethick Lawrence'],,"January 14, 1910"
"January 14, 1910","Chelsea Durham Wharf, Chelsea","Friday . Chelsea Durham Wharf , Miss Canning 12",12,['Miss Canning'],,"January 14, 1910"
"January 14, 1910","Sloane Square, Chelsea","Sloane Square , Miss Wyatt , Dr. Murray , 7.30",7.30,"['Miss Wyatt', 'Dr. Murray']",,"January 14, 1910"
"January 14, 1910","Caroline Place, Chelsea","Caroline Place , Miss Pitfield , Miss Kelley , 7.30",7.30,"['Miss Pitfield', 'Miss Kelley']",,"January 14, 1910"
"January 14, 1910","World's End, Chelsea","World's End , Miss Hudson , Miss Barry , 7.30 .",7.30,"['Miss Hudson', 'Miss Barry']",,"January 14, 1910"
"January 15, 1910","Sloane Square, Chelsea","Saturday . - Sloane Square , Miss Hudson , Miss Can- ning , 12.30",12.30,"['Miss Hudson', 'Miss Canning']",,"January 14, 1910"
"January 15, 1910","Flood Street, Chelsea","Flood Street , Miss Shej pard , 12.30",12.30,['Miss Sheppard'],,"January 14, 1910"
"January 15, 1910","Chelsea Common, Chelsea","Chelsea Common , Miss Sheppard , Miss Pitfleld , 7.30",7.30,"['Miss Sheppard', 'Miss Pitfield']",,"January 14, 1910"
"January 15, 1910","Caroline Place, Chelsea","Caroline Place , Miss Barry , 7.30",7.30,['Miss Barry'],,"January 14, 1910"
"January 15, 1910","World's . End, Chelsea","World's . End , Miss Canning , 7.30 .",7.30,['Miss Canning'],,"January 14, 1910"
"January 17, 1910","Sloane Square, Chelsea","Monday . Sloane Square , Miss Naylor , 12.30",12.30,['Miss Naylor'],,"January 14, 1910"
"January 17, 1910","Mark- ham Square, Chelsea","Mark- ham Square , Miss Sheppard , 12.30",12.30,['Miss Sheppard'],,"January 14, 1910"
"January 17, 1910","Sloane Square, Chelsea","Sloane Square , Mrs. Lamartine Yates , 7.30",7.30,['Mrs. Lamartine Yates'],,"January 14, 1910"
"January 17, 1910","Flood Street, Chelsea","Flood Street , Miss Gilliatt , Miss Hudson , 7.30",7.30,"['Miss Gilliatt', 'Miss Hudson']",,"January 14, 1910"
"January 17, 1910","Mill- man Street, Chelsea","Mill- man Street , Miss Sheppard , Miss Jarvis , 7.30",7.30,"['Miss Sheppard', 'Miss Jarvis']",,"January 14, 1910"
"January 17, 1910","World's End, Chelsea","World's End , Miss Naylor , 7.30 .",7.30,['Miss Naylor'],,"January 14, 1910"
"January 14, 1910","Harrow Road and Third Avenue, Kensal Town","Friday - Harrow Road and Third Avenue , Miss Can- ning . 7.30",7.30,['Miss Canning'],,"January 14, 1910"
"January 14, 1910","Hastlewood Crescent and Go'borne Roid, Kensal Town","Hastlewood Crescent and Go'borne Roid , Miss Downing , 7.30",7.30,['Miss Downing'],,"January 14, 1910"
"January 14, 1910","Kilburn Lane, Falcon, Kensal Town","Kilburn Lane , Falcon , Miss M. Sheppard , 7.30 .",7.30,['Miss M. Sheppard'],,"January 14, 1910"
"January 15, 1910","3rd Avenue, Kensal Town","3rd Avenue , Mrs. Hentschel , Miss Canning",,"['Mrs. Hentschel', 'Miss Canning']",,"January 14, 1910"
"January 15, 1910","Golborne Road, Kensal Town","Golborne Road , Miss C. Downing , Miss Mac kenzie",,"['Miss C. Downing', 'Miss Mac kenzie']",,"January 14, 1910"
"January 15, 1910","6th Avenue, Kensal Town","6th Avenue , Miss Sheppard , Miss East .",,"['Miss Sheppard', 'Miss East']",,"January 14, 1910"
"January 15, 1910","St. Jude's Institute, Ilbert Street, Kensal Town","Saturday . - 3rd Avenue , Miss Daisy Solomon , Miss Naylor , Kilburn Lane ( Falcon ) , Miss East , Miss Mackenzie : 6th Avenue , Miss Downing : Public Meeting , St. Jude's Institute , Ilbert Street , Mrs. Pethick Lawrence ; Mrs. Saul Solomon , Mr. H. W. Nevinson , 3 .",3,"['Mrs. Pethick Lawrence', 'Mrs. Saul Solomon', 'Mr. H. W. Nevinson']",,"January 14, 1910"
"January 15, 1910","Kilburn Lane (Falcon), Kensal Town","Saturday . - 3rd Avenue , Miss Daisy Solomon , Miss Naylor , Kilburn Lane ( Falcon ) , Miss East , Miss Mackenzie : 6th Avenue , Miss Downing : Public Meeting , St. Jude's Institute , Ilbert Street , Mrs. Pethick Lawrence ; Mrs. Saul Solomon , Mr. H. W. Nevinson , 3 .",,"['Miss East', 'Miss Mackenzie']",,"January 14, 1910"
"January 15, 1910","6th Avenue, Kensal Town","Saturday . - 3rd Avenue , Miss Daisy Solomon , Miss Naylor , Kilburn Lane ( Falcon ) , Miss East , Miss Mackenzie : 6th Avenue , Miss Downing : Public Meeting , St. Jude's Institute , Ilbert Street , Mrs. Pethick Lawrence ; Mrs. Saul Solomon , Mr. H. W. Nevinson , 3 .",,['Miss Downing'],,"January 14, 1910"
"January 17, 1910","3rd Avenue, Kensal Town","Monday . - 3rd Avenue , Miss East , Miss C. Downing , Golborne Road : Miss Mackenzie , Mrs. Pitfield ; 6th Avenue , Mrs. Hentschel , Miss Canning ; Women's meeting , St. John's School , Kilburn Lane , at 3 , Miss Canning , Mrs. Solomon ; dinner hour meetings each day .",,"['Miss East', 'Miss C. Downing']",,"January 14, 1910"
"January 17, 1910","Golborne Road, Kensal Town","Monday . - 3rd Avenue , Miss East , Miss C. Downing , Golborne Road : Miss Mackenzie , Mrs. Pitfield ; 6th Avenue , Mrs. Hentschel , Miss Canning ; Women's meeting , St. John's School , Kilburn Lane , at 3 , Miss Canning , Mrs. Solomon ; dinner hour meetings each day .",,"['Miss Mackenzie', 'Mrs. Pitfield']",,"January 14, 1910"
"January 17, 1910","6th Avenue, Kensal Town","Monday . - 3rd Avenue , Miss East , Miss C. Downing , Golborne Road : Miss Mackenzie , Mrs. Pitfield ; 6th Avenue , Mrs. Hentschel , Miss Canning ; Women's meeting , St. John's School , Kilburn Lane , at 3 , Miss Canning , Mrs. Solomon ; dinner hour meetings each day .",,"['Mrs. Hentschel', 'Miss Canning']",,"January 14, 1910"
"January 17, 1910","St. John's School, Kilburn Lane, Kensal Town","Monday . - 3rd Avenue , Miss East , Miss C. Downing , Golborne Road : Miss Mackenzie , Mrs. Pitfield ; 6th Avenue , Mrs. Hentschel , Miss Canning ; Women's meeting , St. John's School , Kilburn Lane , at 3 , Miss Canning , Mrs. Solomon ; dinner hour meetings each day .",3,"['Miss Canning', 'Mrs. Solomon']",Women's meeting,"January 14, 1910"
"January 14, 1910","Town Hall, Fulham","On Thursday the Drum and Fife Band and to - day the W.S.P.U. motor- car advertise the Town Hall meeting for to- night ( Friday ) , at which Miss Naylor will take the chair , and Miss C. Pankhurst and Mr. H. W. Nevinson will be the speakers .",8,"['Miss C. Pankhurst', 'Mr. H. W. Nevinson']",,"January 14, 1910"
"January 16, 1910",Fulham,"Next Sunday , on the Common , at 3 p.m. , Mrs. Lamartine - Yates will be in the chair , and there will be other speakers .",3 p.m.,['Mrs. Lamartine - Yates'],,"January 14, 1910"
"January 17, 1910","Corner of Hornsey and Grove Roads, Islington","Monday Corner of Hornsey and Grove Roads , Mrs. Williams and Miss Gibson",7.30,"['Mrs. Williams', 'Miss Gibson']",,"January 14, 1910"
"January 17, 1910","Corner of Holloway and Windsor Roads, Islington","Corner of Holloway and Windsor Roads , Misses Darton and Bon- wick",7.30,"['Misses Darton', 'Bonwick']",,"January 14, 1910"
"January 17, 1910","Corner of Holloway and Eltsorno Roads, Islington","Corner of Holloway and Eltsorno Roads , Misses Kendal and F. Spong , all at 7.30 .",7.30,"['Misses Kendal', 'F. Spong']",,"January 14, 1910"
"January 18, 1910","Upper Hornsey Road Schools, Islington","Tuesday . Upper Hornsey Road Schools ( for women ) , Misses Bidwell and Bonwick , 8",8,"['Misses Bidwell', 'Bonwick']",for women,"January 14, 1910"
"January 18, 1910","Corner of Hanley Road and Crouch Hill, Islington","Corner of Hanley Road and Crouch Hill , Mrs. Williams and Miss F. Spong",7.30,"['Mrs. Williams', 'Miss F. Spong']",,"January 14, 1910"
"January 18, 1910","Corner of Hornsey and Grove Roads, Islington","Corner of Hornsey and Grove Roads , Misses Cass rley and Hume , 7.30 .",7.30,"['Misses Cass rley', 'Hume']",,"January 14, 1910"
"January 19, 1910","Corner of Holloway and Windsor Roads, Islington",Wednesday . - Corner of Holloway and Windsor Roads . Misses Darton and McNamara,7.30,"['Misses Darton', 'McNamara']",,"January 14, 1910"
"January 19, 1910","Corner of Hornsey and Grove Roads, Islington","Corner of Hornsey and Grove Roads , Misses Herbert and Bonwick Corner of Holloway and Eltsorne Roads, 7.30 .",7.30,"['Misses Herbert', 'Bonwick']",,"January 14, 1910"
"January 19, 1910","Corner of Holloway and Eltsorne Roads, Islington","Corner of Hornsey and Grove Roads , Misses Herbert and Bonwick Corner of Holloway and Eltsorne Roads, 7.30 .",7.30,,,"January 14, 1910"
"January 20, 1910","Corner of Hornsey and Grove Roads, Islington","Thursday , Corner of Hornsey and Grove Roads , Mrs. Williams and Miss McNamara ; Corner of Hollo- way and Windsor Roads , Miss Hume ; Corner of Hanley Road and Crouch Hill , Miss Bonwick , 7.30 .",7.30,"['Mrs. Williams', 'Miss McNamara']",,"January 14, 1910"
"January 20, 1910","Corner of Holloway and Windsor Roads, Islington","Thursday , Corner of Hornsey and Grove Roads , Mrs. Williams and Miss McNamara ; Corner of Hollo- way and Windsor Roads , Miss Hume ; Corner of Hanley Road and Crouch Hill , Miss Bonwick , 7.30 .",7.30,['Miss Hume'],,"January 14, 1910"
"January 20, 1910","Corner of Hanley Road and Crouch Hill, Islington","Thursday , Corner of Hornsey and Grove Roads , Mrs. Williams and Miss McNamara ; Corner of Hollo- way and Windsor Roads , Miss Hume ; Corner of Hanley Road and Crouch Hill , Miss Bonwick , 7.30 .",7.30,['Miss Bonwick'],,"January 14, 1910"
"January 21, 1910","Corner of Holloway and Windsor Roads, Islington","Friday Corner of Holloway and Windsor Roads . Miss Darton ; Corner of Holloway and Eltsorne Roads , Misses Herbert and Bonwick ; Corner of Hornsey and Grove Roads , 7.30 .",,['Miss Darton'],,"January 14, 1910"
"January 21, 1910","Corner of Holloway and Eltsorne Roads, Islington","Friday Corner of Holloway and Windsor Roads . Miss Darton ; Corner of Holloway and Eltsorne Roads , Misses Herbert and Bonwick ; Corner of Hornsey and Grove Roads , 7.30 .",,"['Misses Herbert', 'Bonwick']",,"January 14, 1910"
"January 21, 1910","Corner of Hornsey and Grove Roads, Islington","Friday Corner of Holloway and Windsor Roads . Miss Darton ; Corner of Holloway and Eltsorne Roads , Misses Herbert and Bonwick ; Corner of Hornsey and Grove Roads , 7.30 .",7.30,,,"January 14, 1910"
"January 14, 1910","Acklam Road and St. Ervan's Road, Notting Hill, Kensington","Friday . - Acklam Road and St. Ervan's Road , Miss Brackenbury , Miss Morrison , B.A. , 12.30",12.30,"['Miss Brackenbury', 'Miss Morrison']",,"January 14, 1910"
"January 14, 1910","Lancaster Road and Ladbroke Grove, Kensington","Lan- caster Road and Ladbroke Grove , Miss B. Wylie , 7",7,['Miss B. Wylie'],,"January 14, 1910"
