Date,Location,Raw,Description,Hosts,Speakers,Time,Issue date
JUNE 23,"Felixstowe, The Park","JUNE 23 . Nottingham - Felixstowe, The Park - Garden Fête and Sale . Hon . Mrs. Handforth .",Garden Fête and Sale,['Hon. Mrs. Handforth'],,,1910-06-23
JUNE 23,London (Bermondsey) - Settlement Lecture Hall,"London (Bermondsey) -Settlement Lecture Hall - Rev . J. Scott Lidgett , Miss Palliser .",,,"['Rev. J. Scott Lidgett', 'Miss Palliser']",,1910-06-23
JUNE 23,Derby - The New Forest (Hants) - Milton,"Derby - The New Forest 3.0-10.30
(Hants) -Milton Garden Meeting - Mrs . Hall",Garden Meeting,['Mrs. Hall'],,3.0-10.30,1910-06-23
JUNE 23,Wallasey and Wirral - Egremont Promenade,Wallasey and Wirral - Egremont Promenade - Open - air Meeting-,Open-air Meeting,,,7.0,1910-06-23
JUNE 23,North Herts. - Kempton Village Hall,North Herts . - Kempton Village Hall - Mrs . Wathen .,,,['Mrs. Wathen'],,1910-06-23
JUNE 23,Leeds - The Institute,Leeds - The Institute - Miss Fielden .,,,['Miss Fielden'],,1910-06-23
JUNE 24,"Edinburgh - 40, Shandwick Place","JUNE 24 . Edinburgh - 40 , Shandwick Place - Rev . C. Scott Moncrieff .",,,['Rev. C. Scott Moncrieff'],,1910-06-23
JUNE 24,"Bournemouth - Princes' Hall, Grand Hotel","Bournemouth - Princes ' Hall , Grand Hotel - Mrs . Stanbury - Tea .",,,['Mrs. Stanbury'],4.0,1910-06-23
JUNE 24,London (Willesden),"London (Willesden) -Garden Party Meeting - Major - General Sir Alfred Turner , K.C.B.",Garden Party Meeting,,"['Major-General Sir Alfred Turner, K.C.B.']",,1910-06-23
JUNE 24,London (Epsom) - Mrs. Moran's,London (Epsom) -Mrs . Moran's Garden Party - Miss C. Corbett .,Garden Party,,['Miss C. Corbett'],,1910-06-23
JUNE 24,London (S. Kensington) - Mrs. Curteis's,London (S. Kensington ) -Mrs . Curteis's At Home - Miss O'Maley .,At Home,,"[""Miss O'Maley""]",8.30,1910-06-23
JUNE 24,London (S. Kensington) - Mrs. Hay Chapman's,London (S. Kensington) -Mrs. Hay Chapman's Drawing - room Meeting Miss Lowndes.,Drawing-room Meeting,,['Miss Lowndes'],4.30,1910-06-23
JUNE 25,London (Ealing),JUNE 25 . London (Ealing) -Rummage Sale .,Rummage Sale,,,,1910-06-23
JUNE 25,Haslemere Educational Hall,"Haslemere Educational Hall - Mr . Aneurin Williams , M.P.",,,"['Mr. Aneurin Williams, M.P.']",,1910-06-23
