Date,Location,Raw,Hosts,Speakers,Description,Issue date
JULY 7,Bradford,Bradford Mrs. T. R. Hill's Drawing - room Meeting - Mrs . Gray Heald .,['Mrs. T. R. Hill'],['Mrs. Gray Heald'],,"JULY 7 , 1910"
JULY 7,North Berwick,North Berwick - Miss Alice Low .,,['Miss Alice Low'],,"JULY 7 , 1910"
JULY 7,London (Bermondsey),"London ( Bermondsey ) -Settlement Lecture Hall - Rev . Scott Lidgett , Miss Edith Palliser",,"['Rev. Scott Lidgett', 'Miss Edith Palliser']",,"JULY 7 , 1910"
JULY 7,London (S. Kensington),London ( S. Kensington ) -Mrs . Dodd's Drawing - room Meeting- Mrs. Grant Richards .,['Mrs. Dodd'],['Mrs. Grant Richards'],,"JULY 7 , 1910"
JULY 7,Leeds,Leeds Institute - Miss Fielden .,,['Miss Fielden'],,"JULY 7 , 1910"
JULY 7,London (Hampstead),"London ( Hampstead ) Hampstead Heath - Miss I. O. Ford , Mrs. Stanbury .",,"['Miss I. O. Ford', 'Mrs. Stanbury']",,"JULY 7 , 1910"
JULY 8,Bradford,Bradford - Miss Gregson's and Miss Rendall's Meeting - Mrs . Gray Heald .,"['Miss Gregson', 'Miss Rendall']",['Mrs. Gray Heald'],,"JULY 7 , 1910"
JULY 9,London (Highgate),"London ( Highgate ) -Parliament Hill - Miss Margaret Hodge , Miss Janet Thomson .",,"['Miss Margaret Hodge', 'Miss Janet Thomson']",,"JULY 7 , 1910"
JULY 9,London,London - Trafalgar Square - Great Demonstration .,,,Great Demonstration,"JULY 7 , 1910"
JULY 11,Leeds,Leeds Gildersome - Open - air Meeting - Miss Fielden .,,['Miss Fielden'],,"JULY 7 , 1910"
JULY 11,Brighton,Brighton - Henfield - Miss M. F. Basden - Miss Duncan .,,"['Miss M. F. Basden', 'Miss Duncan']",,"JULY 7 , 1910"
JULY 12,Leeds,Leeds Mrs. Grosvenor Talbot's Garden Meeting - Miss Fielden .,['Mrs. Grosvenor Talbot'],['Miss Fielden'],,"JULY 7 , 1910"
JULY 12,Brighton,"Brighton - Steyning - Mrs . J. E. Frances , Miss Duncan .",,"['Mrs. J. E. Frances', 'Miss Duncan']",,"JULY 7 , 1910"
JULY 14,London (N. Hackney),"London ( N. Hackney ) -Mrs . Coumbe's Garden Party , 69 , Lordship Road - Mrs . Fawcett .",['Mrs. Coumbe'],['Mrs. Fawcett'],,"JULY 7 , 1910"
JULY 14,Shrewsbury,Shrew bury - Mrs . Harley's At Home and Garden Meeting- Miss Taylor .,['Mrs. Harley'],['Miss Taylor'],,"JULY 7 , 1910"
JULY 14,Leeds,"Leeds Mrs. Hess ' Drawing - room Meeting - Miss I. O. Ford , Miss Fielden .",['Mrs. Hess'],"['Miss I. O. Ford', 'Miss Fielden']",,"JULY 7 , 1910"
JULY 14,Brighton,"Brighton Beeding - Miss Basden , Miss Duncan .",,"['Miss Basden', 'Miss Duncan']",,"JULY 7 , 1910"
JULY 15,Birmingham,"Birmingham - Botanical Gardens , Edgbaston - Pastoral Plays .",,,Pastoral Plays,"JULY 7 , 1910"
JULY 15,Brighton,"Brighton Rottingdean - Miss Bryan , Miss Duncan .",,"['Miss Bryan', 'Miss Duncan']",,"JULY 7 , 1910"
JULY 16,Birmingham,Birmingham - Solihull - Morris Dances and Folk Songs .,,,Morris Dances and Folk Songs,"JULY 7 , 1910"
JULY 16,Cheltenham,"Cheltenham - Garden Meeting - Sandford Lawn , Bath Road .",,,Garden Meeting,"JULY 7 , 1910"
JULY 16,London (Highgate),London ( Highgate ) -Parliament Hill Fields - Mrs . Bowden Smith .,,['Mrs. Bowden Smith'],,"JULY 7 , 1910"
JULY 19,Farnham,Farnham - Annual General Meeting .,,,Annual General Meeting,"JULY 7 , 1910"
JULY 19,London (Sydenham),London ( Sydenham ) -I.L.P . Women's Suffrage Meeting - Mrs . Archibald Little .,,['Mrs. Archibald Little'],,"JULY 7 , 1910"
JULY 19,London (Hampstead),"London ( Hampstead ) -Library , Prince Arthur Road - Lady Strachey , Lady F. Balfour .",,"['Lady Strachey', 'Lady F. Balfour']",,"JULY 7 , 1910"
JULY 20,Southsea,Southsea - Garden Meeting and Cake Sale - Mr . Cameron .,,['Mr. Cameron'],,"JULY 7 , 1910"
JULY 25,London (Windsor),London ( Windsor ) -Grove Road Schoolroom - At Home - Miss Cockle .,,['Miss Cockle'],,"JULY 7 , 1910"
