Date,Location,Raw,Speakers,Description,Issue date
July 13,Wimbledon Broadway,Wimbledon Broadway . Miss Elsa Myers,['Miss Elsa Myers'],,"July 11 , 1913"
July 13,Battersen Park,"Battersen Park . Miss Gilliatt , Mr. Macpherson","['Miss Gilliatt', 'Mr. Macpherson']",,"July 11 , 1913"
July 13,Clapham Common,Clapham Common . Mrs. Bouvier . Chair : Mrs. Bateman,['Mrs. Bouvier'],,"July 11 , 1913"
July 13,Ealing Common,Ealing Common . Miss Coombs . Chair : Mr. Tom Norris,['Miss Coombs'],,"July 11 , 1913"
July 13,"Gladstone Park, Cricklewood","Gladstone Park , Cricklewood . Great Freedom Demonstra- tion . ( See page 662 ) .",,Great Freedom Demonstration,"July 11 , 1913"
July 13,Lewisham Market Place,Lewisham Market Place . Mrs. Walker,['Mrs. Walker'],,"July 11 , 1913"
July 13,Victoria Park,Victoria Park . Miss E. Billing,['Miss E. Billing'],,"July 11 , 1913"
July 11,"Balham, Caistor Road","Balham , Caistor Road 8 P.M.",,,"July 11 , 1913"
July 11,"Battersea, Mossbury Road","Battersea , Mossbury Road . M.P.U. Mrs. Ward Brown , Mr. Billinghurst 8 P.M.","['Mrs. Ward Brown', 'Mr. Billinghurst']",,"July 11 , 1913"
July 11,"N. Kensington, Free Library, Ladbroke Grove","N. Kensington , Free Library , Ladbroke Grove . Miss Brackenbury , Miss D. Coombs ...... 7.30 P.M.","['Miss Brackenbury', 'Miss D. Coombs']",,"July 11 , 1913"
July 11,"Bow, Libra Hall","Bow , Libra Hall . Mrs. Bartlett ... 8 P.M.",['Mrs. Bartlett'],,"July 11 , 1913"
July 11,"Hornsey, High Street Fountain","Hornsey , High Street Fountain . Miss Barry . Chair : Miss Pepper 8 P.M.",['Miss Barry'],,"July 11 , 1913"
July 11,"Lincoln's Inn House, Kingsway","Lincoln's Inn House , Kingsway . Speakers Class . Miss Rosa Leo 7.45 P.M.",['Miss Rosa Leo'],,"July 11 , 1913"
July 11,"Poplar, Chrisp Street","Poplar , Chrisp Street . Mrs. Digby , Miss Billing 8 P.M.","['Mrs. Digby', 'Miss Billing']",,"July 11 , 1913"
July 11,"Second Avenue, Harrow Road","Second Avenue , Harrow Road . Miss Medwin . Chair : Miss s Haig 8 P.M.",['Miss Medwin'],,"July 11 , 1913"
July 11,Sloane Square,Sloane Square . Miss Naylor . Chair : Mrs. Temple Bird 12.15 P.M.,['Miss Naylor'],,"July 11 , 1913"
July 11,"Stepney, Mile End Waste","Stepney , Mile End Waste . Miss C. Hopkins , Miss Glidewell 8 P.M.","['Miss C. Hopkins', 'Miss Glidewell']",,"July 11 , 1913"
July 11,"West Ham, Stratford Broadway","West Ham , Stratford Broadway . Miss Ayrton , Chair : Miss Harbott 7.30 P.M.",['Miss Ayrton'],,"July 11 , 1913"
July 12,"Battersea, Strath Terrace","Battersea , Strath Terrace . Mrs. E. Duval 8 PM .",['Mrs. E. Duval'],,"July 11 , 1913"
July 12,"Crouch End, Clock Tower","Crouch End , Clock Tower . Miss Meakin . Chair : Miss Richmond 8 P.M.",['Miss Meakin'],,"July 11 , 1913"
July 12,"Holloway Road, outside Jones Bros.","Holloway Road , outside Jones Bros. Miss Gillintt , Miss Pepper . 3.30 P.M.","['Miss Gillintt', 'Miss Pepper']",,"July 11 , 1913"
July 12,"Hornsey, The Chestnuts, Middie Lane","Hornsey , The Chestnuts , Middie Lane . Garden Meeting . Miss . Bonwick , B.A. Hostess : Miss Cowdray "" Chair : 8 P.M.",['Miss Bonwick'],,"July 11 , 1913"
July 12,"Palmer's Green, Alderman's Hill","Palmer's Green , Alderman's Hill . Miss N. Lightman , Miss H. Gargett 7.30 P.M.","['Miss N. Lightman', 'Miss H. Gargett']",,"July 11 , 1913"
July 12,"Wandsworth, Council House","Wandsworth , Council House . Miss P. Ayrton . Chair : Mrs. Chapman 5 P.M.",['Miss P. Ayrton'],,"July 11 , 1913"
July 12,"West Ham, Forest Gate Station","West Ham , Forest Gate Station . Miss Maguire , Chair : Miss Friedlaender 8 P.M.",['Miss Maguire'],,"July 11 , 1913"
July 12,"Poplar, East India Dock Gates","Poplar , East India Dock Gates . Miss Billing and others ... 3 P.M.",['Miss Billing'],,"July 11 , 1913"
July 12,Regent's Park,Regent's Park . M.P.U. Mr. Letcher and others 3 P.M.,['Mr. Letcher'],,"July 11 , 1913"
July 12,Streatham Common,Streatham Common 6.30 P.M.,,,"July 11 , 1913"
July 14,"Bow, Out and Out Mission Hall, Tredegar Road","Bow , Out and Out Mission Hall , Tredegar Road . Speakers ' Class . Miss Rosa Leo 7.45 P.M.",['Miss Rosa Leo'],,"July 11 , 1913"
July 14,Bromley Public Hall,"Bromley Public Hall . Mrs. Walker , Mrs. Watkins , Miss Emerson Chair : Mrs. Mansell Moullin 8 P.M.","['Mrs. Walker', 'Mrs. Watkins', 'Miss Emerson']",,"July 11 , 1913"
July 14,"London Pavilion, Piccadilly Circus, W.","London Pavilion , Piccadilly Circus , W. Mrs. Mansell Moullin , Mr. Baillie Weaver , Mrs. Dacre Fox 3.15 p.m.","['Mrs. Mansell Moullin', 'Mr. Baillie Weaver', 'Mrs. Dacre Fox']",,"July 11 , 1913"
July 14,"Poplar, East India Dock Gates","Poplar , East India Dock Gates . Miss Haslam , Miss P. Rickard 8 P.M.","['Miss Haslam', 'Miss P. Rickard']",,"July 11 , 1913"
July 15,"Bow, Obelisk","Bow , Obelisk . 8 P.M.",,,"July 11 , 1913"
July 15,"Poplar Town Hall, Committee Room","Poplar Town Hall , Committee Room . Women only . Mrs. Leigh , Mrs. Seurr and others ... 8 P.M.","['Mrs. Leigh', 'Mrs. Seurr']",,"July 11 , 1913"
July 15,"Westminster, Tachbrook Street","Westminster , Tachbrook Street . "" Miss John , Miss Coombs 8 P.M.","['Miss John', 'Miss Coombs']",,"July 11 , 1913"
July 15,"Wimbledon, Raynes Park","Wimbledon , Raynes Park ... 8 P.M.",,,"July 11 , 1913"
July 16,Chelsen,Chelsen . 8 P.M.,,,"July 11 , 1913"
July 16,"Limehouse, Pigott Street","Limehouse , Pigott Street . Miss Hopkins 8 P.M.",['Miss Hopkins'],,"July 11 , 1913"
July 16,Thornton Heath Clock,"Thornton Heath Clock , Miss E. Myers , Miss Spreadborough 8 P.M.","['Miss E. Myers', 'Miss Spreadborough']",,"July 11 , 1913"
July 17,Earl's Court Station,Earl's Court Station . Miss Gilliatt 8 P.M.,['Miss Gilliatt'],,"July 11 , 1913"
July 17,"Hampstead Heath, Flagstaff","Hampstead Heath , Flagstaff . Miss Prankerd ... 8 P.M.",['Miss Prankerd'],,"July 11 , 1913"
July 17,"Harringay, Green Lanes, and Chesterfield Gardens","Harringay , Green Lanes , and Chesterfield Gardens . Miss Bonwick , B.A. Chair : Mrs. MeNamara 8 p.m.",['Miss Bonwick'],,"July 11 , 1913"
July 17,"Memorial Hall, Farringdon Street, E.C.","Memorial Hall , Farringdon Street , E.C. Miss G. Bracken- bury , Miss Cynthia Maguire , Miss Winter ... 7.45 P.M.","['Miss G. Brackenbury', 'Miss Cynthia Maguire', 'Miss Winter']",,"July 11 , 1913"
July 17,"Palmer's Green, 6, Stonard Road","Palmer's Green , 6 , Stonard Road . Fireside Talks ........... 8 P.M.",,Fireside Talks,"July 11 , 1913"
July 17,"Poplar, East India Dock Gates","Poplar , East India Dock Gates . Miss Harvey , Miss Gilliatt 8 P.M.","['Miss Harvey', 'Miss Gilliatt']",,"July 11 , 1913"
