Date,Location,Raw,Speakers,Issue date
November 21,"Balham, Caistor Road","Balham , Caistor Road . Miss Palmer . Chair : Miss Greer ... 8 p.m.","['Miss Palmer', 'Miss Greer', 'Miss Palmer . Chair : Miss Greer ... 8 p.m.']","November 21 , 1913"
November 21,"Bayswater, Queen's Road, Westbourne Grove","Bayswater , Queen's Road , Westbourne Grove . Miss Emma Wylie . Chair : Mrs. Thomson ... 12 noon .","['Miss Emma Wylie', 'Mrs. Thomson', 'Miss Emma Wylie . Chair : Mrs. Thomson ... 12 noon .']","November 21 , 1913"
November 21,"Bow, Ford Road","Bow , Ford Road . Miss Kelly ... 8 p.m.","['Miss Kelly', 'Miss Kelly ... 8 p.m.']","November 21 , 1913"
November 21,"Canning Town, Beckton Road","Canning Town , Beckton Road Miss March ... 8 p.m.","['Miss March', 'Miss March ... 8 p.m.']","November 21 , 1913"
November 21,"Chelsea, 308, King's Road","Chelsea , 308 , King's Road . Speakers ' Class . Miss Ada Moore ... 6 p.m.","['Miss Ada Moore', 'Miss Ada Moore ... 6 p.m.']","November 21 , 1913"
November 21,Corner Lancaster Road and Portobello Road,"Corner Lancaster Road and Portobello Road . Miss Myers , 8 p.m.","['Miss Myers', 'Miss Myers , 8 p.m.']","November 21 , 1913"
November 21,Sloane Square,Sloane Square . Miss Naylor . Chair : Miss Westoby ... 7.45 p.m.,"['Miss Naylor', 'Miss Westoby', 'Miss Naylor . Chair : Miss Westoby ... 7.45 p.m.']","November 21 , 1913"
November 21,"Lincoln's Inn House, Kingsway","Lincoln's Inn House , Kingsway . Speakers ' Class . Miss Rosa Leo ... 8 p.m.","['Miss Rosa Leo', 'Miss Rosa Leo ... 8 p.m.']","November 21 , 1913"
November 21,"Poplar, Manchester Road and East Ferry Road","Poplar , Manchester Road and East Ferry Road ... 12.15 p.m.",[],"November 21 , 1913"
November 21,"Upper Holloway, Elthorne Road, N.","Upper Holloway , Elthorne Road , N. Miss Gibson , Miss Mann ... 8 p.m.","['Miss Gibson', 'Miss Mann', 'Miss Gibson , Miss Mann ... 8 p.m.']","November 21 , 1913"
November 21,"West Ham, The Grove","West Ham , The Grove . Miss Bonwick , B. A. , Miss Brice ... 8 p.m.","['Miss Bonwick', 'Miss Brice', 'Miss Bonwick , B. A. , Miss Brice ... 8 p.m.']","November 21 , 1913"
November 21,Willesden Green Library,"Willesden Green Library . Miss P. Rickards , Miss Somers ... 8 p.m.","['Miss P. Rickards', 'Miss Somers', 'Miss P. Rickards , Miss Somers ... 8 p.m.']","November 21 , 1913"
November 21,"Wimbledon, Queen's Hall, Broadway","Wimbledon , Queen's Hall , Broadway . Miss G. Richard , Mr. J. Y. Kennedy . Chair : Miss Nuthall ... 8.15 p.m.","['Miss G. Richard', 'Mr. J. Y. Kennedy', 'Miss Nuthall', 'Miss G. Richard , Mr. J. Y. Kennedy . Chair : Miss Nuthall ... 8.15 p.m.']","November 21 , 1913"
November 21,"Dundee, Panmure Street","Dundee , Panmure Street . Miss Grant ... 8 p.m.","['Miss Grant', 'Miss Grant ... 8 p.m.']","November 21 , 1913"
November 21,"Edinburgh, West End","Edinburgh , West End ... 8 p.m.",[],"November 21 , 1913"
November 21,"Leeds, Town Hall Square","Leeds , Town Hall Square . Miss Garrett ... 8 p.m.","['Miss Garrett', 'Miss Garrett ... 8 p.m.']","November 21 , 1913"
