Date,Location,Raw,Speakers,Hosts,Description,Issue date
"FRIDAY , OCTOBER 25","Balham High - road , Caistor - road","Balham High - road , Caistor - road . Miss Jacobs ....... 7.45 p.m.",['Miss Jacobs'],,,"October 25 , 1912"
"FRIDAY , OCTOBER 25",Croydon,"Croydon , Katherine - street . Mrs. Dacre Fox 8 p.m.",['Mrs. Dacre Fox'],,,"October 25 , 1912"
"FRIDAY , OCTOBER 25",Hackney,"Hackney , Graham - road and Mare - street . Miss M. Wright . Chair : Miss Gargett ......... 8 p.m.",['Miss M. Wright'],,,"October 25 , 1912"
"FRIDAY , OCTOBER 25",Homerton,"Homerton , Sidney rd , and Wick - rd . Miss E. Glidewell ... 8 p.m.",['Miss E. Glidewell'],,,"October 25 , 1912"
"FRIDAY , OCTOBER 25",Ilford,"Ilford , outside Town Hall . Miss Harvey . .8 p.m.",['Miss Harvey'],,,"October 25 , 1912"
"FRIDAY , OCTOBER 25",Kingston,"Kingston , 13 , Union - st . Hostess : Miss N. Gornall ... 2.30-6 p.m.",,['Miss N. Gornall'],,"October 25 , 1912"
"FRIDAY , OCTOBER 25","Lincoln's Inn House , Kingsway , W.C.","Lincoln's Inn House , Kingsway , W.C. Speakers Class . Miss Rosa Leo .. 7.30 pm",['Miss Rosa Leo .'],,,"October 25 , 1912"
"FRIDAY , OCTOBER 25","Seven Sisters - road , Thane - villas","Seven Sisters - road , Thane - villas . Miss D. Startup , Mrs. Barfield 8 p.m.","['Miss D. Startup', 'Mrs. Barfield']",,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Woolwich , Eleanor - road","Woolwich , Eleanor - road . Miss Cox , Miss Clifford . 8 p.m.","['Miss Cox', 'Miss Clifford']",,,"October 25 , 1912"
"SATURDAY , OCTOBER 26",Golder's Green,Golder's Green . Miss Gibson 8 p.m.,['Miss Gibson'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26",Hammersmith,"Hammersmith , 95 , The Grove . Mme . Moore Speakers ' Class . 8 p.m.",['Mme . Moore'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Harlesden , Manor Park road","Harlesden , Manor Park road . Mrs. Davies , Miss Hoffmann 8 p.m.","['Mrs. Davies', 'Miss Hoffmann']",,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Hitchin , Market Place","Hitchin , Market Place . Mess G. Brackenbury 3.30 p.m.",['Mess G. Brackenbury'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26",Holloway,"Holloway , outside Jones Bros. Miss Barry , Miss Shoults..8 p.m.","['Miss Barry', 'Miss Shoults']",,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Ilford , Balfour - road","Ilford , Balfour - road . Mr. Mark Wilks . Chair : Miss Haslam 8 p.m.",['Mr. Mark Wilks'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Kingston , Church - street","Kingston , Church - street . Mrs , Penn Gaskell . Chair : Mrs. Dacre Fox ....... 12 noon","['Mrs , Penn Gaskell']",,,"October 25 , 1912"
"SATURDAY , OCTOBER 26",Lewisham,"Lewisham , 1 , Lewis - grove . Members ' Rally Mrs. Threader Chapman 38 p.m.",['Mrs. Threader Chapman'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Palmer's Green , Alderman's - hill","Palmer's Green , Alderman's - hill . Miss P. Ayrton . 7.30 p.m.",['Miss P. Ayrton'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Richmond , Heron Court","Richmond , Heron Court . Miss E. Wylie . 8 p.m.",['Miss E. Wylie'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Stamford Hill , corner of Amhurst - road","Stamford Hill , corner of Amhurst - road . Miss Jacobs . Chair : Mrs. Eliott 8 p.m.",['Miss Jacobs'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Stratford , Maryland Point Station","Stratford , Maryland Point Station . Miss Hopkins . Chair : Miss Hooper 8 p.m.",['Miss Hopkins'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Walthamstow , Church - hill","Walthamstow , Church - hill . Miss Harvey .. 7.30 p.m.",['Miss Harvey'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26",Wandsworth,"Wandsworth , outside Council School . Miss Rogers . Chair : 8 p.m.",['Miss Rogers'],,,"October 25 , 1912"
"SATURDAY , OCTOBER 26",Willesden Green Library Wembley,Willesden Green Library Wembley 8 p.m.,,,Members ' Rally,"October 25 , 1912"
"SATURDAY , OCTOBER 26","Wimbledon , 9 , Victoria - crescent , Broadway","Wimbledon , 9 , Victoria - crescent , Broadway . Members ' Rally and sale of work . 8 p.m.",,,Members ' Rally and sale of work.,"October 25 , 1912"
"SATURDAY , OCTOBER 26",Wimbledon Broadway,Wimbledon Broadway . Dr. Letitia Fairfield . Chair : Mrs. Dacre Fox ..7.30 p.m.,['Dr. Letitia Fairfield'],,,"October 25 , 1912"
"SUNDAY , OCTOBER 27",Catford Tram Terminus,Catford Tram Terminus . Mrs. Bouvier ......................... 7 p.m.,['Mrs. Bouvier'],,,"October 25 , 1912"
"SUNDAY , OCTOBER 27",Clapham Common,Clapham Common . Miss P. Ayrton . Chair : Mrs. Bateman- 3 p.m.,['Miss P. Ayrton'],,,"October 25 , 1912"
"SUNDAY , OCTOBER 27","Finsbury Park , N","Finsbury Park , N. Men's Federation for W.S. 3.30 p.m.",,,,"October 25 , 1912"
"SUNDAY , OCTOBER 27","Hampstead Heath , Flagstaff","Hampstead Heath , Flagstaff . Miss Hicks , M.A.11.30 am","['Miss Hicks , M.A.']",,,"October 25 , 1912"
"SUNDAY , OCTOBER 27",Hyde Park,"Hyde Park , near Marble Arch . M.P.U. Miss E. Myers , R. Pott , Esq ... 3 p.m.","['Miss E. Myers', 'R. Pott , Esq']",,,"October 25 , 1912"
"SUNDAY , OCTOBER 27","Regent's Park , N.W","Regent's Park , N.W. C. W. Sykes , Esq . Smithwick 3 p.m.","['C. W. Sykes , Esq', 'Smithwick']",,,"October 25 , 1912"
"SUNDAY , OCTOBER 27",Streatham Common,Streatham Common .. Mrs. Baines . Chair : Mrs. ... 3.15 p.m.,['Mrs. Baines'],,,"October 25 , 1912"
"SUNDAY , OCTOBER 27",Wimbledon Common,"Wimbledon Common . Miss E. Davison , Mrs. Hutt ...... 3 pan","['Miss E. Davison', 'Mrs. Hutt']",,,"October 25 , 1912"
