Date,Location,Raw,Speakers,Issue date
November 28,"Wimbledon, Queen's Hall","Wimbledon , Queen's Hall , Tiedman . Chair : Mrs.","['Mr. Gerald Boulton', 'Mrs. Duval', 'Miss M. Paterson', 'Miss A. Jacobs', 'Mrs. Russell', 'Mrs. Cameron Swan', 'Miss Gwen Richard', 'Mr. Joseph Clayton', 'Mrs. Freeman', 'Miss Rosa Leo', 'Miss Moore', 'Miss Phillipps', 'Mrs. Brindiey', 'Mrs. Walker', 'Miss Greer', 'Miss Gilliatt', 'Miss Sillay', 'Miss Elsa Myers', 'Miss D. Smith', 'Mss Boavier', 'Miss Townsend', 'Mrs. Theresa Gough', 'Miss Glidewell', 'Miss Wright', 'Mrs. Cobden Sanderson', 'Mrs. Arnold', 'Mrs. Hockley', 'Mrs. Dacre Fox', 'Mrs. Pertwze', 'Miss Olive Bartels', 'Miss Ennis', 'Miss A. Kelly', 'Miss Haslam', 'Mrs. Duval', 'Miss Glidewell', 'Mrs. Bouvier', 'Miss M. Paterson', 'Miss Mann', 'Mrs. Beatty', 'Miss Ada Moore', 'Miss Rosa Leo', 'Miss Gwen Richard', 'Miss A. Jacobs', 'Mrs. Withers', 'Miss D. Smith', 'Mrs. Walker', 'Miss Bonwick', 'B.A.', 'Miss Fraser Smith', 'Miss Margaret Wright', 'Miss Marie', 'Miss Douglas', 'Mrs. Jacobs', 'Mr. W. Miller', 'Miss A. Kelly', 'Mrs. Hodges', 'Mrs. Ayrton Gould', 'Mrs. Renny', 'Mrs. Smith', 'Miss Barbara Wylie', 'Mrs. Week', 'Miss Margesson', 'Mrs. Blanche Relf', 'Miss Dale', 'Miss Midgley', 'Mrs. H. Smith', 'Miss Noblett', 'Miss Annie Williams', 'The Lady Isabel Margesson', 'Miss L. Mitchell', 'Miss Appleyard', 'Miss Reid', 'Miss Stanley', 'Mrs. Atkinson', 'Miss Balls', 'Mrs. Mackworth', 'Miss Alexander', 'Miss Powell', 'Miss Reid', 'Miss Hartock', 'Miss L. Mitchell', 'Miss Mustie', 'Miss Cory', 'Mrs. Atkinson', 'Miss M. West', 'Miss Catherine Margesson', 'Miss C. Margesson', 'Miss Grant', 'Miss A. Williams', 'Mrs. Atkinson', 'Miss Balls', 'Miss Canning', 'Mrs. Whaley', 'Miss Canning', 'Miss Cory', 'Mrs. Pinkney', 'Mrs. Robinson', 'Mrs. A. J. Webbe', 'Mrs. Crawfurd', 'Miss Mamie McArthur', 'Mrs. White', 'Miss Janie Allan', 'Mrs. Crawfurd', 'Miss Janie Allan', 'Mr. John Wallace', 'Miss Eva Moore', 'Mrs. Finlayson Gauld', 'Miss Kelly', 'Miss Soga', 'Miss Margesson', 'Mrs. Earl', 'Miss Webb', 'Miss Lloyd', 'Miss Normand', 'Miss Henrietta Rae', 'Miss Rosa Leo', 'Miss Evelyn Sharp', 'Rev. Drew Roberts', 'Mrs. Davies', 'Mrs. David Roberts', 'Mrs. Man-sell-Monilin', 'Miss Lena Ashwell', 'Mr. Goldfinch Bate', 'Hope Squire', 'Frank Merrick', 'Mr. Baillie Weaver', 'Mrs. Bouvier', 'Mrs. Cavendish-Bentinck', 'Mr. and Mrs. Chas. C. Holtom', 'Mrs. Humphrey Mackworth', 'Miss Stella Fife', 'Mr. and Mrs. Mundy', 'Miss Rickards', 'Mrs. Moxon', 'Miss Jemaly', 'Miss Higgins', 'Mrs. Beldon', 'Miss Burton', 'Miss G. Ansell', 'Mrs. Dacre Fox', 'Miss Bonwick', 'Mrs. A. J. Webbe', 'Lady Lely', 'Miss Hicks', 'Mrs. Henderson', 'Rev. Hatty Baker', 'Mrs. and Miss Hockley', 'Mrs. Cameron Swan', 'Miss Gwen Richard', 'Mrs. C. Furley-Smith', 'Mies L. Cutten', 'Mrs. Freeman', 'Miss Orr', 'Miss Hicks', 'Mrs. Henderson', 'Lady Lely', 'Miss Wright', 'Mrs. Meakin', 'Miss D. D. Solomon', 'Miss G. Batson', 'Mrs. Bouvier', 'Miss Caroline Townsend', 'Mrs. Bradley', 'Mrs. Vieller', 'Mrs. Dacre Fox', 'Miss Grace Roo', 'Miss M. Wright', 'Miss Elsa Myers', 'Miss Macaulay', 'Mr. Waller', 'Mr. Casson', 'Miss Sylvia Pankhurst', 'Mr. Duval', 'Mrs. Theresa Gough', 'Miss Billinghurst', 'Miss Bennett', 'Mrs. Dacre Fox', 'Mrs. Cook', 'Mrs. Heard', 'Miss Gilliatt', 'Miss Houghton', 'Miss Gwen Richard', 'Mr. Kennedy', 'Miss Nuthall', 'Miss Haughton', 'Miss Barbara Wylie', 'Mrs. Dove Wilcox', 'Mr. H. A. Baker', 'Mrs. Atherton', 'Miss Thornbury', 'Lady Lely', 'Mrs. Sadd Brown', 'Miss Richmond', 'Miss Short', 'Miss C. J. Green', 'Miss Jones', 'Mrs. Aldham', 'Miss Seaton', 'Miss Ansell', 'Miss Forbes-Robertson', 'Mr. Donald McEwan', 'Mr. Harry Johnson', 'Mrs. Oswald Walker', 'Mrs. Mansel', 'Mrs. Mansel Pleydell', 'Mrs. Terrero', 'Miss Rebie Keller', 'Mrs. Bowker', 'Miss Saunders', 'Miss Connor Smith', 'Miss Berry', 'Mrs. Temple Bird', 'Miss Streatfeild', 'Mr. H. Nevinson', 'Mr. H. D. Harben', 'Mr. G. Gould', 'Mr. H. J. Laski', 'Mr. B. L. Strauss', 'Mr. P. E. Hobhouse', 'Mr. W. H. Crook', 'R. Munro', 'A. G. MacKenzie', 'Miss M. S. Allen', 'Miss Gibson', 'Miss Ansell', 'Miss Bartels', 'Miss Pankhurst', 'Miss Christabel Pankhurst', 'Mrs. Tuke', 'Miss Margesson', 'Miss Dorothy Smith', 'Colonel', 'Miss Ierne Margesson', 'Miss Kenney', 'Mrs. Sanders', 'Miss Beck', 'Miss Neave', 'Miss Roberts', 'Miss Pankhurst', 'Miss Richmond', 'Miss Olive Bartels', 'Mrs. Dacre Fox', 'Miss Annie Kenney', 'Mrs. Beatty']","November 28 , 1913"
November 28,"Bow, Ford Road","Bow , Ford Road . Mr. Jane",['Mr. Jane'],"November 28 , 1913"
November 28,"Canning Town, Beckton Road","Canning Town , Beckton Road","['Cricklewood , Clock Tower', 'Croydon , Katherine Street', 'Fulham , Munster Road', 'Ilford , Broadway', ""Lincoln's Inn House , Kingsway"", 'North Kensington , Blenheim Crescent and Portobello Road', 'Poplar , Manchester Road', 'Poplar , 319 , East India Dock Road', 'Sloane Square', 'Tooting Broadway', 'West Ham , The Grove , Stratford']","November 28 , 1913"
November 28,"Cricklewood, Clock Tower","Cricklewood , Clock Tower",,"November 28 , 1913"
November 28,"Croydon, Katherine Street","Croydon , Katherine Street",,"November 28 , 1913"
November 28,"Fulham, Munster Road","Fulham , Munster Road",,"November 28 , 1913"
November 28,"Ilford, Broadway Chambers","Ilford , Broadway Chambers",,"November 28 , 1913"
November 28,"Lincoln's Inn House, Kingsway","Lincoln's Inn House , Kingsway",,"November 28 , 1913"
November 28,"North Kensington, Blenheim Crescent and Portobello Road","North Kensington , Blenheim Crescent and Portobello Road",,"November 28 , 1913"
November 28,"Poplar, Manchester Road","Poplar , Manchester Road",,"November 28 , 1913"
