Date,Location,Raw,Speakers,Issue date
Friday,Balham,"Friday , Balham , Caistor Road",['Miss Gilliatt'],"December 19, 1913"
Friday,Bow,"Bow , Ford Road",['Miss.P. Rickards'],"December 19, 1913"
Friday,Chelsea,"Chelsea , 308 , King's Road . Speakers ' Class . Miss Ada Moore",,"December 19, 1913"
Friday,Chiswick,"Chiswick , Duke Road",['Miss Elsa Myers'],"December 19, 1913"
Friday,Fulham,"Fulham , Munster Road",['Miss M Wright'],"December 19, 1913"
Friday,Kilburn,Kilburn . Messina Avenue . Miss M. Sennett . Miss Meakin,,"December 19, 1913"
Friday,"Lincoln's Inn House, Kingsway","Lincoln's Inn House , Kingsway , Speakers ' Class . Miss Rosa Leo",,"December 19, 1913"
Friday,North Kensington,"North Kensington , Lancaster Road and Portobello Road . Miss Whateley",['Miss Gwen Richard'],"December 19, 1913"
Friday,Poplar,"Poplar , Isle of Dogs . Miss Palmer",,"December 19, 1913"
Friday,Sloane Square,Sloane Square . Miss Haig,,"December 19, 1913"
Friday,West Ham,"West Ham , The Grove , Stratford . Miss Hopkins , Miss Hooper",,"December 19, 1913"
Saturday,Kingston,"Saturday , Kingston , Coronation Stone . Mrs. Daval",,"December 19, 1913"
Saturday,South Wimbledon,"South Wimbledon , Broadway","['Miss Gray', 'Miss Meakin']","December 19, 1913"
Saturday,Kingston,"Kingston , Church Street . Mr. Charles Dugdale",,"December 19, 1913"
Saturday,Harlesden,Harlesden . Manor Park Road . Miss Wright,,"December 19, 1913"
Saturday,Ilford,"Ilford , East Ham , East Avenue . Miss Haslam",,"December 19, 1913"
Saturday,Willesden Green Library,Willesden Green Library . Miss P. Rickards,,"December 19, 1913"
Saturday,Hampstead Heath,"Hampstead Heath , Flagstaff . Miss Joan Wickham",['Miss Clapson'],"December 19, 1913"
Saturday,Poplar,"Poplar , East India Dock Gates . Miss E. Myers",,"December 19, 1913"
Sunday,Bow,"Sunday , Bow , Obelisk , Devons Road . Miss P. Rielcards",,"December 19, 1913"
Sunday,Cricklewood,"Cricklewood , Clock Tower . Miss Agnes Kelly , Miss Short . ",,"December 19, 1913"
Monday,Bow,"Monday , Bow , 321 , Roman Road . Speakers ' Class",,"December 19, 1913"
Friday,Aberdeen,"Friday , Aberdeen , Wallace Statue . Mrs. Webster",,"December 19, 1913"
Friday,Dundee,"Dundee , Paumure Street . Miss Grant",,"December 19, 1913"
Friday,Leeds,"Leeds , Town Hall Square . Miss Garrett",,"December 19, 1913"
Saturday,Dundee,"Saturday , Dundee , Greenmarket . Miss Grant",,"December 19, 1913"
Saturday,Edinburgh,"Edinburgh , The Mound . Miss Melrose",,"December 19, 1913"
Saturday,"Edinburgh, Leith","Edinburgh , Leith",,"December 19, 1913"
Saturday,"Edinburgh, Musselburgh","Edinburgh , Musselburgh",,"December 19, 1913"
Sunday,Leeds,"Sunday , Leeds , Town Hall Square . Miss Garrett",,"December 19, 1913"
Sunday,Nottingham,"Nottingham , Bulwell Adult School , Albert Street . Miss C. A. L. Marsh",,"December 19, 1913"
