Date,Location,Raw,Speakers,Hosts,Description,Issue date
January 23,Bow,"Bow, Ford Road. Miss M. Wright",['Miss M. Wright'],,,"January 23, 1914"
January 23,Chiswick,"Chiswick, Duke Road. Miss Haslam",['Miss Haslam'],,,"January 23, 1914"
January 23,Hampstead,"Hampstead, 2, Crossfield Road. Hostess: Madame Alice Godfrey",,['Madame Alice Godfrey'],,"January 23, 1914"
January 23,Kentish Town,"Kentish Town, Modbury Street. Miss Rickards, Miss Wilson","['Miss Rickards', 'Miss Wilson']",,,"January 23, 1914"
January 23,Lincoln's Inn House,"Lincoln's Inn House, Kingsway. Speakers' Class. Miss Rosa Leo",['Miss Rosa Leo'],,Speakers' Class,"January 23, 1914"
January 23,Molesey,"Molesey, Conservative Hall. Mrs. Dacre Fox. Chair: Miss Canning",['Mrs. Dacre Fox'],,,"January 23, 1914"
January 23,North Kensington,"North Kensington, corner of Lancaster Road and Portobello Road. Miss Glidewell. Chair: Miss Greer",['Miss Glidewell'],,,"January 23, 1914"
January 23,Poplar,"Poplar, 319, East India Dock Road. Mrs. Duval. Chair: Miss Benett",['Mrs. Duval'],,,"January 23, 1914"
January 23,Sloane Square,Sloane Square. Mrs. Brindley. Chair: Miss Richmond,['Mrs. Brindley'],,,"January 23, 1914"
January 23,West Ham,"West Ham, The Grove, Stratford. Miss Bonwick, M.A., Miss Peggy Julian","['Miss Bonwick', 'Miss Peggy Julian']",,,"January 23, 1914"
January 23,Westminster,"Westminster, Greycoat Place. Mrs. Webb-Smithwick",['Mrs. Webb-Smithwick'],,,"January 23, 1914"
January 23,Wimbledon,"Wimbledon, Queen's Hall, Broadway. Mr. A. Mackinley. Chair: Mrs. Boulton",['Mr. A. Mackinley'],,,"January 23, 1914"
January 23,Willesden Green Library,"Willesden Green Library. Miss E. A. Taylor, Miss F. Wright","['Miss E. A. Taylor', 'Miss F. Wright']",,,"January 23, 1914"
January 24,Cricklewood,"Cricklewood, Clock Tower. Miss Prankerd, Miss M. Price","['Miss Prankerd', 'Miss M. Price']",,,"January 23, 1914"
January 24,Harlesden,"Harlesden, Manor Park Road. Miss M. Wright, Miss Jacobs","['Miss M. Wright', 'Miss Jacobs']",,,"January 23, 1914"
January 24,Ilford,"Ilford, Balfour Road. Miss Pepper",['Miss Pepper'],,,"January 23, 1914"
January 24,Kilburn,"Kilburn, Messina Avenue. Miss E. Penn",['Miss E. Penn'],,,"January 23, 1914"
January 24,Kingston,"Kingston, Church Street. Miss Coombs",['Miss Coombs'],,,"January 23, 1914"
January 24,North Islington,"North Islington, Jones Bros., Holloway Road. Mrs. Bouvier, Mr. A. Gaskell","['Mrs. Bouvier', 'Mr. A. Gaskell']",,,"January 23, 1914"
January 24,South Wimbledon,"South Wimbledon, Broadway. Miss D. Allen, Mr. E. Duval","['Miss D. Allen', 'Mr. E. Duval']",,,"January 23, 1914"
January 25,Hampstead Heath,"Hampstead Heath, Flagstaff. Miss Barbara Wylie, Mrs. Dacre Rickard","['Miss Barbara Wylie', 'Mrs. Dacre Rickard']",,,"January 23, 1914"
January 25,Lewisham,"Lewisham, Market Place. Miss Elsa Myers, Miss E. Wilson","['Miss Elsa Myers', 'Miss E. Wilson']",,,"January 23, 1914"
January 25,Poplar,"Poplar, East India Dock Gates. Mrs. Moxon. Chair: Mrs. Tyson",['Mrs. Moxon'],,,"January 23, 1914"
January 25,Wimbledon Common,Wimbledon Common. Miss Margaret Wright,['Miss Margaret Wright'],,,"January 23, 1914"
January 26,Chelsea,"Chelsea, 308, King's Road. Women's Meeting. Miss Ada Wright",['Miss Ada Wright'],,Women's Meeting,"January 23, 1914"
January 26,Crayford,"Crayford, Friendly Society Hall. Miss Nancy Lightman",['Miss Nancy Lightman'],,,"January 23, 1914"
January 26,Ilford,"Ilford, Broadway Chambers. Miss Emma Wylie",['Miss Emma Wylie'],,,"January 23, 1914"
January 26,Kilburn,"Kilburn, Victoria Road. Mrs. Penn Gaskell, Miss Jacobs","['Mrs. Penn Gaskell', 'Miss Jacobs']",,,"January 23, 1914"
January 26,Kentish Town,"Kentish Town, Victoria Road. Miss E. Allen",['Miss E. Allen'],,,"January 23, 1914"
January 26,Knightsbridge Hall,"Knightsbridge Hall, W. Miss Fox, and others",['Miss Fox'],,,"January 23, 1914"
January 26,South Wimbledon,"South Wimbledon, The Grove. Mr. E. Duval",['Mr. E. Duval'],,,"January 23, 1914"
January 26,Streatham Town Hall,"Streatham Town Hall, Blue Hall. Dr. F. Moxon",['Dr. F. Moxon'],,,"January 23, 1914"
January 27,Bow,"Bow, Out and Out Mission Hall, Tredegar Road. Mrs. Dove Wilcox. Chair: Mr. W. M. Cassidy",['Mrs. Dove Wilcox'],,,"January 23, 1914"
January 27,Brondesbury,"Brondesbury, 31, Exeter Road. Drawing-room Meeting",,,Drawing-room Meeting,"January 23, 1914"
January 27,Cricklewood,"Cricklewood, Clock Tower. Mr. A. G. Gaskell",['Mr. A. G. Gaskell'],,,"January 23, 1914"
January 27,Poplar,"Poplar, East India Dock Gates. Miss Barbara Wylie, Mrs. Dacre Rickard","['Miss Barbara Wylie', 'Mrs. Dacre Rickard']",,,"January 23, 1914"
January 27,Purley Tram Terminus,Purley Tram Terminus. Mr. Victor Duval,['Mr. Victor Duval'],,,"January 23, 1914"
January 27,Willesden Green Library,Willesden Green Library. Mrs. J. Brindley,['Mrs. J. Brindley'],,,"January 23, 1914"
January 28,Balham,"Balham, Bijou Hall. Chair: Mrs. Heard",,,Chair: Mrs. Heard,"January 23, 1914"
January 28,Bromley,"Bromley, Crisp Street and Morris Road. Miss Arnold Hallam",['Miss Arnold Hallam'],,,"January 23, 1914"
January 28,Ilford,"Ilford, East Ham, East Avenue. Miss Wright",['Miss Wright'],,,"January 23, 1914"
January 28,Kensal Town,"Kensal Town, Second Avenue. Miss Haig",['Miss Haig'],,,"January 23, 1914"
January 28,Poplar,"Poplar, 319, East India Dock Road. Rev. C. Baumgarten, Miss Flora Murray","['Rev. C. Baumgarten', 'Miss Flora Murray']",,,"January 23, 1914"
January 29,Bayswater,"Bayswater, Elysee Galleries, Queen's Road. Mrs. Dacre Fox, Miss Olive Bartels, and others","['Mrs. Dacre Fox', 'Miss Olive Bartels']",,,"January 23, 1914"
January 29,Bow,"Bow, Out-and-Out Mission Hall, Tredegar Road. Miss Ada Wright",['Miss Ada Wright'],,,"January 23, 1914"
January 29,Bromley,"Bromley, Knapp Road. Miss Canning",['Miss Canning'],,,"January 23, 1914"
January 29,Canning Town,"Canning Town, 124, Barking Road. Miss Jacobs",['Miss Jacobs'],,,"January 23, 1914"
January 29,Hampstead,"Hampstead, Drill Hall, Heath Street. Miss Nancy Lightman, Mr. F. Whelan. Chair: Miss Hicks, M.A.","['Miss Nancy Lightman', 'Mr. F. Whelan']",,,"January 23, 1914"
January 29,Kensington,"Kensington, Royal Palace Hotel. Dr. Dalglish",['Dr. Dalglish'],,,"January 23, 1914"
