Date,Location,Raw,Speakers,Hosts,Issue date
JANUARY 4,"London. Dulwich Hansler Hall, Hansler Road, Lordship Lane","JANUARY 4 . London . Dulwich Hansler Hall , Hansler Road , Lord- ship Lane - Meeting of the Independent Labour Party - Speaker , Mrs. Winter",['Mrs. Winter'],,"JANUARY 2 , 1914"
JANUARY 5,Southport. Cambridge Hall,"JANUARY 5 . Southport . Cambridge Hall - Speaker , Mrs. Philip Snowden",['Mrs. Philip Snowden'],,"JANUARY 2 , 1914"
JANUARY 6,"Clapham - 16, Victoria Road","JANUARY 6 . Clapham - 16 , Victoria Road - Members ' Meet- ing , followed by a Meeting for Friends of Women's Suffrage at 8.30 - Hostess , Miss Lawrence - Suffrage Play - Music - Speaker , Miss M. Goddard","['Miss M. Goddard', 'Suffrage Play', 'Music']",,"JANUARY 2 , 1914"
JANUARY 6,"Hammersmith - 54, Uxbridge Road","JANUARY 6 . Hammersmith - 54 , Uxbridge Road - Meting of the Conservative and Unionist Association- Speaker , Miss Palliser",['Miss Palliser'],,"JANUARY 2 , 1914"
JANUARY 7,Tower Hill,"JANUARY 7 . Tower Hill - Open - air Meeting - Speakers , Miss Fielden and Miss Walshe - Chair , Miss Bagenal","['Miss Fielden', 'Miss Walshe']",,"JANUARY 2 , 1914"
JANUARY 2,Berkhampstead The Hall,"JANUARY 2 . Berkhampstead The Hall - Hostess , Mrs. Edward Greene - Speaker , Miss Rosamond Smith -Suffrage Play and Music - Tea","['Miss Rosamond Smith', 'Suffrage Play', 'Music']",,"JANUARY 2 , 1914"
JANUARY 5,Braintree - Workmen's Hall,"JANUARY 5 . Braintree - Workmen's Hall - Speaker , Mrs. Rackham - Chair , Mr. A. Hills",['Mrs. Rackham'],,"JANUARY 2 , 1914"
JANUARY 6,Birmingham - John Bright Street,JANUARY 6 . Birmingham - John Bright Street - Mrs . Osler will address the Tinplate Workers,['Mrs. Osler'],,"JANUARY 2 , 1914"
JANUARY 6,Bradford - Salem Congregational Church- Young People's Union,"JANUARY 6 . Bradford - Salem Congregational Church- Young People's Union - Speaker , Miss Elkins",['Miss Elkins'],,"JANUARY 2 , 1914"
JANUARY 6,"Liverpool Picton Hall, William Brown Street","JANUARY 6 . Liverpool Picton Hall , William Brown Street -Public Meeting - Speakers , Mrs. Philip Snow- den , Miss Cicely Leadley Brown , and others- Chair , Sir Benjamin Johnson","['Mrs. Philip Snowden', 'Miss Cicely Leadley Brown']",,"JANUARY 2 , 1914"
JANUARY 6,"Oxford - 5, Ship Street","JANUARY 6 . Oxford - 5 , Ship Street ( by kind permission of Mrs. Cranswick ) -At Home of the Com- mittee to Elementary Teachers",['Elementary Teachers'],['Mrs. Cranswick'],"JANUARY 2 , 1914"
JANUARY 6,Penarth - Christ Church (Congregational),"JANUARY 6 . Penarth - Christ Church ( Congregational ) - Miss Helen Fraser on "" The Child and the State """,['Miss Helen Fraser'],,"JANUARY 2 , 1914"
JANUARY 7,Aylesford - W.L.A.,"JANUARY 7 . Aylesford - W.L.A. - Miss Griffith Jones on "" Sweated Workers """,['Miss Griffith Jones'],,"JANUARY 2 , 1914"
JANUARY 8,"Brighton - 55, Old Steine","JANUARY 8 . Brighton - 55 , Old Steine - Y.M.C.A . Debating Society - Parliamentary Evening : Speech "" of a Suffragist Minister , Miss Merrifield",['Miss Merrifield'],,"JANUARY 2 , 1914"
JANUARY 8,Penarth - The Institute,"JANUARY 8 . Penarth - The Institute - Miss Helen Fraser on "" Women in Industry """,['Miss Helen Fraser'],,"JANUARY 2 , 1914"
JANUARY 8,Wallasey and Wirral - Newton,"JANUARY 8 . Wallasey and Wirral - Newton - Drawing - room Meeting Speaker , Miss Paxton - Chair , E. F. McPherson Miss",['Miss Paxton'],,"JANUARY 2 , 1914"
JANUARY 2,"Braintree ""Fennes""","JANUARY 2 . Braintree Drawing room Meeting at "" Fennes "" -Speaker , Mrs. Rackham",['Mrs. Rackham'],,"JANUARY 2 , 1914"
