Date,Location,Raw,Speakers,Description,Issue date
JAN . 17,"Clapham , The Plough","Clapham , The Plough . Miss Bell",['Miss Bell'],,"January 17 , 1913"
JAN . 17,"Bermondsey , 130 , Old Kent - road","Bermondsey , 130 , Old Kent - road . Miss Haarbleicher",['Miss Haarbleicher'],,"January 17 , 1913"
JAN . 17,"Chelsea , World's End","Chelsea , World's End . M.F. for Macpherson , Mr. W. Willox",['Mr. W. Willox'],,"January 17 , 1913"
JAN . 17,"Edmonton , The Green","Edmonton , The Green . M.P.U.",,Women only,"January 17 , 1913"
JAN . 17,"Ilford , Broadway - chambers","Ilford , Broadway - chambers . Miss Richmond , Miss Croxon",,,"January 17 , 1913"
JAN . 17,"Limehouse , Stainsby - street","Limehouse , Stainsby - street . Miss Hutchinson",,,"January 17 , 1913"
JAN . 17,"Lincoln's Inn House , Kingsway , W.C.","Lincoln's Inn House , Kingsway , W.C. Miss Rosa",,,"January 17 , 1913"
JAN . 17,"Mile End - road , Canal Bridge","Mile End - road , Canal Bridge . Miss Leo",,,"January 17 , 1913"
JAN . 17,"N. Kensington , St. Mark's Hall","N. Kensington , St. Mark's Hall . Morrison , B.A.","['Morrison, B.A.']",,"January 17 , 1913"
JAN . 17,"Poplar , 157 , East India Dock - road .","Poplar , 157 , East India Dock - road . Poplar , 157 , East India Doek - road .",,,"January 17 , 1913"
JAN . 17,"Sloane - square , W.","Sloane - square , W. Miss Naylor",['Miss Naylor'],,"January 17 , 1913"
JAN . 18,"Kensal Rise , Harvist - road","Kensal Rise , Harvist - road . Miss Hopkins",,,"January 17 , 1913"
JAN . 18,Mile End Waste,Mile End Waste . Miss Barry,,,"January 17 , 1913"
JAN . 18,"N. Kensington , 3 , Testerton - street","N. Kensington , 3 , Testerton - street . Miss Randell",,,"January 17 , 1913"
JAN . 18,"Poplar , St. Michael's Church","Poplar , St. Michael's Church . Miss Guttridge",,,"January 17 , 1913"
JAN . 18,"Stratford , Maryland Point","Stratford , Maryland Point , Miss Feek",,,"January 17 , 1913"
JAN . 18,"Streatham , Gleneldon - road","Streatham , Gleneldon - road , Miss Gladman",,,"January 17 , 1913"
JAN . 18,"Walthamstow , Church - hill","Walthamstow , Church - hill . Miss Dickinson",,,"January 17 , 1913"
JAN . 18,Wimbledon Broadway,Wimbledon Broadway . Miss Cox,,,"January 17 , 1913"
JAN . 18,"Woolwich , Eleanor - road","Woolwich , Eleanor - road . Miss Kelly",,,"January 17 , 1913"
JAN . 18,World's End,World's End,,,"January 17 , 1913"
JAN . 19,"Hampstead Heath , Flagstaff","Hampstead Heath , Flagstaff . Miss Lennox",,,"January 17 , 1913"
