Date,Location,Raw,Description,Speakers,Hosts,Issue date
FEBRUARY 13,Balham Assembly Rooms (Minor Hall),"Balham Balham Assembly Rooms ( Minor Hall ) Entertainment - Sketch by the Actresses ' Franchise League Speaker , Mr. Malcolm Mitchell",Entertainment - Sketch by the Actresses' Franchise League,['Mr. Malcolm Mitchell'],,"FEBRUARY 13 , 1914"
FEBRUARY 13,"Brook Green Hotel, Shepherd's Bush Road","Hammersmith - Brook Green Hotel , Shepherd's Bush Road - Meeting of the National Union of Railwaymen",Meeting of the National Union of Railwaymen,,,"FEBRUARY 13 , 1914"
FEBRUARY 13,"Barnsbury Hall, Upper Street","Islington Barnsbury Hall , Upper Street - Suffrage Club Meeting",,,,"FEBRUARY 13 , 1914"
FEBRUARY 14,Albert Hall,"South Kensington - Albert Hall - Public Meet- ing - Speakers , Miss A. Maude Royden , Mrs. Creighton , Mr. A. Henderson , M.P. , Lord Lytton , Mr. Fenner Brockway , Mr. William Barton , M.P. , Mr. Robert Smillie - Chair , Mrs. Henry Fawcett , LL.D.",,"['Miss A. Maude Royden', 'Mrs. Creighton', 'Mr. A. Henderson', 'Lord Lytton', 'Mr. Fenner Brockway', 'Mr. William Barton', 'Mr. Robert Smillie']",,"FEBRUARY 13 , 1914"
FEBRUARY 16,Pioneer Institute,"Walthamstow - Pioneer Institute Lantern Lecture by Miss Hibbert Ware on "" Pioneers In Education . ""","Lantern Lecture by Miss Hibbert Ware on ""Pioneers In Education""",['Miss Hibbert Ware'],,"FEBRUARY 13 , 1914"
FEBRUARY 17,"The Suffrage Shop, 219, Mile End Road","Mile End - The Suffrage Shop , 219 , Mile End Road Speaker , Miss Agnes Dawson . Recita- tions by Miss Ramsay",,"['Miss Agnes Dawson', 'Miss Ramsay']",,"FEBRUARY 13 , 1914"
FEBRUARY 17,"Lindsay Hall, The Wall, Notting Hill Gate","South Kensington - Lindsay Hall , The Wall , Notting Hill Gate - Lantern Lecture by Mrs. St. Clair Stobart on "" A Women's Convoy Corps in the Balkan War , "" also the Margaret Morris Dancing Children","Lantern Lecture by Mrs. St. Clair Stobart on ""A Women's Convoy Corps in the Balkan War""",['Mrs. St. Clair Stobart'],,"FEBRUARY 13 , 1914"
FEBRUARY 17,"Burnmoor, Egmont Road","Sutton - Burnmoor , "" Egmont Road - Drawing- room Meeting - Hostess , Miss Cooke - Speaker , Miss Ruth Young - Chair , the Rev. Carey Taylor",,['Miss Ruth Young'],['Miss Cooke'],"FEBRUARY 13 , 1914"
FEBRUARY 18,"Girl's Club, Devonshire Road","Chiswick Girl's Club , Women's Meeting Devonshire Road",,,,"FEBRUARY 13 , 1914"
FEBRUARY 18,St. Michael's School's Ebury Square,"St. George's. Hanover Square - St. Michael's School's Ebury Square - Speaker, Mrs. Rackham, P.L.G.",,['Mrs. Rackham'],,"FEBRUARY 13 , 1914"
