Date,Location,Raw,Speakers,Description,Issue date
MAR. 22,Ilford,"Ilford, Balfour - road. Miss Haslam ...",['Miss Haslam'],,"March 21 , 1913"
MAR. 22,Kensington High - street,Kensington High - street. Mr. H. B. Pamment ...,['Mr. H. B. Pamment'],,"March 21 , 1913"
MAR. 22,King - street,King - street. Miss Rogers. Chair: Mrs. Dacre Fox ...,['Miss Rogers'],,"March 21 , 1913"
MAR. 22,West Ham,"West Ham, Maryland Point. Miss D. Gregor, D. Macpherson, Mr. F. D. Fox, Dr. A. Essex ...","['Miss D. Gregor', 'D. Macpherson', 'Mr. F. D. Fox', 'Dr. A. Essex']",,"March 21 , 1913"
MAR. 23,Victoria Park,Victoria Park. M.F.W.S. Mr. V. Prout ...,['Mr. V. Prout'],,"March 21 , 1913"
"WED., MAR. 26",Hford,"Hford, Manor Park, Earl of Rower ...",['Earl of Rower'],,"March 21 , 1913"
"THURS., MAR. 27",Finsbury Park,"Finsbury Park, 52, Brownswood - road. Mrs. Beatty. Chair: Mrs. Macnamara ...",['Mrs. Beatty'],,"March 21 , 1913"
MAR. 28,Lincoln's Inn House,"Lincoln's Inn House, Kingsway. Speakers' Class, Miss Rosa Leo ...",['Miss Rosa Leo'],,"March 21 , 1913"
MAR. 28,Mile End Waste,Mile End Waste. Miss M. Harvey ...,['Miss M. Harvey'],,"March 21 , 1913"
"SUN., MAR. 22",Edinburgh,"Edinburgh, West End. Miss M. Burn Murdoch. Chair: Miss Fitzroy ...",['Miss M. Burn Murdoch'],,"March 21 , 1913"
MAR. 22,Edinburgh,"Edinburgh, St. David - street ...",[],,"March 21 , 1913"
MAR. 22,Edinburgh,"Edinburgh, Haymarket ...",[],,"March 21 , 1913"
MAR. 23,Edinburgh,"Edinburgh, Mound. Miss A. Scott. Chair: Miss Shaw ...",['Miss A. Scott'],,"March 21 , 1913"
"SAT., MAR. 22",North Kensington,"North Kensington, junction road. Miss Hicks, M.A. ...",['Miss Hicks'],,"March 21 , 1913"
"Thursday, April 10",Royal Albert Hall,"Royal Albert Hall Meeting, 8 p.m.",,8 p.m.,"March 21 , 1913"
