Date,Location,Raw,Hosts,Speakers,Description,Issue date
NOVEMBER 14,Balham,"Balham - Drawing - room Meeting - at 170 , Bed- ford Hill - Hostess , Miss Shore - Speaker , Miss Sheepshanks",['Miss Shore'],['Miss Sheepshanks'],,"NOVEMBER 14 , 1913"
NOVEMBER 14,Islington,"Islington - Barnsbury Hall , Upper Street- Suffrage Club - Members ' night - One guest each allowed - Club Guest , Miss M. Berry ( Women's Local Government Society )",,['Miss M. Berry'],,"NOVEMBER 14 , 1913"
NOVEMBER 14,"Primitive Methodist Chapel, Market Road","Meeting of the Debating Society at the Primitive Methodist Chapel , Market Road- Speaker , Miss Helen Ward",,['Miss Helen Ward'],,"NOVEMBER 14 , 1913"
NOVEMBER 14,Westminster Palace Hotel,"London Society's Reception - Westminster Palace Hotel - Speakers , Miss Chrystal Mac- millan , B.Sc. , M.A. , Sir William Chance , Bart . -Chair , Miss K. D. Courtney ( Hon . Secretary , N.U.W.S.S. )",,"['Miss Chrystal Macmillan', 'Sir William Chance', 'Miss K. D. Courtney']",,"NOVEMBER 14 , 1913"
NOVEMBER 15,Whitechapel,"Whitechapel - Social Gathering at 219 , Mile End Road",,,Social Gathering,"NOVEMBER 14 , 1913"
NOVEMBER 15,Streatham,"Streatham - Open - air Meeting at corner of Stanthorpe Road and Streatham High Road- Speakers , Miss Agnes Dawson and Mr. David Caddick - Chairman , Mr. Harford Warlock",,"['Miss Agnes Dawson', 'Mr. David Caddick']",,"NOVEMBER 14 , 1913"
NOVEMBER 16,Hampstead Heath,"Hampstead Meeting by the Whitestone Pond , Hampstead Heath Speakers , Miss D. E. Browne , Miss Hamilton , Miss Beryl Power , and Mrs. Ronald Garrett",,"['Miss D. E. Browne', 'Miss Hamilton', 'Miss Beryl Power', 'Mrs. Ronald Garrett']",,"NOVEMBER 14 , 1913"
NOVEMBER 17,Croydon,"Croydon - 34A , The Arcade , High Street , "" At Home "" -Speaker , Miss L. F. Morland",,['Miss L. F. Morland'],,"NOVEMBER 14 , 1913"
NOVEMBER 17,South London,"South London- "" At Home , "" Trade Union Hall , 30 , Brixton Road - Speaker , Miss C. A. V. Cony beare , "" The Position of Women in the Liberal Party """,,['Miss C. A. V. Conybeare'],,"NOVEMBER 14 , 1913"
NOVEMBER 17,Holloway,"Islington Meeting of the Holloway Branch of the Women's Co - operative Guild - Speaker , Mrs. Milne",,['Mrs. Milne'],,"NOVEMBER 14 , 1913"
