Date,Location,Raw,Speakers,Hosts,Description,Issue date
JANUARY 10,Bacup Town Hall,"Bacup Town Hall - Mr . Philip Snowden , M.P.- Mrs. H. M. Swanwick , M.A.","['Mr. Philip Snowden', 'Mrs. H. M. Swanwick', 'M.P.', 'M.A.']",,,"JANUARY 10 , 1913"
JANUARY 10,Birmingham,"Birmingham - Sparkbrook , Mrs. Pooler's Meeting- Miss Matheson - Miss Kirby","['Miss Matheson', 'Miss Kirby']",,,"JANUARY 10 , 1913"
JANUARY 10,Liverpool,Liverpool - Exchange Flags - Miss Muriel Matters,['Miss Muriel Matters'],,,"JANUARY 10 , 1913"
JANUARY 13,Birmingham,"Birmingham - Queen's College , Paradise Street- Miss Meeting Chair : Kirby- Speaker : Mrs. Mathews",['Mrs. Mathews'],,,"JANUARY 10 , 1913"
JANUARY 13,Windermere,Windermere - Waverley Temperance Hotel - Miss Helen Fraser,['Miss Helen Fraser'],,,"JANUARY 10 , 1913"
JANUARY 14,Ambleside,"Ambleside Assembly Rooms - Chair : Mr. Hubert Coates , J.P. - Miss Helen Fraser",['Miss Helen Fraser'],,,"JANUARY 10 , 1913"
JANUARY 14,Mickleham,Mickleham - Drawing - room Meeting at Mrs. Gordon Rackham v . Miss,[],['Mrs. Gordon Rackham'],,"JANUARY 10 , 1913"
JANUARY 14,Woodbridge,Woodbridge - Council School - Meeting - Chair : Lady Mary Cayley - Mrs . Rackham,['Mrs. Rackham'],,,"JANUARY 10 , 1913"
JANUARY 14,Wakefield,"Wakefield - Guild Room , Unity Hall - Mrs . Renton",['Mrs. Renton'],,,"JANUARY 10 , 1913"
JANUARY 14,Manchester,"Manchester - Salford Suffrage Association Manchester "" At Home , "" Parker's Restaurant , St. Ann's Square Clark's Mrs. Gladys Pott",['Mrs. Gladys Pott'],"[""Clark's""]","Salford Suffrage Association ""At Home""","JANUARY 10 , 1913"
JANUARY 15,Keswick,"Keswick Albion Hotel Suffrage Entertain- ment opened by Mrs. Chance ( Pre- sident of the Carlisle Society ) - "" White Elephant Stall "" -Theatri- Concert , Side Shows - Tea cals ,",,,"Suffrage Entertainment opened by Mrs. Chance (President of the Carlisle Society), ""White Elephant Stall"", Theatricals, Concert, Side Shows, Tea","JANUARY 10 , 1913"
JANUARY 15,Gateshead,"Gateshead - W . S. Shop , 115 , High West Street- Social Meeting for Women ( Wednes- days )",,,Social Meeting for Women (Wednesdays),"JANUARY 10 , 1913"
JANUARY 15,Tunbridge Wells,Tunbridge Wells - Monson Hall - Debate at League of Young Liberals - Opener : Miss Griffith Jones,['Miss Griffith Jones'],,,"JANUARY 10 , 1913"
JANUARY 15,Morecambe,"Morecambe - Lupton Memorial Hall - Chair : Mrs. Bell - Speakers : Miss Helen Fraser , the Rev. J. Bell and Mr. Howson","['Miss Helen Fraser', 'Rev. J. Bell', 'Mr. Howson']",,,"JANUARY 10 , 1913"
JANUARY 15,Manchester,Manchester - Hulme Suffrage Club - Social Even- ing Speaker : Miss Ashton,['Miss Ashton'],,Hulme Suffrage Club Social Evening,"JANUARY 10 , 1913"
JANUARY 16,Carnforth,Carnforth - Co - operative Hall - Public Meeting - Miss Helen Fraser - Chair : Captain Stanley Musgrave,['Miss Helen Fraser'],,,"JANUARY 10 , 1913"
JANUARY 16,Manchester,"Manchester - American Tea , by permission of Mrs. Ransome , at Trafford Old Hall , Old Trafford",,['Mrs. Ransome'],American Tea,"JANUARY 10 , 1913"
JANUARY 17,Manchester,"Manchester - Albert Hall , Lecture Hall - Annual Meeting of Manchester Society- Miss Frances Sterling",['Miss Frances Sterling'],,Annual Meeting of Manchester Society,"JANUARY 10 , 1913"
