Date,Location,Raw,Speakers,Issue date
"Friday , April 24",Battersea,"Battersea , Strath Terrace ... 8 p.m.",['Mrs. Thomson'],"April 24 , 1914"
"Friday , April 24",Acton,"Acton , Market Place , Horn Lane . Mrs. Thomson ... 8 p.m.",,"April 24 , 1914"
"Friday , April 24",Battersea,"Battersea , Comyn Road . Miss Coombs , Mrs. Duval ... 7.30 p.m.",,"April 24 , 1914"
"Friday , April 24",Chelsea,"Chelsea , 308. King's Road . Speakers ' Class . Miss Ada Moore ... 6 p.m.",,"April 24 , 1914"
"Friday , April 24",Croydon,"Croydon , Katherine Street . Miss Canning ... 8 p.m.",,"April 24 , 1914"
"Friday , April 24",Kentish Town,"Kentish Town , Leighton Road ... 7.45 p.m.",,"April 24 , 1914"
"Friday , April 24",Kilburn,"Kilburn , Messina Avenue , High Road . Rev. C. A. Wills , Miss Jacobs ... 8 p.m.",,"April 24 , 1914"
"Friday , April 24",Lincoln's Inn House,"Lincoln's Inn House , Kingsway . Speakers ' Class . Miss Rosa Leo ... 12.50 p.m.",,"April 24 , 1914"
"Friday , April 24",North Kensington,"North Kensington , corner of Blenheim Crescent and Portobello Road . Miss M. Coombs . Chair : Miss Lynch ... 8 p.m.",,"April 24 , 1914"
"Friday , April 24",Sloane Square,"Sloane Square . Miss Marie Naylor , Miss Medwin ... 3.15 p.m.",,"April 24 , 1914"
"Friday , April 24",Tooting Broadway,Tooting Broadway . Miss Palmer ... 8 p.m.,,"April 24 , 1914"
"Friday , April 24",Walthamstow,"Walthamstow , Tower Corner , Hoe Street . Miss Haslam . Chair : Mrs. Gladman ... 8 p.m.",,"April 24 , 1914"
"Friday , April 24",Wimbledon,"Wimbledon , Queen's Hall , Broadway . Dr. A. D. Macpherson , Miss Gilliatt . Chair : Mrs. Boulton ... 8.15 p.m.",,"April 24 , 1914"
"Saturday , April 25",Gloucester Road Station,Gloucester Road Station . Miss Canning ... 12 30 p.m.,,"April 24 , 1914"
"Saturday , April 25",Kingston,"Kingston , Church Street . Miss Coombs ... 7.30 p.m.",,"April 24 , 1914"
"Saturday , April 25",Harlesden,"Harlesden , Manor Park Road . Miss Barry , Miss Dransfield ... 8 p.m.",,"April 24 , 1914"
"Saturday , April 25",Hampstead Heath,"Hampstead Heath , Flagstaff . Miss Nance Lightman , Mi - s Wilson ... 3.30 p.m.",,"April 24 , 1914"
"Saturday , April 25",Holloway Road,"Holloway Road , Jones Brothers . Miss Fraser Smith , Miss Codd ... 8 p.m.",,"April 24 , 1914"
"Saturday , April 25",Ilford,"Ilford , Balfour Road . Miss Gilliatt ... 8 p.m.",,"April 24 , 1914"
"Saturday , April 25",Kingston,"Kingston , Coronation Stone . Miss Beauchamp ... 12 noon",,"April 24 , 1914"
"Saturday , April 25",South Wimbledon,"South Wimbledon , Broadway . Miss Canning ... 8 p.m.",,"April 24 , 1914"
"Saturday , April 25",West Ham,"West Ham , Forest Gate Station . Miss Gwen Richard , Miss Hooper ... 7.30 p.m.",,"April 24 , 1914"
"Saturday , April 25",Wandsworth,"Wandsworth , ontside Council House . Mrs. Threader Chapman ... 3 p.m.",,"April 24 , 1914"
"Saturday , April 25",Wimbledon,"Wimbledon , 9 , Victoria Crescent ... 8 p.m.",,"April 24 , 1914"
"Sunday , April 26",Gladstone Park,"Gladstone Park , Dollis Hill . Miss Elsa Myers , Mrs. Penn Gaskell , Rev. C. A. Wills , Miss Phoebe Richards , Miss Jacobs ... 4.30 p.m.",,"April 24 , 1914"
"Sunday , April 26",Hampstead Heath,"Hampstead Heath , Flagstaff . Mrs. Cameron Swan ... 3 p.m.",,"April 24 , 1914"
"Sunday , April 26",Lewisham,"Lewisham , Market Place . Mr. Bostock . Chair : Miss F. Thomins ... 3.30 p.m.",,"April 24 , 1914"
"Sunday , April 26",Streatham Common,Streatham Cominon . Miss Marie Naylor ... 11.30 a . m .,,"April 24 , 1914"
"Sunday , April 26",Wimbledon Common,Wimbledon Common ... 6.30 p.m.,,"April 24 , 1914"
"Sunday , April 26",Clapham Common,"Clapham Common . Mrs. John Brindley , Chair : Miss Dorice Smith ... 3 p.m.",,"April 24 , 1914"
"Sunday , April 26",Ealing Common,Ealing Common . Miss C. M. A. Coombs ... 3.30 p.m.,,"April 24 , 1914"
"Monday , April 27",Chelsea,"Chelsen , 308 , King's Road . Women's Meeting ... 8 p.m.",,"April 24 , 1914"
"Monday , April 27",Kentish Town,"Kentish Town , 44 , Malden Road . Women's Meeting . Miss Newcomb , Mrs. Henderson ... 8 p.m.",,"April 24 , 1914"
