Date,Location,Raw,Speakers,Hosts,Issue date
MARCH 27,"London, Balham Corner of Ormeley Road and Balham High Road","Balham Corner of Ormeley Road and Balham High Road - Open - air Meeting - Speaker , Miss Philippa Fawcett",['Miss Philippa Fawcett'],,"MARCH 27 , 1914"
MARCH 27,"London, Islington - Barnsbury Hall , Upper Street","Islington - Barnsbury Hall , Upper Street- Suffrage Club Meeting - Close of Session",,,"MARCH 27 , 1914"
MARCH 27,"London, Peckham - Corner of Nigel Road and Rye Lane","Peckham - Corner of Nigel Road and Rye Lane -Open - air Meeting - Speakers , Miss Fyffe , Miss Gloyn , Miss Walshe","['Miss Fyffe', 'Miss Gloyn', 'Miss Walshe']",,"MARCH 27 , 1914"
MARCH 27,"London, Westminster Palace Hotel , Victoria Street","Westminster Palace Hotel , Victoria Street- Speakers , Miss Emily Hill , P.L.G. , Miss Pit- cairn Knowles , Mrs. Rackham , P.L.G. , Mr. John Raphael - Chair , Mrs. Oliver Strachey - Discus- sion - Tea","['Miss Emily Hill', 'Miss Pitcairn Knowles', 'Mrs. Rackham', 'Mr. John Raphael']",,"MARCH 27 , 1914"
MARCH 30,"London, Camberwell 46 , The Gardens , Peckham Rye","Camberwell 46 , The Gardens , Peckham Rye- Social Evening - Hostess , Mrs. Harvey",[],['Mrs. Harvey'],"MARCH 27 , 1914"
MARCH 30,"London, South Kensington - Allen Street Schools","South Kensington - Allen Street Schools - Social Meeting Speaker , Miss Rinder",['Miss Rinder'],,"MARCH 27 , 1914"
MARCH 30,"London, South St. Pancras - 56 , Doughty Street , W.C.","South St. Pancras - 56 , Doughty Street , W.C.- Drawing - room Meeting - Hostess , Mrs. Turner- Speakers , Mrs. Oliver Strachey , Mr. Turner Chair , the Rev. A. W. Allen","['Mrs. Oliver Strachey', 'Mr. Turner']",,"MARCH 27 , 1914"
MARCH 30,"London, Wandsworth - Wandsworth Town Hall ( Small Hall )","Wandsworth - Wandsworth Town Hall ( Small Hall ) Local Committee of Branch- "" At Home "" Speaker , the Lady Francis Balfour - Chair , Miss Emily Hill . P.L.G.",['the Lady Francis Balfour'],,"MARCH 27 , 1914"
MARCH 31,"London, Hoxton 27 and 29 , New North Road","Hoxton 27 and 29 , New North Road - Imperial Debating and Social Society - Speakers , Mrs. Abbott , Mr. C. Bicknell","['Mrs. Abbott', 'Mr. C. Bicknell']",,"MARCH 27 , 1914"
MARCH 31,"London, Lewisham St. Mary's Hall , Ladywell Road","Lewisham St. Mary's Hall , Ladywell Road- Joint Demonstration - Speakers , Mrs. Henry Fawcett , LL.D. , Mr. R. F. Cholmeley , M.A.- Chair , the Hon . Sir John Cockburn , K.C.M.G.","['Mrs. Henry Fawcett', 'Mr. R. F. Cholmeley']",,"MARCH 27 , 1914"
MARCH 31,"London, North and South Paddington - Guardians ' Offices , Harrow Road","North and South Paddington - Guardians ' Offices , Harrow Road - Joint Social Meeting- Arranged by North and South Paddington Local Committees Speaker , Miss Stoehr- Chair , the Rev. W. E. Egerton Swann",['Miss Stoehr'],,"MARCH 27 , 1914"
APRIL 1,"London, Lewisham Co - operative Hall , Brownhill Road","Lewisham Co - operative Hall , Brownhill Road Meeting of Women's Co - operative Guild- Speaker , Miss M. Goddard",['Miss M. Goddard'],,"MARCH 27 , 1914"
APRIL 1,"London, Walworth - 181-3 , Walworth Road","Walworth - 181-3 , Walworth Road - Drawing- room Meeting Hostess , Mrs. John Osborn- Speaker , Miss Hay - Cooper",['Miss Hay-Cooper'],,"MARCH 27 , 1914"
APRIL 2,"London, Hampstead - 19 , Lyndhurst Road","Hampstead - 19 , Lyndhurst Road - Drawing- room Meeting - Hostess , Mrs. Singer - Speaker , Mrs. Garrett Jones - Chair , Mrs. Singer",['Mrs. Garrett Jones'],,"MARCH 27 , 1914"
