Date,Location,Raw,Description,Speakers,Hosts,Issue date
NOVEMBER 9,Knutsford - King's Coffee House,Knutsford - King's Coffee House - Cake Sale and Entertainment . 3.30-5.30,Cake Sale and Entertainment,,,"NOVEMBER 9 , 1911"
NOVEMBER 9,Darlington - Mrs . Atkinson's Drawing - room,Darlington - Mrs . Atkinson's Drawing - room Meeting - Miss C. M. Gordon .,,['Miss C. M. Gordon'],,"NOVEMBER 9 , 1911"
NOVEMBER 9,Haslingden - Public Hall,"Haslingden - Public Hall - Mrs . Philip Snowden , Miss M. Robertson , Rev. J. W. Nairn ( chair ) .",,"['Mrs . Philip Snowden', 'Miss M. Robertson', 'Rev. J. W. Nairn']",,"NOVEMBER 9 , 1911"
NOVEMBER 9,"Wallasey and Wirral - Memorial Hall , Liscard","Wallasey and Wirral - Memorial Hall , Liscard - Miss Frances Sterling , Alderman Bulley ( chair ) . 3.0",,"['Miss Frances Sterling', 'Alderman Bulley']",,"NOVEMBER 9 , 1911"
NOVEMBER 9,Ottery St. Mary - Church Institute Hall,"Ottery St. Mary - Church Institute Hall - Mrs . Merivale Mayer , Rev. J. Metcalfe ( chair ) .",,"['Mrs . Merivale Mayer', 'Rev. J. Metcalfe']",,"NOVEMBER 9 , 1911"
NOVEMBER 9,Riverhead,Riverhead - Miss Dutton .,,['Miss Dutton'],,"NOVEMBER 9 , 1911"
NOVEMBER 9,"Kettering - Congregational Rooms , London Road","Kettering - Congregational Rooms , London Road - Mrs . W. E. Dowson , Mrs. Renton , R. B. Wallis , Esq . , J.P. ( chair ) .",,"['Mrs . W. E. Dowson', 'Mrs. Renton', 'R. B. Wallis , Esq . , J.P.']",,"NOVEMBER 9 , 1911"
NOVEMBER 10,Llanelly Town Hall,Llanelly Town Hall - Miss Helen Fraser . 8.0,,['Miss Helen Fraser'],,"NOVEMBER 9 , 1911"
NOVEMBER 10,Darlington - Mrs. Draffan's Drawing - room,Darlington Mrs. Draffan's Drawing - room Meeting - Miss C. M. Gordon .,,['Miss C. M. Gordon'],,"NOVEMBER 9 , 1911"
NOVEMBER 10,Accrington Town Hall,""" Accrington Town Hall - Mrs . Snowden , Miss Robertson .",,"['Mrs . Snowden', 'Miss Robertson']",,"NOVEMBER 9 , 1911"
NOVEMBER 10,Brighton - Y.M.C.A . Lecture Hall,"Brighton - Y.M.C.A . Lecture Hall - Miss A. S. Verrall , Miss Chute Ellis , R. F. Cholmeley , Esq . , A. O. Jennings , Esq . ( chair ) .",,"['Miss A. S. Verrall', 'Miss Chute Ellis', 'R. F. Cholmeley , Esq .', 'A. O. Jennings , Esq .']",,"NOVEMBER 9 , 1911"
NOVEMBER 10,Oxted and Limpsfield - Mrs . Clay's Drawing - room,"Oxted and Limpsfield - Mrs . Clay's Drawing - room Meeting - Lecture , Education , Its Meaning and Use "" -Mrs . Brownlow . 3.0","Lecture , Education , Its Meaning and Use",['Mrs . Brownlow'],,"NOVEMBER 9 , 1911"
NOVEMBER 10,Teignmouth - Assembly Rooms,Teignmouth - Assembly Rooms - Mrs . Merivale Mayer .,,['Mrs . Merivale Mayer'],,"NOVEMBER 9 , 1911"
NOVEMBER 10,Royston Town Hall,"Royston Town Hall - Miss M. Norma - Smith , W. J. Mirrlees , Esq . , Wolverley Fordham , Esq . ( chair ) .",,"['Miss M. Norma - Smith', 'W. J. Mirrlees , Esq .', 'Wolverley Fordham , Esq .']",,"NOVEMBER 9 , 1911"
NOVEMBER 11,Budleigh Salterton - Public Rooms,"Budleigh Salterton - Public Rooms - Mrs . Merivale Mayer , Miss M. P. Willcocks ( chair ) . 8.0",,"['Mrs . Merivale Mayer', 'Miss M. P. Willcocks']",,"NOVEMBER 9 , 1911"
NOVEMBER 11,Watford - Miss Bradford's Drawing - room,"Watford - Miss Bradford's Drawing - room Meeting - Miss Bathurst , R. H. Pott , Esq . 3.0",,"['Miss Bathurst', 'R. H. Pott , Esq .']",,"NOVEMBER 9 , 1911"
NOVEMBER 13,Croydon Small Public Hall,"Croydon Small Public Hall "" At Home "" for Teachers - Miss Clark , Rev. H. E. Olivier . 8.0",At Home for Teachers,"['Miss Clark', 'Rev. H. E. Olivier']",,"NOVEMBER 9 , 1911"
NOVEMBER 13,Clitheroe Public Hall,"Clitheroe Public Hall - Councillor Margaret Ashton , Rev. Francis Parker , Mr. Albert Smith , M.P. ( chair ) .",,"['Councillor Margaret Ashton', 'Rev. Francis Parker', 'Mr. Albert Smith , M.P.']",,"NOVEMBER 9 , 1911"
NOVEMBER 13,Starcross - Assembly Rooms,"Starcross - Assembly Rooms - Mrs . Merivale Mayer , Sir Robert Newman ( chair ) .",,"['Mrs . Merivale Mayer', 'Sir Robert Newman']",,"NOVEMBER 9 , 1911"
NOVEMBER 13,Tunbridge Wells - The Misses Scott's Drawing - room,Tunbridge Wells - The Misses Scott's Drawing - room Meeting - Miss Eva Macnaughten .,,['Miss Eva Macnaughten'],,"NOVEMBER 9 , 1911"
NOVEMBER 13,Marple - Girls ' Institute,"Marple - Girls ' Institute - Mr . F. Neilson , M.P. , Miss Frances Sterling , and others , F. S. Rhodes , Esq . ( chair ) .",,"['Mr . F. Neilson , M.P.', 'Miss Frances Sterling', 'F. S. Rhodes , Esq .']",,"NOVEMBER 9 , 1911"
NOVEMBER 13,Romiley St. Chad's School,"Romiley St. Chad's School - F . Neilson , Esq . , M.P. , Miss M. Robert- son , B.A. , Rev. F. S. Powicke , Ph.D. ( chair ) .",,"['F . Neilson , Esq . , M.P.', 'Miss M. Robert- son , B.A.', 'Rev. F. S. Powicke , Ph.D.']",,"NOVEMBER 9 , 1911"
NOVEMBER 13,Solihull Sutton Lodge,"Solihull Sutton Lodge ( by kind permission of Mrs. Herbert Wright ) - "" White Elephant Sale "" -Mrs . Julian Osler .",White Elephant Sale,['Mrs . Julian Osler'],['Mrs. Herbert Wright'],"NOVEMBER 9 , 1911"
NOVEMBER 13,Buntingford - Technical Institute,"Buntingford - Technical Institute - Miss M. Norma - Smith , Mrs. Rackham , W. J. Mirrlees , Esq . ( chair ) .",,"['Miss M. Norma - Smith', 'Mrs. Rackham', 'W. J. Mirrlees , Esq .']",,"NOVEMBER 9 , 1911"
NOVEMBER 14,Darlington - Mrs . Turner's Drawing - room,Darlington - Mrs . Turner's Drawing - room Meeting - Miss C. M. Gordon . 3.0,,['Miss C. M. Gordon'],,"NOVEMBER 9 , 1911"
NOVEMBER 14,Hull - Committee Room,"Hull - Committee Room- "" At Home . """,At Home,,,"NOVEMBER 9 , 1911"
NOVEMBER 14,Bournemouth - Town Hall Avenue,"Bournemouth - Town Hall Avenue- "" At Home . """,At Home,,,"NOVEMBER 9 , 1911"
NOVEMBER 14,Westerham - Drawing - room,Westerham - Drawing - room Meeting - Miss Dutton .,,['Miss Dutton'],,"NOVEMBER 9 , 1911"
NOVEMBER 14,"Manchester - St . Paul's Schools , Withington","Manchester - St . Paul's Schools , Withington - Councillor M. Ashton , Miss M. Robertson , Gordon Hewart , Esq . , F. Offenheim , Esq . ( chair ) . 8.0",,"['Councillor M. Ashton', 'Miss M. Robertson', 'Gordon Hewart , Esq .', 'F. Offenheim , Esq .']",,"NOVEMBER 9 , 1911"
NOVEMBER 14,Saltash - Mrs . Hambly's Drawing - room,Saltash - Mrs . Hambly's Drawing - room Meeting - Mrs . Merivale Mayer .,,['Mrs . Merivale Mayer'],,"NOVEMBER 9 , 1911"
NOVEMBER 14,Shrewsbury Masonic Hall,Shrewsbury Masonic Hall - Members ' Meeting - Miss Noel Wright .,Members' Meeting,['Miss Noel Wright'],,"NOVEMBER 9 , 1911"
NOVEMBER 14,Kettering Cross Keys Assembly Rooms,"Kettering Cross Keys Assembly Rooms - Mrs . W. E. Dowson , Mrs. Bull ( chair ) .",,"['Mrs . W. E. Dowson', 'Mrs. Bull']",,"NOVEMBER 9 , 1911"
NOVEMBER 14,Hull Committee Room,"Hull Committee Room- "" At Home . """,At Home,,,"NOVEMBER 9 , 1911"
NOVEMBER 15,"Birmingham - Oxford House , Ashmore Road , Cotteridge","Birmingham - Oxford House , Ashmore Road , Cotteridge - Mrs . Ring , Miss Jessie Wood ( chair ) , Miss Elsie Walford ( recita- tions ) .",,"['Mrs . Ring', 'Miss Jessie Wood', 'Miss Elsie Walford']",,"NOVEMBER 9 , 1911"
NOVEMBER 15,"Oldham Moorfield , Greenacres","Oldham Moorfield , Greenacres - Mrs . J. W. Taylor's "" American Tea . """,American Tea,,['Mrs . J. W. Taylor'],"NOVEMBER 9 , 1911"
NOVEMBER 15,Hastings Public Hall,"Hastings Public Hall - The Earl of Lytton , Mrs. Fawcett , LL.D. , Earl and Countess Brassey .",,"['The Earl of Lytton', 'Mrs. Fawcett , LL.D.', 'Earl and Countess Brassey']",,"NOVEMBER 9 , 1911"
NOVEMBER 15,"Nottingham - Offices , 54 , Long Row","Nottingham - Offices , 54 , Long Row- "" The Moral Aspect "" -Mrs . Newman .",The Moral Aspect,['Mrs . Newman'],,"NOVEMBER 9 , 1911"
NOVEMBER 15,"Plymouth 14 , Tothill Avenue - Mrs . Phillips's Drawing - room","Plymouth 14 , Tothill Avenue - Mrs . Phillips's Drawing - room Meet- ing Mrs. Merivale Mayer .",,['Mrs. Merivale Mayer'],,"NOVEMBER 9 , 1911"
NOVEMBER 15,"Maidenhead - At "" Somersham ""","Maidenhead - At "" Somersham "" ( by kind permission of Mrs. Surtees , senior ) Drawing - room Meeting - The Lady Betty Balfour , Mrs. Robie Uniacke .",,"['The Lady Betty Balfour', 'Mrs. Robie Uniacke']",['Mrs. Surtees'],"NOVEMBER 9 , 1911"
NOVEMBER 15,Northwich - Miss Pierce's Drawing - room,Northwich - Miss Pierce's Drawing - room Meeting - Miss M. Robertson .,,['Miss M. Robertson'],,"NOVEMBER 9 , 1911"
NOVEMBER 15,"Bristol - 111A , White Ladies ' Road","Bristol - 111A , White Ladies ' Road - Mrs . Cates's Working Party .",Working Party,,['Mrs . Cates'],"NOVEMBER 9 , 1911"
NOVEMBER 16,"Birmingham - 10 , Easy Row","Birmingham - 10 , Easy Row - Franchise Club .",Franchise Club,,,"NOVEMBER 9 , 1911"
NOVEMBER 16,"Bristol - 26 , Cumberland Street , St. Paul's","Bristol - 26 , Cumberland Street , St. Paul's - Parlour Meeting - Mrs . Hicks , Mrs. Willis .",Parlour Meeting,"['Mrs . Hicks', 'Mrs. Willis']",,"NOVEMBER 9 , 1911"
NOVEMBER 16,"Winchester - Banqueting Hall , Guildhall","Winchester - Banqueting Hall , Guildhall - The Lady Frances Balfour , H. Rolleston Stables , Esq . , Mrs. Valpy ( chair ) .",,"['The Lady Frances Balfour', 'H. Rolleston Stables , Esq .', 'Mrs. Valpy']",,"NOVEMBER 9 , 1911"
NOVEMBER 17,Letchworth - Howard Hall,"Letchworth - Howard Hall- "" Women and Parliamentary Elections "" -Councillor Margaret Ashton , Miss M. Norma- Smith ( chair ) .",Women and Parliamentary Elections,"['Councillor Margaret Ashton', 'Miss M. Norma- Smith']",,"NOVEMBER 9 , 1911"
NOVEMBER 17,Worthing - Blackman's Hotel,"Worthing - Blackman's Hotel "" Women's Suffrage and the Right to Work "" -Miss C. Macmillan , Councillor Neale ( chair ) .",Women's Suffrage and the Right to Work,"['Miss C. Macmillan', 'Councillor Neale']",,"NOVEMBER 9 , 1911"
NOVEMBER 17,Hitchin - New Town Hall,"Hitchin - New Town Hall- "" Women's Work on Public Bodies "" - Miss Margaret Ashton , the Earl of Lytton ( chair ) .",Women's Work on Public Bodies,"['Miss Margaret Ashton', 'the Earl of Lytton']",,"NOVEMBER 9 , 1911"
NOVEMBER 17,Grayshott Village Hall,"Grayshott Village Hall - Produce Market , Plays - Mrs . F. T. Swan- wick .","Produce Market, Plays",['Mrs . F. T. Swan- wick'],,"NOVEMBER 9 , 1911"
NOVEMBER 20,Shildon - Dene Street Schools,Shildon - Dene Street Schools - Musical Evening .,Musical Evening,,,"NOVEMBER 9 , 1911"
NOVEMBER 20,Ramsgate - Congregational Hall,"Ramsgate - Congregational Hall- "" Insurance Bill "" -Miss C. Mac- 7.0 millan .",Insurance Bill,['Miss C. Mac- millan'],,"NOVEMBER 9 , 1911"
NOVEMBER 20,Bangor - Queen's Head Café,Bangor - Queen's Head Café - Annual General Meeting .,Annual General Meeting,,,"NOVEMBER 9 , 1911"
NOVEMBER 20,Bangor Queen's Head Café,Bangor Queen's Head Café - Open Meeting - Miss Eskrigge .,Open Meeting,['Miss Eskrigge'],,"NOVEMBER 9 , 1911"
NOVEMBER 20,"Redhill , Reigate and District - Rees ' Rooms","Redhill , Reigate and District - Rees ' Rooms - H . N. Brailsford , Esq .",,"['H . N. Brailsford , Esq .']",,"NOVEMBER 9 , 1911"
NOVEMBER 21,"Tunbridge Wells - Club Room , 18 , Crescent Road","Tunbridge Wells - Club Room , 18 , Crescent Road - Annual General Meeting . 3.30",Annual General Meeting,,,"NOVEMBER 9 , 1911"
NOVEMBER 21,Birmingham - Edgbaston Hall - Lady Smith's Drawing - room,"Birmingham - Edgbaston Hall - Lady Smith's Drawing - room Meeting -Lady Meyer , Mrs. Robie Uniacke ( chair ) .",,"['Lady Meyer', 'Mrs. Robie Uniacke']",,"NOVEMBER 9 , 1911"
NOVEMBER 21,Darlington - Mechanics ' Hall,Darlington - Mechanics ' Hall - Lord Lytton .,,['Lord Lytton'],,"NOVEMBER 9 , 1911"
NOVEMBER 21,"Bristol - 111A , White Ladies ' Road","Bristol - 111A , White Ladies ' Road - Lecture , "" The Care of Children "" -Miss Tivey .","Lecture, The Care of Children",['Miss Tivey'],,"NOVEMBER 9 , 1911"
NOVEMBER 21,Hull Committee Room,"Hull Committee Room- "" At Home . """,At Home,,,"NOVEMBER 9 , 1911"
NOVEMBER 21,Bangor Mrs. Gibson's Drawing - room,"Bangor Mrs. Gibson's Drawing - room Meeting- "" The Legal Dis- abilities of Women "" -Miss Lamport .",The Legal Disabilities of Women,['Miss Lamport'],,"NOVEMBER 9 , 1911"
NOVEMBER 22,"Birmingham - 10 , Easy Row","Birmingham - 10 , Easy Row - Sale of Christmas Gifts . 3-7",Sale of Christmas Gifts,,,"NOVEMBER 9 , 1911"
NOVEMBER 22,Exeter Barnfield Hall,"Exeter Barnfield Hall - Mrs . Snowden , Sir Robert Newman ( chair ) .",,"['Mrs . Snowden', 'Sir Robert Newman']",,"NOVEMBER 9 , 1911"
NOVEMBER 22,Worthing - Bedford Hall,Worthing - Bedford Hall - Dramatic Entertainment .,Dramatic Entertainment,,,"NOVEMBER 9 , 1911"
NOVEMBER 22,Rotherfield - Schoolroom,"Rotherfield - Schoolroom - Miss C. Corbett , the Hon . Mrs. Franklin ( chair . )",,"['Miss C. Corbett', 'the Hon . Mrs. Franklin']",,"NOVEMBER 9 , 1911"
NOVEMBER 22,"Nottingham - Offices , 54 , Long Row","Nottingham - Offices , 54 , Long Row- "" The Education of the Woman "" Miss Goldberg .",The Education of the Woman,['Miss Goldberg'],,"NOVEMBER 9 , 1911"
