Date,Location,Raw,Issue date
Friday,Bow,"Friday , Bow , Ford Road","December 12 , 1913"
Friday,Canning Town,"Canning Town , Beckton Road","December 12 , 1913"
Friday,Chelsea,"Chelsea , 308 , King's Road","December 12 , 1913"
Friday,Chiswick,"Chiswick , Duke Road . Miss M. Wright","December 12 , 1913"
Friday,"Lincoln's Inn House, Kingsway","Lincoln's Inn House , Kingsway","December 12 , 1913"
Friday,North Kensington,"North Kensington , Lancaster Road and Portobello Road . Miss Eisa Myers . Chair : Miss C. Whateley","December 12 , 1913"
Friday,Poplar,"Poplar , Manchester Road and East India Dock Road . Miss Hopkins , Miss Fried-lauder","December 12 , 1913"
Friday,Sloane Square,"Sloane Square , Miss Naylor . Chair : Miss Haig","December 12 , 1913"
Friday,Tooting Broadway,Tooting Broadway . Miss Gilliatt,"December 12 , 1913"
Friday,West Ham,"West Ham , The Grove , Stratford . Miss Hopkins","December 12 , 1913"
Saturday,Harlesden,"Saturday , Harlesden : Manor Park Road . Miss P. Rickards , Miss E. Wilson","December 12 , 1913"
Saturday,Ilford,"Ilford , Seven Kings Station . Miss Haslam","December 12 , 1913"
Saturday,Islington,"Islington , Holloway Road , Jones Bros. . Miss Kirby","December 12 , 1913"
Saturday,Kingston,"Kingston , Church Street . Mrs. Penn Gaskell","December 12 , 1913"
Saturday,Kingston,"Kingston , Coronation Stone . Miss Gilliatt","December 12 , 1913"
Saturday,South Wimbledon,"South Wimbledon , Broadway","December 12 , 1913"
Saturday,West Ham,"West Ham , Forest Gate Station","December 12 , 1913"
Sunday,Hampstead Heath,"Sunday , Hampstead Heath . Flagstaff . Miss Hicks , M.A.","December 12 , 1913"
Sunday,Lewisham,"Lewisham , Market Place . Miss Townsend","December 12 , 1913"
Sunday,Poplar,"Poplar , East India Dock Gates . Miss Ada Wright","December 12 , 1913"
Sunday,Wimbledon Common,Wimbledon Commou . Miss Coombs,"December 12 , 1913"
Monday,Bow,"Monday , Bow , Obelisk , Devons Road . Rev. C. Feck","December 12 , 1913"
Monday,Bow,"Bow , 321 , Roman Road","December 12 , 1913"
Monday,Canning Town,"Canning Town , Peacock . Freemason's Road . Miss Haslam","December 12 , 1913"
Monday,Chelsea,"Chelsea , 308 , King's Roal","December 12 , 1913"
Monday,Croydon,"Croydon , Small Publie Hall , Mrs. Cameron Swan . Chair : Mrs. Cameron Swan","December 12 , 1913"
Monday,Kentish Town,"Kentish Town , 44 , Malden Road . Mary Leigh","December 12 , 1913"
Monday,Knightsbridge Hall,"Knightsbridge Hall , W. Mrs. Pankhurst , Dr. F. Moxon . Chair : Mrs. Dacre Fox","December 12 , 1913"
Tuesday,Bow,"Tuesday , Bow , Otand Out Mission Hall , Tredegar Road . Miss Naylor","December 12 , 1913"
Tuesday,Canning Town,"Canning Town , White House , Shirley Street . Mr. Horsey , Miss Paterson","December 12 , 1913"
Tuesday,Chelsea,"Chelsea . Miss Haig , Miss Feddon","December 12 , 1913"
Tuesday,Poplar,"Poplar , East India Dock Gates","December 12 , 1913"
Wednesday,Ilford,"Wednesday , Ilford , Balfour Road","December 12 , 1913"
Wednesday,Palmer's Green,"Palmer's Green , 6 , Stonard Road","December 12 , 1913"
Wednesday,Poplar,"Poplar , 319 , East India Doek Road","December 12 , 1913"
Thursday,Bow,"Thursday , Bow , Knapp Road","December 12 , 1913"
