Date,Location,Raw,Speakers,Description,Issue date
MAY 9,Staple Hill Council School Hall,Staple Hill Council School Hall - Miss Chorley,['Miss Chorley'],,"MAY 9 , 1912"
MAY 9,Uckfield - Town Hall,"Uckfield - Town Hall - Miss Frances J. Cockburn , K.O.M.G. , Brassey ( ohair )","['Miss Frances J. Cockburn', 'Brassey']",,"MAY 9 , 1912"
MAY 9,Dunstable Picture Palace,Dunstable Picture Palace - Miss Margaret,['Miss Margaret'],,"MAY 9 , 1912"
MAY 9,Luton Town Hall,Luton Town Hall - Miss Margaret Mr. Milner Gray ( chair ),"['Miss Margaret', 'Mr. Milner Gray']",,"MAY 9 , 1912"
MAY 9,Rochdale Provident Hall,Rochdale Provident Hall - Annual ness meeting 7 o'clock - Mrs. Muter Wilson,['Mrs. Muter Wilson'],,"MAY 9 , 1912"
MAY 9,Weston-super-Mare,Weston - super - Mare - Miss Dolby's meeting - Miss Lloyd ( Clevedon,['Miss Lloyd'],,"MAY 9 , 1912"
MAY 9,Shrewsbury - Labour Church,Shrewsbury - Labour Church - Miss Mrs. Harley ( chair ),"['Miss Morrison', 'Mrs. Harley']",,"MAY 9 , 1912"
MAY 9,"Birmingham - Y.W.C.A Rooms, Corporation","Birmingham - Y.W.C.A Rooms , Corporation -meeting for midwives - Matters , Dr. Olive Elgood","['Matters', 'Dr. Olive Elgood']",,"MAY 9 , 1912"
MAY 9,Olton,Olton - Miss,['Miss Morrison'],,"MAY 9 , 1912"
MAY 9,Saltburn - Towers Gymnasium,Saltburn - Towers Gymnasium - Miss,['Miss Fraser'],,"MAY 9 , 1912"
MAY 10,"Newcastle-on-Tyne - 27, Ridley","Newcastle - on - Tyne - 27 , Ridley Elephant Sale",,Elephant Sale,"MAY 9 , 1912"
MAY 10,Clifton - Victoria Rooms,"Clifton - Victoria Rooms - Miss Helen M. O. Staveley , M.A. ( chair",['Miss Helen M. O. Staveley'],,"MAY 9 , 1912"
MAY 10,"Birmingham - 10, Easy Row - Franchise","Birmingham - 10 , Easy Row - Franchise",,Franchise,"MAY 9 , 1912"
MAY 10,Darlington - Temperance Institute,Darlington - Temperance Institute - Annual,,,"MAY 9 , 1912"
MAY 10,Gateshead - Bewick Hall,"Gateshead - Bewick Hall- "" Alice in Place Address by Miss M. A. M.A. , Miss Foley ( chair )""","['Miss M. A.', 'Miss Foley']",,"MAY 9 , 1912"
MAY 10,Birkenhead,Birkenhead - Mrs . B. Stanley Clarke's meeting - Miss Margaret Stanger ( chair ),['Miss Margaret Stanger'],,"MAY 9 , 1912"
MAY 10,Middlesbrough,Middlesbrough - Mrs . Trevelyan - Thomson's,,,"MAY 9 , 1912"
MAY 10,Newport,Newport - Corn Exchange - Miss,,,"MAY 9 , 1912"
MAY 9,Romiley,"Romiley - Walk and open - air meetings - Meet Romiley Station 3 o'clock - Open - air meeting Broadbottom , 5 o'clock - Tea , Mottram , 6 o'clock - Open - air meeting , Crown Pole , Mottram 7.0",,,"MAY 9 , 1912"
MAY 13,East,East Fraser,,,"MAY 9 , 1912"
MAY 13,"Birmingham - Whitford, Bromsgrove","Birmingham - Whitford , Bromsgrove - Miss Green's meeting for members - Miss Noel Wright",['Miss Noel Wright'],,"MAY 9 , 1912"
MAY 13,"Nottingham - Office, 54, Long Row","Nottingham - Office , 54 , Long Row- "" At Home "" - A Woman's Work "" -Miss Hastie",['Miss Hastie'],,"MAY 9 , 1912"
MAY 13,"Eastbourne - 16, Furness Road","Eastbourne - 16 , Furness Road - Drawing - room meet- ing - Mrs . Lyall Dempster , Dr. Ethel 3.0 Iredell ( chair )","['Mrs. Lyall Dempster', 'Dr. Ethel Iredell']",,"MAY 9 , 1912"
MAY 13,Bristol,Bristol - Open - air dinner tour . Helen 3.30 meeting - Miss,['Miss Fraser'],,"MAY 9 , 1912"
MAY 14,"Newcastle-on-Tyne - 27, Ridley Place","Newcastle - on - Tyne - 27 , Ridley Place Suffrage choir practice , conducted by Mrs. Bellas Simpson",['Mrs. Bellas Simpson'],,"MAY 9 , 1912"
MAY 14,East Bristol,East Bristol - outside boot factory - open - air meeting Fraser,['Fraser'],,"MAY 9 , 1912"
MAY 15,Hove Town Hall,"Hove Town Hall- "" At Home "" - "" Women's in Poor Law Administration "" -Mrs . Rackham",['Mrs. Rackham'],,"MAY 9 , 1912"
MAY 15,Ramsgate,Ramsgate,,,"MAY 9 , 1912"
MAY 15,Bristol,Bristol - Mrs . Senington's drawing - room meeting- Miss Helen Fraser,['Miss Helen Fraser'],,"MAY 9 , 1912"
MAY 15,Bristol - Bethe-da Schoolroom,"Bristol - Bethe - da Schoolroom - Miss Helen Fraser , Rev. Canon Talbot , D.D. ( chair )","['Miss Helen Fraser', 'Rev. Canon Talbot']",,"MAY 9 , 1912"
MAY 15,New Milton - Pagoda tea rooms,"New Milton - Pagoda tea rooms- "" Some Economio Aspects of Women's Enfranchisement "" -Mrs . Heitland Congregational 8.0 1 Hall",['Mrs. Heitland'],,"MAY 9 , 1912"
