Date,Location,Raw,Speakers,Description,Issue date
MARCH 17,London (Blackheath),London ( Blackheath ) -Jobbin's Tea Rooms - Mrs . R. Uniacke .,['Mrs. R. Uniacke.'],,"MARCH 17 , 1910"
MARCH 17,Dublin,"Dublin - 35 , Molesworth Street - Committee Meeting .",,Committee Meeting.,"MARCH 17 , 1910"
MARCH 17,Nottingham,"Nottingham - 36 , Bridlesmith Gate - Speakers ' Class .",,Speakers' Class.,"MARCH 17 , 1910"
MARCH 17,London (Epsom),"London ( Epsom ) -Gymnasium Hall , The Parade - Lecture- Councillor Margaret Ashton .",['Councillor Margaret Ashton.'],,"MARCH 17 , 1910"
MARCH 17,Reading,"Reading - Large Town Hall - Mrs . Swanwick , Mr. Baillie Weaver","['Mrs. Swanwick', 'Mr. Baillie Weaver']",,"MARCH 17 , 1910"
MARCH 17,Perth,Perth Co - operative Hall - Mrs . Snowden .,['Mrs. Snowden.'],,"MARCH 17 , 1910"
MARCH 17,London (Chelsea),London ( Chelsea ) -Social Gathering of Signatories to Petition and Friends .,,Social Gathering of Signatories to Petition and Friends.,"MARCH 17 , 1910"
MARCH 17,"London (Hackney, S.)","London ( Hackney , S . ) - Parish Room , All Saints , Clapton - Miss Cookle .",['Miss Cookle.'],,"MARCH 17 , 1910"
MARCH 18,Glasgow,Glasgow - Athenæum - Mrs Snowden and Miss Hale - Debate .,"['Mrs. Snowden', 'Miss Hale.']",,"MARCH 17 , 1910"
MARCH 18,Redhill,"Redhill - Small Market Hall Councillor Margaret Ashton- Chair , The Mayor of Reigate .","['Councillor Margaret Ashton-Chair', 'The Mayor of Reigate.']",,"MARCH 17 , 1910"
MARCH 18,London,London - Great Central Hotel - Reception to Council .,,Reception to Council.,"MARCH 17 , 1910"
MARCH 18,Edinburgh,"Edinburgh - At Home - 40 , Shandwick Place .",,At Home,"MARCH 17 , 1910"
MARCH 18,Watford,Watford - Masonic Hall - Debate - Mrs . Swanwick and Miss Lindsay .,"['Mrs. Swanwick', 'Miss Lindsay.']",,"MARCH 17 , 1910"
MARCH 19,London,London - Council Meeting - Caxton Hall .,,Council Meeting.,"MARCH 17 , 1910"
MARCH 19,"London (Paddington, S.)","London ( Paddington , S . ) - Miss Margaret Hodge .",['Miss Margaret Hodge.'],,"MARCH 17 , 1910"
MARCH 19,Marple Bridge,Marple Bridge - Congregational Hall - Propaganda Plays by members of Romiley Branch .,,Propaganda Plays by members of Romiley Branch.,"MARCH 17 , 1910"
MARCH 19,"Bushey, Herts.","Bushey , Herts . - The White Cottage - Mrs . Erskine Murray's Drawing - room Meeting - Miss Bathurst .",['Miss Bathurst.'],,"MARCH 17 , 1910"
MARCH 21,London (S. Kensington),"London ( S. Kensington ) -10 , Cherriston Gardens - Social Gather- ing of Signatories to Petition and Friends .",,Social Gathering of Signatories to Petition and Friends.,"MARCH 17 , 1910"
MARCH 21,Meols,Meols - Drawing - room Meeting .,,Drawing-room Meeting.,"MARCH 17 , 1910"
MARCH 21,London (Highgate),London ( Highgate ) -St . Pancras Baths - Lady Emily Lutyens and others .,['Lady Emily Lutyens and others.'],,"MARCH 17 , 1910"
MARCH 21,London (Hornsey),London ( Hornsey ) -Public Meeting - Mrs . Malcolm Mitchell .,['Mrs. Malcolm Mitchell.'],,"MARCH 17 , 1910"
MARCH 22,Brighton,"Brighton - 55 , Old Steyne - Women Only - Lady Bunting .",['Lady Bunting.'],,"MARCH 17 , 1910"
MARCH 25,Edinburgh,"Edinburgh - 40 , Shandwick Place - At Home - Mrs . Joseph Dobbie",['Mrs. Joseph Dobbie'],At Home,"MARCH 17 , 1910"
MARCH 30,Birmingham,Birmingham - Bull Ring .,,,"MARCH 17 , 1910"
MARCH 31,London (Willesden),London ( Willesden ) -Members ' Meeting - Miss Palliser .,['Miss Palliser.'],Members' Meeting.,"MARCH 17 , 1910"
