Date,Location,Raw,Speakers,Time,Hosts,Issue date
"March 11, 1910",Brighton,"To-day (Friday) from 7 to 9.30 p.m., at Forfar’s Restaurant, 72, Western Road, the presiding member will relate her experiences of the election campaign at Northampton; Miss Bennett will speak, and Miss Turpie will recite Suffragette songs.","['Miss Bennett', 'Miss Turpie', 'presiding member']",7 to 9.30 p.m.,,"March 11, 1910"
"March 15, 1910",Canterbury,"Drawing-room Meeting (Hostess: Mrs. Wight wick). Miss Macaulay, 3.30 p.m.",['Miss Macaulay'],3.30 p.m.,,"March 11, 1910"
"March 17, 1910",Margate,"Pioneer Rooms, At Home, Miss Macaulay, 3.30 p.m.",['Miss Macaulay'],3.30 p.m.,,"March 11, 1910"
"March 18, 1910",Oxford,"Friday, March 18lh.—Corn Exchange Hall, Miss G. Brackenbury, Miss E. Sharp. Chair, The Hon. Mrs. Haverfield, 8 p.m.","['Miss G. Brackenbury', 'Miss E. Sharp']",8 p.m.,,"March 11, 1910"
"March 19, 1910",Rayleigh,"Mrs. Phillips is giving a Musical At Home at Hockley House on Saturday, March 19, in aid of funds and to introduce the subject of Votes for Women to those at present not sufficiently interested to come to meetings. Tickets (including tea) 1s. each.",,unspecified,['Mrs. Phillips'],"March 11, 1910"
"March 11, 1910",Birmingham,"Friday, March 11th.— Digbeth Parliament, Digbeth Institute, Miss Burkitt, Miss Evans. 8 p.m.","['Miss Burkitt', 'Miss Evans']",8 p.m.,,"March 11, 1910"
"March 12, 1910",Birmingham,"Saturday, March 12th.— Poster Parade. 11.30 a.m.. Small Heath, Park Gates, Mrs. Bessie Smith Miss M. Smith. 3.30 p.m.","['Mrs. Bessie Smith', 'Miss M. Smith']","11.30 a.m., 3.30 p.m.",,"March 11, 1910"
"March 15, 1910",Birmingham,"Tuesday, March 15th.—Small Heath, Schoolroom Meet- ing, Mies G. Hazel. 8 p.m.",['Mies G. Hazel'],8 p.m.,,"March 11, 1910"
"March 16, 1910",Birmingham,"Wednesday, March 16.— Drawing-room Meeting, Mrs. Hall. 3.30 p.m. Handsworth, Ruskin Hall, Miss G. Hazel. 8 p.m.",['Miss G. Hazel'],"3.30 p.m., 8 p.m.",,"March 11, 1910"
"March 17, 1910",Birmingham,"Thursday, March 17th.—Queen's College, Reception Miss Dugdale, Mrs. Lamartine Yates. 3 p.m Queen's College, At Home, Mrs. Lamartine Yates. 7.30 p.m.","['Miss Dugdale', 'Mrs. Lamartine Yates']","3 p.m., 7.30 p.m.",,"March 11, 1910"
"March 18, 1910",Birmingham,"Friday, March 18th.—Bull Ring, Dr. Helena Jones 7 p.m.",['Dr. Helena Jones'],7 p.m.,,"March 11, 1910"
"March 11, 1910",Leicester,"Friday, March 11th. — Temperance Hall, Mrs. Pankhurst, 8 p.m.",['Mrs. Pankhurst'],8 p.m.,,"March 11, 1910"
"March 15, 1910",Northampton,"Tuesday, March 15th.—Oriental Cafe, Weekly Meet ing, Mrs. Lamartine Yates.",['Mrs. Lamartine Yates'],unspecified,,"March 11, 1910"
"March 17, 1910",Northampton,"Thursday, 17th.—10, Holly Road, Speakers’ Class (open). Chair: Miss Corson.",,unspecified,['Miss Corson'],"March 11, 1910"
"March 12, 1910",Bristol,"Saturdny, March 12th.—Victoria Rooms, Mr. H. N. Brailsford. Chair: Misa A. Kenney, 8 p.m.",['Mr. H. N. Brailsford'],8 p.m.,,"March 11, 1910"
"March 14, 1910",Bristol,"Monday, 14th.—Victoria Rooms, At Home, Mr. H. N. Brailsford, 3.30 p.m.",['Mr. H. N. Brailsford'],3.30 p.m.,,"March 11, 1910"
"March 15, 1910",Newport,"Tuesday, March 15th.— Alexandra Council Schools, Miss Rachel Barrett, 7.30 p.m.",['Miss Rachel Barrett'],7.30 p.m.,,"March 11, 1910"
"March 17, 1910",Newport,"Thursday, 17th. —Palm Court, Savoy Hotel, Tredegon Wharf Schools, Women’s Meeting.",,unspecified,,"March 11, 1910"
"March 16, 1910",Ipswich,"Wednesday, March 16th.—The Garth, Constitution Hill (Hostess, Miss Cay), Mrs. Mansel, 3 p.m.",['Mrs. Mansel'],3 p.m.,,"March 11, 1910"
"March 17, 1910",Ipswich,"Thursday, 17th.—Crane Hill House (Hostess, Mrs. Block), Mrs. Mansel, 3 p.m.",['Mrs. Mansel'],3 p.m.,,"March 11, 1910"
"March 11, 1910",Bradford,"Friday, March 11th.—Carlton Street School, Miss Mary Phillips, 7.30 p.m.",['Miss Mary Phillips'],7.30 p.m.,,"March 11, 1910"
"March 14, 1910",Bradford,"Monday, 14th.— Central Baths Hall, Morley Street, Mrs. Pankhurst, 8 p.m.",['Mrs. Pankhurst'],8 p.m.,,"March 11, 1910"
"March 15, 1910",Bradford,"Tuesday, 15th.— Friends’ Meeting House, Fountain Street, North Parade, Mrs. Pankhurst, 3 to 5.",['Mrs. Pankhurst'],3 to 5,,"March 11, 1910"
"March 16, 1910",Bradford,"Wednesday, 16th.— Friends’ Meeting House, At Home, Mrs. Pankhurst, 7.30 to 9.30 p.m.",['Mrs. Pankhurst'],7.30 to 9.30 p.m.,,"March 11, 1910"
"March 16, 1910",Newcastle,"Wednesday, March 16th.—77, Blackett Street, Miss Williams and others.","['Miss Williams', 'others']",unspecified,,"March 11, 1910"
"March 12, 1910",Lancaster,"Saturday, 12th.— Collegian Rooms, reception for Miss Martin, Mrs. Pankhurst, Mrs. Baines, Miss Gawthorpe, Miss Hewitt.","['Miss Martin', 'Mrs. Pankhurst', 'Mrs. Baines', 'Miss Gawthorpe', 'Miss Hewitt']",unspecified,,"March 11, 1910"
"March 13, 1910",Lancaster,"Bunday, 13th.— Grand Theatre, Mrs. Pankhurst and others.","['Mrs. Pankhurst', 'others']",unspecified,,"March 11, 1910"
"March 15, 1910",Preston,"Tuesday, March 15th.—Preston, 41, Glover’s Court, Preston. Members, 8 p.m.",,8 p.m.,,"March 11, 1910"
"March 16, 1910",Leyland,"Wednesday, March 16th.—Leyland Town Hall, Miss M. Hewitt, 8 p.m.",['Miss M. Hewitt'],8 p.m.,,"March 11, 1910"
