Date,Location,Raw,Speakers,Description,Hosts,Issue date
October 3,Balham and Tooting,Members and paper - sellers are asked to be present at meeting Friday ( see Pro gramme ) .,[],,,"October 3 , 1913"
October 10,Balham and Tooting,"It has been sug- gested to hold whist drive on Oct. 10 , 8 p.m.",,whist drive,['Mrs. Moore'],"October 3 , 1913"
End of October,Battersea,"Goods for jumble sale at end of October to be sent to 37 , Park Road , Wandsworth .",,jumble sale,,"October 3 , 1913"
October 13,Bow Baths,"On Mon- day , Oct. 13 , Miss Sylvia Pankhurst will address a great demonstration in Bow Baths .","['Miss Sylvia Pankhurst', 'Mrs. Mary Leigh']",,,"October 3 , 1913"
October 28,Chelsea,"jumble sale , Ost . 28",,jumble sale,,"October 3 , 1913"
October 3,Chorleywood,"On Friday , Sept. 23 , a meeting was held in Masonic Room , Chorleywood Hotel","['Miss Lennox', 'Mr. Harben']",meeting held to discuss programme for coming winter season's work,,"October 3 , 1913"
End of October,Clapham,Goods for autumn jumble may be sent in any time . Sale takes place at end of October .,,jumble sale,,"October 3 , 1913"
October 8,Croydon,"members ' social , Oct. 8 , 8 p.m.",,members' social,,"October 3 , 1913"
October 25,St Michael's Hall,"gymkhana Michael's Hall , Saturday , Oct. 25 .",,gymkhana,,"October 3 , 1913"
October 3,Kensington Hall,Tickets M.P.U. meetings at Kensington Hall ( Oct. 3 ),,M.P.U. meeting,,"October 3 , 1913"
October 8,Memorial Hall,Memorial Hall ( Oct. 8 ) .,,M.P.U. meeting,,"October 3 , 1913"
October 2,Hackney,"social on day , Oct. 2",,social,,"October 3 , 1913"
October 22,Hampstead,"Dr. Willey promised to take chair at Mrs. Swiney's lecture , Oct. 22",['Mrs. Swiney'],,,"October 3 , 1913"
November 8,"St. Andrew's Hall, Modbury Road","Jumble sale , Nov. 8 , at St. drew's Hall , Modbury Road",,Jumble sale,,"October 3 , 1913"
October 22,Nibthwaite Road,"Dr. and Mrs. Penn Gaskell will speak at Nibthwaite Road , Oct. 22","['Dr. Penn Gaskell', 'Mrs. Penn Gaskell']",,,"October 3 , 1913"
Early in November,Finchley,It was decided to hold early in November .,,jumble sale,,"October 3 , 1913"
October 4,"Rose Villa. Plashet Grove, East Ham","Drawing - room meeting , Oct. 4 , 3 to 6.30 , Rose Villa . Plashet Grove , East Ham",['Miss Haslam'],,,"October 3 , 1913"
October 6,Broadway Chambers,"Broadway Chambers , Oct. 6 , 7.30 .",,Committee meeting,,"October 3 , 1913"
October 15,Kensington Town Hall,"There will be a Town Hall meeting on Oct. 15 , 8 o'clock",['Miss Sylvia Pankhurst'],,,"October 3 , 1913"
October 3,Kingston,"Monthly meeting ; Oct. 3 , at Fife Hull , 7.30 .",,Monthly meeting,,"October 3 , 1913"
October 7,Lewisham,"Members are requested to attend meeting next Friday , and bring friends .",,See Programme,,"October 3 , 1913"
October 4,North Islington,"office on Saturday next , Oct. 4 , 5 to 7 p.m. .",,members' rally,,"October 3 , 1913"
October 8,Pinner,bazaar on Wednesday next,,bazaar,,"October 3 , 1913"
October 7,Streatham,"Members ' meeting on Tuesday , Oct. 7 , at shop , 8 p.m.",,Members' meeting to discuss autumn campaign,,"October 3 , 1913"
October 31,Stratford Town Hall,"Stratford Town Hall meeting , Oct. 31 , 8 p.m.","['Miss Sylvia Pankhurst', 'Mrs. Mary Leigh', 'Mr. H. D. Harben', 'Mr. John Scurr']",,,"October 3 , 1913"
October 9,Woolwich,"ing Thursday , Oct. 9 , 8 p.m. , in Beresford Square .",,Annual meeting,,"October 3 , 1913"
October 7,Oxford,"They will be opened on Tuesday , Oct. 7 , 8 o'clock",['Mrs. Everett'],First monthly meeting,,"October 3 , 1913"
October 3,Tunbridge Wells,"Jumble sale to be held in Mission Room , Club House , Denny Bottom . Rusthall , 3 p.m. to day ( Friday ) , Oct. 3",,Jumble sale,,"October 3 , 1913"
October 4,Worthing,"meeting at the Fish Market , Saturday , Oct. 4 , 3 p.m.",['Miss Coombs'],,,"October 3 , 1913"
October 10,Worthing,"Fortnightly sewing meet- ings will be held at office , 3 p.m. , com- mencing Oct. 10",,sewing meeting,,"October 3 , 1913"
October 7,Northampton,"meeting Tuesday , October 7 , at the Divan Café , The Drapery , 8 p.m.",,meeting to discuss arrangements for public meeting on following Tuesday,,"October 3 , 1913"
October 14,Northampton,public meeting in Trades Hall on follow- ing Tuesday,['Mrs. J. A. Bouvier'],,,"October 3 , 1913"
October 25,Nottingham,"house - warming whist drive will be held shortly ( probably Thursday , Oct. 25 ) .",,whist drive,,"October 3 , 1913"
October 9,Nottingham,"Next sewing meeting Thursday , Oct. 9 , at Mrs. R. Hutchinson's , 3 , Tattershall Drive , 3 p.m.",,sewing meeting,,"October 3 , 1913"
October 18,Walsall,"jumble sale , Saturday , October 18",,jumble sale,,"October 3 , 1913"
October 8,Bath,"At home "" for members and friends at shop , Wednesday , October 8 , 5-7 p.m.",['Miss B. Wylie'],At home for members and friends,,"October 3 , 1913"
October 6,Bristol,"social and political meeting for members and friends at 16 , Berkeley Square on See Pro- Monday , October 6 , at 8 .",['Miss Edith Pridden'],,,"October 3 , 1913"
October 8,Thornbury,"cycle party for meeting Wednesday , Thornbury , October 8",,meeting,,"October 3 , 1913"
October 8,Cheltenham,"meeting at 2 , Vittoria Walk , Wednesday , October 8 , 8 p.m.",,,,"October 3 , 1913"
"October 14, 15, and 16",Cardiff,"Rummage sale will be held at office , October 14 , 15 , and 16. during usual office hours .",,Rummage sale,,"October 3 , 1913"
November 11,Cardiff,"Miss Amy Hicks , M.A. , will address a meeting Nov. 11",['Miss Amy Hicks'],,,"October 3 , 1913"
October 8,Newport,Miss Green's lantern lec- ture on October 8,['Miss Green'],lantern lecture,,"October 3 , 1913"
October 8,Newport,"members ' "" at home "" in atternoon on October 8",['Miss Green'],at home,,"October 3 , 1913"
October 6,Scarborough,meeting on Oct. 6 at Manor Boarding House,['Mr. Laurence Housman'],,,"October 3 , 1913"
October 8,Doncaster,two important meetings on October 8,['Mr. Laurence Housman'],,,"October 3 , 1913"
October 2,Edinburgh,"Weekly meetings com- mence Thursday , Oct. 2",,Miss Lambie and others will give their experiences while on the caravan tour,,"October 3 , 1913"
October 10,Manchester,"Members invited to meet Mrs. Forrester at office for first time since her imprisonment Friday , Oct. 10 , 8 p.m.",,Members meeting with refreshments,,"October 3 , 1913"
October 11,Manchester,"Saturday , Oct. 11 , at 8 p.m. , Miss Patricia Woodlock will speak at Rusholme Place",['Miss Patricia Woodlock'],,,"October 3 , 1913"
October 12,Alexandra Park,"Sunday afternoon , Oct. 12 , Alexandra Park , 3.30 .",,meeting,,"October 3 , 1913"
