Date,Location,Raw,Speakers,Time,Description,Issue date
November 30,Streat (Sussex) - Parish Room,"Streat (Sussex) -Parish Room - Miss Merrifield, Miss Chute Ellis, B. Kidd, Esq. (chair.)","['Miss Merrifield', 'Miss Chute Ellis']",7.30,,1911-11-30
November 30,St. Helens Co-operative Hall,"St. Helens Co - operative Hall - The Lady Frances Balfour, H. Martin, Esq. (chair)",['The Lady Frances Balfour'],8.0,,1911-11-30
November 30,Wilmslow - Congregational Schoolroom,Wilmslow - Congregational Schoolroom - Debate - Miss C. Leadley Brown,['Miss C. Leadley Brown'],7.0,Debate,1911-11-30
November 30,Wallasey and Wirral - New Brighton,"Wallasey and Wirral - Drawing - room Meeting, New Brighton - Miss Cherry",['Miss Cherry'],8.0,Drawing-room Meeting,1911-11-30
November 30,Bridgend Public Hall,Bridgend Public Hall - Miss Helen Fraser,['Miss Helen Fraser'],8.0,,1911-11-30
November 30,Stocksfield Mrs. Pumphrey's Drawing-room,Stocksfield Mrs. Pumphrey's Drawing - room Meeting - Mrs. Rackham,['Mrs. Rackham'],3.15,Drawing-room Meeting,1911-11-30
November 30,Mickley - Mission Room,Mickley - Mission Room - Mrs. Rackham,['Mrs. Rackham'],7.30,,1911-11-30
December 1,Manchester - Lower Moseley Street Schools,"Manchester - Lower Moseley Street Schools - Lecture, ""The Citizenship of Women"" -Miss M. Robertson, B.A.",['Miss M. Robertson'],3.0,"Lecture, ""The Citizenship of Women""",1911-11-30
December 1,Hitchin - The Workman's Hall,"Hitchin - The Workman's Hall- ""The Insurance Bill and Women"" -Miss Florence Taylor, H. E. Seebohm, Esq. (chair)",['Miss Florence Taylor'],8.0,"""The Insurance Bill and Women""",1911-11-30
December 1,Worthing - Mitchell's Restaurant,"Worthing - Mitchell's Restaurant ""Some Unusual Arguments for the Suffrage"" -Mr. Milner Black, Miss Urlin (chair)",['Mr. Milner Black'],3.15,"""Some Unusual Arguments for the Suffrage""",1911-11-30
December 1,Berkhamsted Town Hall,"Berkhamsted Town Hall - Mrs. Fawcett, Miss Edith Palliser","['Mrs. Fawcett', 'Miss Edith Palliser']",8.0,,1911-11-30
December 1,Cardiff University Settlement,Cardiff University Settlement - Debate - Miss Helen Fraser,['Miss Helen Fraser'],5.0,Debate,1911-11-30
December 1,"Birmingham - 10, Easy Row","Birmingham - 10, Easy Row - Franchise Club",,8.0,Franchise Club,1911-11-30
December 1,"Leeds - Bramdean, Headingly - Mrs. Thornton's Drawing-room","Leeds - Bramdean, Headingly - Mrs. Thornton's Drawing - room Meeting - The Lady Betty Balfour",['The Lady Betty Balfour'],7.30,Drawing-room Meeting,1911-11-30
December 1,Chorley St. George Street Schoolroom,"Chorley St. George Street Schoolroom - The Lady Frances Balfour, Mrs. Cooper","['The Lady Frances Balfour', 'Mrs. Cooper']",8.0,,1911-11-30
