Date,Location,Raw,Speakers,Description,Hosts,Issue date
APRIL 18,Chelsea,"Chelsea , 308 , King's - road .",['Miss Mina Sheppard'],,,"April 18 , 1913"
APRIL 18,Chelsea,"Chelsen , 308 , King's - road .",['Miss Ada Moore'],,,"April 18 , 1913"
APRIL 18,Kingsway,"Lincoln's Inn House , Kingsway",['Miss Rosa Leo'],,,"April 18 , 1913"
APRIL 18,North Kensington,"North Kensington , Free Library , Ladbroko - grove .",['Mrs. Hughes'],,,"April 18 , 1913"
APRIL 18,Shepherd's Bush,"Shepherd's Bush , near Tubo Station . Protest Meeting . M.P.U.","['Mr. Charles Gray', 'Miss Jessie Smith']",,,"April 18 , 1913"
APRIL 18,Sloane-square,Sloane - square .,['Mrs. Penn Gaskell'],,,"April 18 , 1913"
APRIL 18,Stepney,"Stepney , Mile End Waste .","['Miss Richmond', 'Miss Boyce']",,,"April 18 , 1913"
APRIL 18,West Ham,"West Ham , Forest Gate","['Miss Randell', 'Miss Brico']",,,"April 18 , 1913"
APRIL 19,Chelsea,Chelsea ...,,Dramatic Performance. M.P.U.,,"April 18 , 1913"
APRIL 19,Cripplegate Institute,Cripplegate Institute .,['Mrs. Dice'],,,"April 18 , 1913"
APRIL 19,Forest Hill,"Forest Hill , Foresters ' Hall .",['Miss B. Jones'],,,"April 18 , 1913"
APRIL 19,Ilford,"Ilford , Balfour - road .",['Miss Fox'],,,"April 18 , 1913"
APRIL 19,Kingston,"Kingston , Church - street .","['Christine Murrell', 'Mrs. Streatfield']",,,"April 18 , 1913"
APRIL 19,Wimbledon Broadway,Wimbledon Broadway .,['Agnes Kelly'],,,"April 18 , 1913"
APRIL 20,Ealing Common,Ealing Common .,['Mrs. Tidswell'],,,"April 18 , 1913"
APRIL 20,Hampstead Heath,"Hampstead Heath , Flagstaff","['Miss Coombs', 'Miss M. Wright']",,,"April 18 , 1913"
APRIL 20,Lewisham Market-place,Lewisham Market - placo .,['Amy Hicks'],,,"April 18 , 1913"
APRIL 20,Regent's Park,Regent's Park . M.P.U.,"['M. Naylor', 'Mrs. Lamartine Yates']",,,"April 18 , 1913"
APRIL 20,Streatham Common,Streatham Common .,"['Mr. Gray', 'Mrs. Duval']",,,"April 18 , 1913"
APRIL 20,Wimbledon Common,Wimbledon Common .,['Miss Elsa Myers'],,,"April 18 , 1913"
APRIL 21,Battersea,"Battersea , Mossbury - road .",['Miss Haslam'],,,"April 18 , 1913"
APRIL 21,Bow,"Bow , Tredegar - road , Out - and - Out Mission Hall . Speakers ' Class .",['Miss Rosa Leo'],,,"April 18 , 1913"
APRIL 21,Piccadilly-circus,"London Pavilion , Piccadilly - circus , W. ,",['Mrs. Dacre Fox'],,,"April 18 , 1913"
APRIL 21,Wimbledon,"Wimbledon , Queen's Hall , Broadway .","['Mr. Reginald Pott', 'Dr. Frances Edo']",,,"April 18 , 1913"
APRIL 21,Strand,"-Essex Hall , Essex Street , Strand , W.C.","['Mrs. Drummond', 'Miss P. Ayrton']",,,"April 18 , 1913"
APRIL 22,Islington,"Islington , 72 , Bryantwood - road .",['Miss G. Richard'],,,"April 18 , 1913"
APRIL 22,Palmer's Green,"Palmer's Green , 6 , Stonard - road . Fireside Talks .",['Miss Kelly'],,,"April 18 , 1913"
APRIL 22,Stepney,"Stepney , Mile End Waste .",['Miss Newstead'],,,"April 18 , 1913"
APRIL 23,Ilford,"Ilford , outside Town Hall .",['Miss Naylor'],,,"April 18 , 1913"
APRIL 24,Woolwich,"Woolwich , Eleanor - road .",['Mrs. Lamartine Yates'],,,"April 18 , 1913"
APRIL 18,Dundee,"Dundee , Panmure - street",['Miss Marion Gilchrist'],,,"April 18 , 1913"
APRIL 18,Edinburgh,"Edinburgh , Leopold - place .",,,,"April 18 , 1913"
APRIL 18,Glasgow,"Glasgow , Charing Cross",['Miss Marion Gilchrist'],,,"April 18 , 1913"
APRIL 18,Newcastle,"Newcastle , Durham Ox .",,,,"April 18 , 1913"
APRIL 18,Reading,"Reading , The Butts .",,,,"April 18 , 1913"
APRIL 19,Brighton,"Brighton , Seafront .",['Miss Wylio'],,,"April 18 , 1913"
APRIL 19,Dundee,"Dundee , Greenmarket","['Miss M. Burn Murdoch', 'Miss Lambio']",,,"April 18 , 1913"
APRIL 19,Edinburgh,"Edinburgh , West End .",['Miss M. Scott'],,,"April 18 , 1913"
APRIL 20,Brighton,"Brighton , Seafront .",['Miss Mary Phillips'],,,"April 18 , 1913"
APRIL 20,Edinburgh,"Edinburgh , Mound .",['Miss Naylor'],,,"April 18 , 1913"
APRIL 20,Plymouth,Plymouth Chambers . A.S.R.S.,,"""At Home.""",,"April 18 , 1913"
APRIL 21,Hastings,"Hastings , Lower Publio Hall","['Miss Naylor', 'The Rev. C. Hinscliff']",,,"April 18 , 1913"
APRIL 22,Bexhill,"Bexhill , Victoria Hall .",['Miss N. Scott'],,,"April 18 , 1913"
