Date,Location,Raw,Speakers,Time,Description,Issue date
"March 29, 1912","London, Essex Hall, Essex Street, Strand","Friday, March 29, 8 p.m. To Discuss Result of Second Reading of the Conciliation Bill. Speakers: Mrs. DESPARD, Dr. G. B. CLARK (ex-M.P. for Caithness), Mrs. MAY WRIGHT SEWALL, Miss ANNA MUNRO, Miss ALISON NIELANS. Chair: Miss NINA BOYLE.","['Mrs. DESPARD', 'Dr. G. B. CLARK (ex-M.P. for Caithness)', 'Mrs. MAY WRIGHT SEWALL', 'Miss ANNA MUNRO', 'Miss ALISON NIELANS']",8 p.m.,,"March 29, 1912"
"March 29, 1912","Harrow Road, London, Prince of Wales","Friday, 29 Harrow Road, Prince of Wales..... Miss Elsa Myers, Mrs. Robson ......... 8 p.m.","['Miss Elsa Myers', 'Mrs. Robson']",8 p.m.,,"March 29, 1912"
"March 29, 1912","Harringay, London, corner of Burgoyne Road","Saturday, 30 ... Harringay, corner of Burgoyne Road Miss Darton-..-.... .............................. 8 p.m.",['Miss Darton'],8 p.m.,,"March 29, 1912"
"March 29, 1912","London, Inns of Court Hotel, Holborn, W.C.","Saturday, 30 ...Inns of Court Hotel, Holborn, W.C. M.P.U. AtHome. Mrs. Pertwee, Miss Eva Moore. Lieut. Cather, R.N. Hostess: Mrs. Hepburn ............ 8 p.m.","['Mrs. Pertwee', 'Miss Eva Moore', 'Lieut. Cather, R.N.']",8 p.m.,,"March 29, 1912"
"March 29, 1912","Kensington, London, 137a, The Mansions, High Street","Saturday, 30 ...Kensington. 137a, The Mansions, High Street.................................. Miss Margaret Cullum, Miss Prior, and others ............................................ 8 p.m.","['Miss Margaret Cullum', 'Miss Prior', 'others']",8 p.m.,,"March 29, 1912"
"March 29, 1912","Clapham Junction, London, Aliwal Road","Saturday, 30 ...Clapham Junction, Aliwal Road ...... Miss Heatley....................... .............. . 8 p.m.",['Miss Heatley'],8 p.m.,,"March 29, 1912"
"March 29, 1912","High Barnet, London, Market Place","Saturday, 30 ...High Barnet, Market Place.................. Miss Bonwick, ................. ...................... 8 p.m.",['Miss Bonwick'],8 p.m.,,"March 29, 1912"
"March 29, 1912","Ilford, London, Balfour Road","Saturday, 30 ...Ilford, Balfour Road...... ...................... Mrs. ................................... 8 p.m.",['Mrs.'],8 p.m.,,"March 29, 1912"
"March 29, 1912","Islington, London, Jones Bros., Holloway Rd.","Saturday, 30 ...Islington, Jones Bros., Holloway Rd. Miss Hopkins. Chair: Miss Randell 8 p.m.",['Miss Hopkins'],8 p.m.,,"March 29, 1912"
"March 29, 1912","Islington, London, Corner of Hornsey and Seven Sisters Road","Saturday, 30 ...Islington. Corner of Hornsey and Seven Sisters Road ................... Miss Shoultz ---------------------------------- 8 p.m.",['Miss Shoultz'],8 p.m.,,"March 29, 1912"
"March 29, 1912","Kingston, Market Place","Saturday, 30 ...Kingston, Market Place ............................. . 11.30 a m.",,11.30 a m.,,"March 29, 1912"
"March 29, 1912","Lewisham, London, 9a. Loampit Vale","Saturday, 30 ...Lewisham, 9a. Loampit Vale........ Members’ Rally ................---------------- 3 to 8 p.m.",,3 to 8 p.m.,,"March 29, 1912"
"March 29, 1912","Palmer’s Green, London, Alderman’s Hill","Saturday, 30 ...Palmer’s Green, Alderman’s Hill....... Miss Wright ------........... ------- 7 p.m.",['Miss Wright'],7 p.m.,,"March 29, 1912"
"March 29, 1912","Walthamstow, London, Church Hill","Saturday, 30 ...Walthamstow, Church Hill... Miss Gwen Glover -----------......... --------------- 7.30 p.m.",['Miss Gwen Glover'],7.30 p.m.,,"March 29, 1912"
"March 29, 1912","Wimbledon Broadway, London","Saturday, 30 ...Wimbledon Broadway ...................... Miss Richard ------------------ ------------------ — 7.30 p.m.",['Miss Richard'],7.30 p.m.,,"March 29, 1912"
"March 31, 1912","Hampstead Heath, London, Flagstaff","Sunday, 31 ...Hampstead Heath, Flagstaff ............ Miss Isabel Seymour .--.-------------- 11.30 s.m.",['Miss Isabel Seymour'],11.30 a.m.,,"March 29, 1912"
"March 31, 1912","Hyde Park, London, W.","Sunday, 31 ...Hyde Park, W. ............... Miss Dugdale. Chair: V. Prout, Esq. 3 p.m.",['Miss Dugdale'],3 p.m.,,"March 29, 1912"
"March 31, 1912","Wimbledon Common, London","Sunday, 31 ...Wimbledon Common.............................- Mrs. Lamartine Yates . ....................... , 3 p.m.",['Mrs. Lamartine Yates'],3 p.m.,,"March 29, 1912"
"April 1, 1912","London, London Pavilion, Piccadilly Circus","Monday, 1 '...London Pavilion, Piccadilly Circus, ....... Mrs. Morgan Dockrell, Mrs. Massey, Miss Evelyn Sharp, — Baillie Weaver Esq. ...-.-.-.......-..-..-------.","['Mrs. Morgan Dockrell', 'Mrs. Massey', 'Miss Evelyn Sharp', 'Baillie Weaver Esq.']",3.15 p.m.,,"March 29, 1912"
