Date,Location,Raw,Speakers,Description,Hosts,Issue date
SEPTEMBER 1,London - Enfield - Women's Co-operative Guild,London - Enfield - Women's Co - operative Guild - Miss Rinder,['Miss Rinder'],,,SEPTEMBER 1 1910
SEPTEMBER 1,Castle Cary Town Hall,Castle Cary Town Hall - Mrs . Mayer,['Mrs. Mayer'],,,SEPTEMBER 1 1910
SEPTEMBER 2,North of England - Droylsden Market Place,North of England - Droylsden Market Place - Open - air Meeting- 7.30 Miss M. Robertson,['Miss M. Robertson'],Open-air Meeting- 7.30,,SEPTEMBER 1 1910
SEPTEMBER 2,Glastonbury,"Glastonbury - Open - air Meeting - Mrs . Mayer , Miss Wheelwright","['Mrs. Mayer', 'Miss Wheelwright']",Open-air Meeting - 7.30,,SEPTEMBER 1 1910
SEPTEMBER 2,Meltham Market Place,Meltham Market Place - Open - air Meeting - Miss M. Fielden,['Miss M. Fielden'],Open-air Meeting - 7.30,,SEPTEMBER 1 1910
SEPTEMBER 3,"London - Highgate - Tally - Ho Corner, Finchley","London - Highgate - Tally - Ho Corner , Finchley - Mrs . Garnett",['Mrs. Garnett'],,,SEPTEMBER 1 1910
SEPTEMBER 3,Glastonbury - Assembly Rooms,Glastonbury - Assembly Rooms - Mrs . Mayer,['Mrs. Mayer'],,,SEPTEMBER 1 1910
SEPTEMBER 5,North of England - Heywood,North of England - Heywood - Open - air Meeting - Miss Bath,['Miss Bath'],Open-air Meeting - 7.15,,SEPTEMBER 1 1910
SEPTEMBER 5,"North of England - Oldfield Park, Bath",North of England - Oldfield Park - Baptist School - Mrs . Mayer,['Mrs. Mayer'],Baptist School - 8.0,,SEPTEMBER 1 1910
SEPTEMBER 6,Cheltenham - Winchcombe - Abbey Terrace,"Cheltenham - Winchcombe - Abbey Terrace - Open - air Meeting- Miss Helen Fraser , Miss Wheelwright","['Miss Helen Fraser', 'Miss Wheelwright']",Open-air Meeting,,SEPTEMBER 1 1910
SEPTEMBER 7,Cheltenham - Winchcombe - Assembly Rooms,"Cheltenham - Winchcombe - Assembly Rooms - Public Meeting- Miss Helen Fraser , Miss Wheelwright","['Miss Helen Fraser', 'Miss Wheelwright']",Public Meeting,,SEPTEMBER 1 1910
SEPTEMBER 7,"London - Camberwell - Triangle, Rye Lane","London - Camberwell - Triangle , Rye Lane - Miss D. Brown",['Miss D. Brown'],,,SEPTEMBER 1 1910
SEPTEMBER 7,Farnham,Farnham and District - Mr . and Mrs. Henry Bury's Garden Meet- ing - Professor John Cox,['Professor John Cox'],Mr. and Mrs. Henry Bury's Garden Meeting,['Mr. and Mrs. Henry Bury'],SEPTEMBER 1 1910
SEPTEMBER 7,Worthing - Broadwater,"Worthing - Broadwater - A Suffrage Fête - Entrance 6d . , after 6 p.m. 3d",,"A Suffrage Fête - Entrance 6d., after 6 p.m. 3d.",,SEPTEMBER 1 1910
SEPTEMBER 7,North of England - Winsford,North of England Winsford - Open - air Meeting - Miss M. Robertson,['Miss M. Robertson'],Open-air Meeting - 7.30,,SEPTEMBER 1 1910
SEPTEMBER 8,London - Camberwell - Grove Lane,"London Camberwell - Grove Lane - Mr . Malcolm Mitchell , Mr. John Manson","['Mr. Malcolm Mitchell', 'Mr. John Manson']",,,SEPTEMBER 1 1910
SEPTEMBER 8,North of England - Salford Suffrage Club,North of England - Salford Suffrage Club - Miss M. Robertson,['Miss M. Robertson'],,,SEPTEMBER 1 1910
SEPTEMBER 9,"North of England - Devonshire Hotel, E. Manchester","North of England - Devonshire Hotel , E. Manchester - Open - air Meeting Miss M. Ashton",['Miss M. Ashton'],Open-air Meeting,,SEPTEMBER 1 1910
SEPTEMBER 10,"London - Highgate - Tally-Ho Corner, Finchley","London - Highgate - Tally - Ho Corner , Finchley - Miss Thomson",['Miss Thomson'],,,SEPTEMBER 1 1910
SEPTEMBER 12,"North of England - Trafford Road Schools, Salford","North of England - Trafford Road Schools , Salford - Public Meet- ing - Miss M. Ashton",['Miss M. Ashton'],Public Meeting - 7.30,,SEPTEMBER 1 1910
SEPTEMBER 13,Bath - Holy Trinity School,Bath Holy Trinity School - Rev . C. Hinscliff,['Rev. C. Hinscliff'],,,SEPTEMBER 1 1910
SEPTEMBER 14,Bath - Saw Close,Bath Saw Close - Miss Royden,['Miss Royden'],,,SEPTEMBER 1 1910
SEPTEMBER 15,Wells Town Hall,"Wells Town Hall - Miss Royden , Miss Wheelwright","['Miss Royden', 'Miss Wheelwright']",,,SEPTEMBER 1 1910
SEPTEMBER 17,Bristol - Durdham Down,"Bristol Durdham Down Open - air Demonstration - Miss Abadam , Mrs. Cooper","['Miss Abadam', 'Mrs. Cooper']",Open-air Demonstration,,SEPTEMBER 1 1910
SEPTEMBER 22,"London, Camberwell - Collyer Place",London - Camberwell - Collyer Place - Miss Thomson,['Miss Thomson'],,,SEPTEMBER 1 1910
