Date,Location,Raw,Description,Speakers,Hosts,Issue date
NOVEMBER 3,"Croydon - 19, Wellesley Road","Croydon - 19 , Wellesley Road - Mrs . Andrews ' Drawing - room Meet- ing - Miss B. Duncan .",Mrs. Andrews' Drawing-room Meeting,['Miss B. Duncan'],,"NOVEMBER 3 , 1910"
NOVEMBER 3,"London - Hampstead - The Library, Prince Arthur Road","London - Hampstead - The Library , Prince Arthur Road - Mrs . Stanbury , Miss Clementina Black .",,"['Mrs. Stanbury', 'Miss Clementina Black']",,"NOVEMBER 3 , 1910"
NOVEMBER 3,"London - St. George's, Hanover Square","London - St . George's , Hanover Square - Drawing - room Meeting- Lady Brassey , Mrs. Fawcett .",Drawing-room Meeting,"['Lady Brassey', 'Mrs. Fawcett']",,"NOVEMBER 3 , 1910"
NOVEMBER 3,Leeds Nethergreen Girls' Club,Leeds Nethergreen Girls ' Club - Miss Fielden .,,['Miss Fielden'],,"NOVEMBER 3 , 1910"
NOVEMBER 3,Ludlow,Ludlow Public Meeting - Miss le Clerc Phillips .,Public Meeting,['Miss le Clerc Phillips'],,"NOVEMBER 3 , 1910"
NOVEMBER 3,Bradford - Illingworth's Mills,Bradford - Illingworth's Mills - Open - air Meeting - Mrs . Cooper .,Open-air Meeting,['Mrs. Cooper'],,"NOVEMBER 3 , 1910"
NOVEMBER 3,Bradford - Morley Street,Bradford - Morley Street - Open - air Meeting - Mrs . Cooper .,Open-air Meeting,['Mrs. Cooper'],,"NOVEMBER 3 , 1910"
NOVEMBER 3,New Forest Ringwood - Lecture Hall,New Forest Ringwood - Lecture Hall - Miss N O'Shea .,,"[""Miss N O'Shea""]",,"NOVEMBER 3 , 1910"
NOVEMBER 4,Tonbridge Public Hall,Tonbridge Public Hall - Lady Frances Balfour .,,['Lady Frances Balfour'],,"NOVEMBER 3 , 1910"
NOVEMBER 4,London - Blackheath - Concert Hall,"London - Blackheath - Concert Hall - Mrs . Fawcett , LL.D. , R. Cholmeley , Esq . , M.A.",,"['Mrs. Fawcett, LL.D.', 'R. Cholmeley, Esq., M.A.']",,"NOVEMBER 3 , 1910"
NOVEMBER 4,"London, Hampstead Garden Suburb","London - Hampstead Garden Suburb - Drawing - room Meeting- Mrs. Raphael , Miss C. Corbett .",Drawing-room Meeting,"['Mrs. Raphael', 'Miss C. Corbett']",,"NOVEMBER 3 , 1910"
NOVEMBER 4,London S. Paddington,"London S. Paddington - Drawing - room Meeting - Mrs . Franklin Thomasson , Miss Thomson , B.A.",Drawing-room Meeting,"['Mrs. Franklin Thomasson', 'Miss Thomson, B.A.']",,"NOVEMBER 3 , 1910"
NOVEMBER 4,Plymouth - Stoke Public Hall,"Plymouth - Stoke Public Hall - Miss Willcocks , B.A.",,"['Miss Willcocks, B.A.']",,"NOVEMBER 3 , 1910"
