Date,Location,Raw,Speakers,Hosts,Issue date
OCTOBER 3,Leigh Co-operative Hall,"Leigh Co - operative Hall - Mr. G. G. Armstrong, Miss Margaret Robertson, Mr. J. H. Stephen (chair)","['Mr. G. G. Armstrong', 'Miss Margaret Robertson', 'Mr. J. H. Stephen (chair)']",,"OCTOBER 3, 1912"
OCTOBER 3,Bristol,"Bristol - The Coliseum - suffrage stall - The Misses - cpen - air meeting - Mrs. Toyne, Mrs. Timpany, B.A. (chair)","['Mrs. Toyne', 'Mrs. Timpany, B.A.']",,"OCTOBER 3, 1912"
OCTOBER 3,Croydon,"Croydon - 34a , Arcade , High Street - Mrs. Dempster, Mrs. Wilkinson (chair)","['Mrs. Dempster', 'Mrs. Wilkinson']",,"OCTOBER 3, 1912"
OCTOBER 3,Wigan,"Wigan - I.L.P. Rooms, King Street West - Miss D. Darlington",['Miss D. Darlington'],,"OCTOBER 3, 1912"
OCTOBER 3,Manchester,"Manchester - George Street, Piccadilly - open - air meeting - Mrs. Annot Robinson, Rev. W. Whitaker, J. R. Tomlinson, Esq. (chair)","['Mrs. Annot Robinson', 'Rev. W. Whitaker', 'J. R. Tomlinson, Esq.']",,"OCTOBER 3, 1912"
OCTOBER 4,Bristol,"Bristol - The Coliseum - suffrage stall - Miss Baker, Miss Stock","['Miss Baker', 'Miss Stock']",,"OCTOBER 3, 1912"
OCTOBER 4,Manchester,"Manchester - Chapel Strect, Salford - Mrs. Annot Robinson, Miss Emily Cox, Mrs. Wilson (chair)","['Mrs. Annot Robinson', 'Miss Emily Cox', 'Mrs. Wilson']",,"OCTOBER 3, 1912"
OCTOBER 5,Bristol,"Bristol - The Coliseum - suffrage stall - Miss Pope, Mrs. J. Martin","['Miss Pope', 'Mrs. J. Martin']",,"OCTOBER 3, 1912"
OCTOBER 5,Birmingham,"Birmingham - Norfolk Road, Egbaston - Conference of all local suffrage societies - Mrs. Osler",['Mrs. Osler'],,"OCTOBER 3, 1912"
OCTOBER 5,Oldham,"Oldham - Werneth Park - open - air demonstration- procession starts from Alexandra Park 2.15 - military band - Mrs. Councillor Lees, Miss Margaret Robertson, B.A., Dr. Olive Claydon, and others- members of other societies invited to join","['Mrs. Councillor Lees', 'Miss Margaret Robertson', 'Dr. Olive Claydon']",,"OCTOBER 3, 1912"
OCTOBER 7,Bristol,"Bristol - The Coliseum - suffrage stall - the Misses Tanner, Miss Ord","['The Misses Tanner', 'Miss Ord']",,"OCTOBER 3, 1912"
OCTOBER 7,Bristol,"Bristol - 111a, White Ladies' Road - teachers' class - Leader, Mrs. Randall Vickers",['Mrs. Randall Vickers'],,"OCTOBER 3, 1912"
OCTOBER 7,Birmingham,"Birmingham - Handsworth Council House - Mrs. Cooper, Councillor Eldred Hallas (ohair)","['Mrs. Cooper', 'Councillor Eldred Hallas']",,"OCTOBER 3, 1912"
OCTOBER 7,Gateshead,"Gateshead - Shop, 115, High West Street - Dr. Ethel Williams, Miss C. M. Gordon","['Dr. Ethel Williams', 'Miss C. M. Gordon']",,"OCTOBER 3, 1912"
OCTOBER 7,Altrincham,"Altrincham - The Downs Lecture Room, Bowdon- annual business meeting - Miss Darlington",['Miss Darlington'],,"OCTOBER 3, 1912"
OCTOBER 8,Bristol,Bristol - The Coliseum - suffrage stall - Mrs. Sening- ton. Miss Brownlea,"['Mrs. Sening-ton', 'Miss Brownlea']",,"OCTOBER 3, 1912"
OCTOBER 8,Newcastle,"Newcastle - 27, Ridley Place - suffrage choir prac- tise Mrs. Bellas Simpson",['Mrs. Bellas Simpson'],,"OCTOBER 3, 1912"
OCTOBER 8,Manchester,"Manchester Stevenson Square - Miss Ashton, Mrs. Annot Robinson, Mrs. Chew, L. L. Orton (chair)","['Miss Ashton', 'Mrs. Annot Robinson', 'Mrs. Chew', 'L. L. Orton']",,"OCTOBER 3, 1912"
OCTOBER 9,Bristol,"Bristol - The Coliseum - Suffrage stall - Mrs. W. C. H. Cross, Miss",['Mrs. W. C. H. Cross'],,"OCTOBER 3, 1912"
OCTOBER 9,Croydon,"Croydon - 34a, Arcade, High Street - Mrs. Dempster ""At Home"" for business employees",[],['Mrs. Dempster'],"OCTOBER 3, 1912"
OCTOBER 10,Croydon,"Croydon - Cottage, Norbury Avenue, Norbury- drawing - room meeting, by kind invi- tation of Mrs. Knight (Miss Crick- may)",[],['Mrs. Knight (Miss Crick-may)'],"OCTOBER 3, 1912"
OCTOBER 10,Croydon,"Croydon - 34a, Arcade, High Street ""At Home"" for teachers - Miss T. E. Clark (chair)",['Miss T. E. Clark'],[],"OCTOBER 3, 1912"
OCTOBER 10,Manchester,"Manchester - Great Joint Women's Suffrage Demon- stration - Albert Hall, Peter Street, Manchester - Mrs. Henry Fawcett, LL.D, Phillip Snowden, M.P., Laur- ence Housman, Esq., A. M. Langdon, Esq., K.C., etc., Councillor Margaret Ashton, M.A. (chair)","['Mrs. Henry Fawcett', 'Phillip Snowden', 'Laurence Housman', 'A. M. Langdon', 'Councillor Margaret Ashton']",,"OCTOBER 3, 1912"
OCTOBER 10,Dublin,"Dublin - 33, Molesworth Street - Irish W.S. and Local Government Association",[],,"OCTOBER 3, 1912"
OCTOBER 11,Bristol,"Bristol - The Coliseum - suffrage stall - Mrs. Sening- ton, Miss Brownlea","['Mrs. Sening-ton', 'Miss Brownlea']",,"OCTOBER 3, 1912"
OCTOBER 11,Hastings,"Hastings - Club, Havelock Road - special autumn meeting",[],,"OCTOBER 3, 1912"
OCTOBER 14,Newcastle-on-Tyne,"Newcastle - on - Tyne - 27, Ridley Place - Miss Abadam",['Miss Abadam'],,"OCTOBER 3, 1912"
OCTOBER 14,Kidderminster,Kidderminster - Kingsley Hall - Miss Noël Herbert,['Miss Noël Herbert'],,"OCTOBER 3, 1912"
OCTOBER 15,Manchester,"Manchester - Victoria Park Gates, Oxford Road- Miss Margaret Ashton, Mrs. Chew, Mrs. Gordon (chair)","['Miss Margaret Ashton', 'Mrs. Chew', 'Mrs. Gordon']",,"OCTOBER 3, 1912"
OCTOBER 15,Exeter,"Exeter - Small Barnfield Hall - members' meeting- Sir Robert Newman, Bart., will pre- side. (Tea 4.30, 6d.)",['Sir Robert Newman'],,"OCTOBER 3, 1912"
OCTOBER 16,Bristol,Bristol - The Coliseum - suffrage stall - Miss Clough,['Miss Clough'],,"OCTOBER 3, 1912"
OCTOBER 17,Bristol,"Bristol - Assembly Rooms - Queen's Square -Trades Council meeting - Mrs. Ring, of Birmingham",['Mrs. Ring'],,"OCTOBER 3, 1912"
OCTOBER 3,Kirkcaldy Sauchendene,Kirkcaldy Sauchendene - Dr. Elsie Inglis,['Dr. Elsie Inglis'],,"OCTOBER 3, 1912"
OCTOBER 4,Dundee,"Dundee 12 Meadowside- ""At Home""",[],,"OCTOBER 3, 1912"
