Date,Location,Raw,Description,Speakers,Hosts,Issue date
DECEMBER 1,Bradford Oak Bank,Bradford Oak Bank - Miss Wade's Drawing - room Meeting- Miss Abadam,Miss Wade's Drawing-room Meeting,['Miss Abadam'],,DECEMBER 1. 1910
DECEMBER 1,Dublin,Dublin Irish W.S. and Local Government Association - 35. Molesworth Street - Committee Meeting,Irish W.S. and Local Government Association - Committee Meeting,,,DECEMBER 1. 1910
DECEMBER 1,Blackpool - West Street Tea Rooms,"Blackpool - West Street Tea Rooms- ""Women and Politics"" - Mrs. Annot Robinson","""Women and Politics""",['Mrs. Annot Robinson'],,DECEMBER 1. 1910
DECEMBER 1,Leeds,Leeds - Kirkstall Women Liberals - Miss Fielden,,['Miss Fielden'],,DECEMBER 1. 1910
DECEMBER 2,Whitby - Temperance Hall,"Whitby - Temperance Hall - Public Meeting - Hon. Sir J. A. Cock- burn, K.C.M.G.",,"['Hon. Sir J. A. Cockburn, K.C.M.G.']",,DECEMBER 1. 1910
DECEMBER 2,Leeds Roundhay Road - Liberal Club,Leeds Roundhay Road - Liberal Club - Miss Fielden,,['Miss Fielden'],,DECEMBER 1. 1910
DECEMBER 2,Stocksfield - Ingleholme,"Stocksfield - Ingleholme - Mrs. Walton's Drawing - room Meeting- Mrs. Grey, Miss Temperley",Mrs. Walton's Drawing-room Meeting,"['Mrs. Grey', 'Miss Temperley']",,DECEMBER 1. 1910
DECEMBER 2,Cambridge Victoria Assembly Room,"Cambridge Victoria Assembly Room Lady Stout, Mrs. Rackham",,"['Lady Stout', 'Mrs. Rackham']",,DECEMBER 1. 1910
DECEMBER 3,Sunderland Southwick,"Sunderland Southwick ""-Drawing - room Meeting - Mrs. Shortt (Hostess), Miss M. Weddell",Drawing-room Meeting,['Miss M. Weddell'],['Mrs. Shortt'],DECEMBER 1. 1910
DECEMBER 5,Nottingham - Market Place,Nottingham - Market Place - Open - air Meeting - Miss Dickson,Open-air Meeting,['Miss Dickson'],,DECEMBER 1. 1910
DECEMBER 5,Leeds,Leeds Miss Lupton's Drawing - room Meeting - Miss Fielden,Miss Lupton's Drawing-room Meeting,['Miss Fielden'],,DECEMBER 1. 1910
DECEMBER 5,Colwyn Bay - Cartmell's Café,Colwyn Bay - Cartmell's Café - Debate,Debate,,,DECEMBER 1. 1910
DECEMBER 5,Nottingham - Market Place,Nottingham - Market Place - Miss Dickson. Evening,,['Miss Dickson'],,DECEMBER 1. 1910
