Date,Location,Raw,Description,Speakers,Time,Hosts,Issue date
Unknown,Royal Albert Hall,"One of the most successful meetings of the Women's Social and Political Union was held on Thursday in last week at the Royal Albert Hall, when the following resolution was carried, with only one dissentient voice : This Meeting condemns the dishonourable and unprincipled tactics employed by successive Governments in order to defraud women of their right to the Parliamentary Vote . The Meeting demands the immediate cessation of these tactics , and calls for the enactment of the Conciliation Bill in 1911. And further , the Meeting calls upon women to unite in determined militant protest against any attempt on the part of the Prime Minister to prevent this measure of justice being carried into law during the present Session of Parliament .",Meeting of the Women's Social and Political Union,"['Miss Vida Goldstein', 'Miss Christabel Pankhurst']",Unknown,,"March 31, 1911"
"March 30, 1911","Queen's Hall, London","We hope that all Woman Suffragists will make a point of being present to - morrow evening at the Queen's Hall , when Dr. Ethel Smyth is producing for the first time several spirited items of music , specially composed in connection with the Woman's Movement .",,['Dr. Ethel Smyth'],evening,,"March 31, 1911"
"May 5, 1911",London,"You have excellent opportunities of getting your Bill carried on May 5 , and I think the reason I have just reminded you of , this Imperial Conference , is an additional reason why you should win through on May 5 .",Vote on the bill regarding the Imperial Conference,,,,"March 31, 1911"
"April 2, 1911",London,"Intentions of legislators were doubtless good , . ! but there was a pavement .. ""We have firmly made up our minds , "" said Mrs. Pankhurst , "" that unless that pledge is forthcoming before the evening of April 2 we shall not fill up our Census papers .",,['Mrs. Pankhurst'],evening,,"March 31, 1911"
"May 5, 1911",London,"After five years of strenuous agitation , after having filled the Albert Hall oftener and more fully than all the other political parties in the country put together , after the great processions and demonstrations in London and all over the provinces , had not women a right to a pledge from the Prime Minister that facilities should be given for the succes- sive stages of the Woman Suffrage Bill , if it passed its second reading on May 5 ?",,,,,"March 31, 1911"
1911-04-06,"London, Lady Brassey's house","We referred last week briefly to the drawing- room meeting which was held at the house Lady Brassey on afternoon shortly before we went to press. We are glad to be able to give our readers this week a fuller account of the important speeches delivered on that occasion by Sir George Kemp , M.P. , who has charge of the Bill in the House of Commons , and by Mr. Ellis Griffith , M.P. , the leader of the Welsh party , who has proved himself such a staunch friend of the movement .",,"['Sir George Kemp', 'Mr. Ellis Griffith']",afternoon,,"March 31, 1911"
1911-03-20,"London, 13, Stanhope Place","Through the kindness of Commander and Mrs. Dugdale a most successful drawing - room meeting was held at 13 , Stanhope Place , on Monday afternoon, March 20.",,"['Hon. Mrs. Haverfield', 'Miss Georgina Brackenbury', 'Miss Decima Moore']",afternoon,"['Commander Dugdale', 'Mrs. Dugdale']","March 31, 1911"
1911-03-23,"London, Albert Hall","A number of the ladies present confessed at the conclusion of the meeting that though they had been ""anti "" when they entered the room , they were entirely convinced by Mrs. Haver , eld's inspiring speech , and many of them were pre- sent at the Albert Hall meeting on the follow- ing Thursday .",,['Mrs. Haverfield'],,,"March 31, 1911"
"December 27, 1891",Chicago,On the following Decem- ber 27 a mass meeting was held to protest against this inter- ference with the right of free speech and assemblage.,Mass meeting held to protest against interference with the right of free speech and assemblage.,['Henry Demarest Lloyd'],,,"March 31, 1911"
"Sunday, April 2, 1911",Regent's Park,"On Sunday , April 2nd :: :: At 11.30 : Regent's Park .",,,11.30 am,,"March 31, 1911"
"Sunday, April 2, 1911",Peckham Rye,"On Sunday , April 2nd :: :: At 11.30 : Peckham Rye .",,,11.30 am,,"March 31, 1911"
"Sunday, April 2, 1911",Wandsworth Common,"On Sunday , April 2nd :: :: At 11.30 : Wandsworth Common .",,,11.30 am,,"March 31, 1911"
"Sunday, April 2, 1911",Hyde Park,"On Sunday , April 2nd :: :: At 2.30 : Hyde Park .",,,2.30 pm,,"March 31, 1911"
"Sunday, April 2, 1911",Battersea Park,"On Sunday , April 2nd :: :: At 2.30 : Battersea Park .",,,2.30 pm,,"March 31, 1911"
"Sunday, April 2, 1911",Finsbury Park,"On Sunday , April 2nd :: :: At 2.30 : Finsbury Park .",,,2.30 pm,,"March 31, 1911"
"Sunday, April 2, 1911",Victoria Park,"On Sunday , April 2nd :: :: At 2.30 : Victoria Park .",,,2.30 pm,,"March 31, 1911"
"Sunday, April 2, 1911",Brockwell Park,"On Sunday , April 2nd :: :: At 5,0 : Brockwell Park .",,,5.0 pm,,"March 31, 1911"
"Sunday, April 2, 1911",Clapham Common,"On Sunday , April 2nd :: :: At 5,0 : Clapham Common .",,,5.0 pm,,"March 31, 1911"
"Sunday, April 2, 1911",Hampstead Heath,"On Sunday , April 2nd :: :: At 5,0 : Hampstead Heath .",,,5.0 pm,,"March 31, 1911"
"Saturday, April 1, 1911","Queen's Hall, London","On Saturday evening next at the Queen's Hall , Miss Ethel Smyth , Mus . Doc . , who has made members of the Women's Social and Political Union her everlasting debtors by the gift to the cause of her "" March of the Women , ' will give a special concert of her compositions with the aid of the London Symphony Orchestra , the Crystal Palace Choir , and Mme . Blanche Marchesi .",,"['Ethel Smyth', 'London Symphony Orchestra', 'Crystal Palace Choir', 'Mme. Blanche Marchesi']",evening,,"March 31, 1911"
"April 1, 1911","Queen's Hall, London","The Census Programme "" will begin on Saturday evening , April 1 , at 8 p.m. , with Dr. Ethel Smyth's concert at the Queen's Hall . This will be a real gathering of the clans , and many notable Suffragists , including Mrs. Pankhurst , Mr. and Mrs. Pethick Lawrence , Miss Christabel Pankhurst , and Mrs. Tuke , have already taken tickets .",,,8 p.m.,,"March 31, 1911"
"April 2, 1911","Trafalgar Square, London","London Time Table , Sunday , April 2 . 11.30 to 12.30 . - Members will walk round Trafalgar Square .",,,11.30 to 12.30,,"March 31, 1911"
"April 2, 1911","Scala Theatre, London","12.30 . 1 a.m. ( doors open 12.30 ) .- At the Scala Theatre a varied programme , consisting of short plays , songs , etc. , is being arranged . Mrs. Pankhurst will be in the chair . Admission one shilling to all parts of the hall . Doors open Mrs. Pertwee is acting as hostess to the actresses who are taking part , and is arranging for them to have supper and breakfast at the Gardenia afterwards . Among those who are kindly giving their services are Marguerite Adamson , Adeline Bourne , Florence Castille , Edith Clegg ( engagements permitting ) , Dennis Cleugh , Jane Comfort , Marta Cunningham , J. S. Dale , Jess Dorynne , Arthur Holland , Sidney Keith , Goodwin Knock , Edith Anton Laing , Beatrice Langley , Auriol Lee , Rosa Leo , Ena Lewis , Gerald Lindley , Decima Moore , May R. Easton Mukle , Gertrude Peppercorn , Pickering , and Agnes Thomas . Miss Inez Ben- susan and Mrs. Pertwee are organising the entertainment . During the evening the March of the Women will be sung , conducted by Dr. Ethel Smyth . The piano , which will be played by Miss Gertrude Peppercorn , is a Bechstein Grand . "" The Apple , "" by Inez Bensusan , will be one of the items on the pro- The warmest thanks of the Union gramme . are due to all those who are giving their help at this entertainment . Resisters as well as evaders will be cordially welcomed . N.B. Tickets , 1s . each , to all parts of the house . Apply , at once , to Miss Cooke , Ticket Secretary , W.S.P.U. , 4 , Clements Inn , W.C. , as only a few remain .",,,12.30 - 1 a.m.,,"March 31, 1911"
"April 2, 1911","Aldwych Skating Rink, London","3 a.m to 8 a.m. - The Aldwych Skating Rink ( about one minute's walk from Clements Inn ) will be open for roller skating . A master of ceremonies will preside . A special band will be in attendance , and skates can be hired for 1s . Admission 6d . The Misses Olive , Eily , and Kitty McKay , who are very highly accomplished skaters , have kindly consented to be instructresses for the occasion . Miss Olive "" Some McKay will act as "" floor manager . "" amusing games for accomplished skaters are being planned , including some highly original races . the The Misses McKay will wear W.S.P.U. band costume , so well known to all of us , and will thus be easily distinguished . N.B. - Tickets sold out .",,,3 a.m to 8 a.m.,,"March 31, 1911"
"April 2, 1911","Cardenia Restaurant, 6 , Catherine Street , W.C., London","The Cardenia Restaurant , 6 , Catherine Street , W.C. ( next to Drury Lane Theatre ) , will be open from 12 midnight , and members can get a meal at any time up till 8 a.m. for 1s . Mrs. Tuckwell is kindly taking charge of the arrangements , and will have a staff of eighteen members of the Union as waitresses . Break- fasts will be served .",,,,,"March 31, 1911"
"April 2, 1911",Brighton,A Brighton member is keeping her house open the night of April 2 for any who want to evade the Census .,,,,,"March 31, 1911"
"April 3, 1911","Queen's Hall, Langham Place, W., London","On Monday , April 3 , members and friends will have the opportunity of hearing the Rt . Rev. Bishop Mathew , Old Catholic Bishop , on the subject of "" Votes for Women "" at the Queen's Hall , Langham Place , W. , at 3 p.m. Mr. Pethick Lawrence , and Miss Christabel Pankhurst , LL.B. , will also speak .",,"['Rt. Rev. Bishop Mathew', 'Mr. Pethick Lawrence', 'Miss Christabel Pankhurst']",3 p.m.,,"March 31, 1911"
"April 3, 1911","Music Hall, Aberdeen","on Monday , April 3 , she will speak in the ball- room of the Music Hall , Aberdeen , at 8 p.m .",,['Vida Goldstein'],8 p.m.,,"March 31, 1911"
"April 4, 1911","Charing Cross Hall, Glasgow","on Tuesday , April 4 , at the Charing Cross Hall , Glasgow",,['Vida Goldstein'],,,"March 31, 1911"
"April 5, 1911",Dublin,"Irish Suffragettes will welcome the news that Mrs. Pankhurst will again visit Ireland during the coming week . Already meetings have been arranged in Dublin on Wednesday , April 5 , and Thursday , April 6 , and in Belfast on Friday , April 7.",,['Mrs. Pankhurst'],,,"March 31, 1911"
"April 6, 1911",Dublin,"Irish Suffragettes will welcome the news that Mrs. Pankhurst will again visit Ireland during the coming week . Already meetings have been arranged in Dublin on Wednesday , April 5 , and Thursday , April 6 , and in Belfast on Friday , April 7.",,['Mrs. Pankhurst'],,,"March 31, 1911"
"April 6, 1911","Steinway Hall, Lower Seymour - street, London","On Thursday , April 6 , the evening meeting at Steinway Hall , Lower Seymour - street , will be addressed by Mrs. Pethick Lawrence , and Miss Christabel Pankhurst , LL.B.",,"['Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst']",,,"March 31, 1911"
"April 7, 1911",Belfast,"Irish Suffragettes will welcome the news that Mrs. Pankhurst will again visit Ireland during the coming week . Already meetings have been arranged in Dublin on Wednesday , April 5 , and Thursday , April 6 , and in Belfast on Friday , April 7.",,['Mrs. Pankhurst'],,,"March 31, 1911"
"April 7, 1911","Town Hall, Newcastle","on Friday , April 7 , at the Town Hall , Newcastle , at 7.30 p.m .",,['Vida Goldstein'],7.30 p.m.,,"March 31, 1911"
"April 29, 1911","The Spa, Felixstowe","on Saturday afternoon , April 29 , at The Spa , Felixstowe",,['Vida Goldstein'],,,"March 31, 1911"
"May 1, 1911","Albert Hall, Sheffield","on Monday , May 1 , at the Albert Hall , Sheffield",,['Vida Goldstein'],,,"March 31, 1911"
"May 2, 1911","Town Hall Assembly Rooms, Rotherham","on Tuesday , May 2 , at the Town Hall Assembly Rooms , Rotherham .",,['Vida Goldstein'],,,"March 31, 1911"
"May 4, 1911","Inns of Court Hotel, London","She will also be present at a dinner given in her honour by the Men's League for Woman Suffrage , at the Inns of Court Hotel , on Thursday , May 4",,['Vida Goldstein'],,,"March 31, 1911"
"May 6, 1911","Hampstead Conservatoire, London","and at a Reception at the Hampstead Conservatoire , on Saturday after- noon , May 6 .",,,,,"March 31, 1911"
"June 17, 1911","Embankment to the Albert Hall, London","One of the things that must be impressed upon these men and women from over the seas is that British A women desire their political freedom . A monster procession and demonstration is there- fore being organised by the W.S.P.U. , and will take place on Saturday , June 17 ( Saturday before the Coronation ) , from the Embankment to the Albert Hall .",A monster procession and demonstration is therefore being organised by the W.S.P.U.,,,,"March 31, 1911"
"March 31, 1911","4. Clements Inn, W.C.","Friday , 31 4. Olements Inn , W.C. Speakers' Class , Miss Rosa Leo ......... 7.45 p.m.",,['Miss Rosa Leo'],7.45 p.m.,,"March 31, 1911"
"March 31, 1911","905, Fulham Road, S.W.","Friday, 31 905 , Fulham Road , S.W. Members ' Rally",Members' Rally,,,,"March 31, 1911"
"March 31, 1911","Harlesden, Manor Park Road","Friday, 31 Harlesden , Manor Park Road Miss Feek, Miss Bain 7 p.m.",,,,,"March 31, 1911"
"March 31, 1911","Gravesend, Clock Tower","Friday , Mar. 31. - Gravesend , Clock Tower , 7.30 p.m.",,,7.30 p.m.,,"March 31, 1911"
"March 31, 1911","Brighton, Steine Hall","Friday , Mar. 31. - Brighton , Steine Hall , Mrs. Massy . Chair : Miss G. Allen , 8 p.m.",,['Mrs. Massy'],8 p.m.,,"March 31, 1911"
"March 31, 1911","Folkestone, Trevarra, Bouveric Road West","Friday , Mar. 31. - Folkestone , Trevarra , Bouveric Road West , Business Meeting , Miss Macaulay . Hostess : Miss Key . 8.15 p.m.",,['Miss Macaulay'],8.15 p.m.,,"March 31, 1911"
"March 31, 1911","Reading, 34, Market Place","Friday, Mar. 31. - 34 , Market Place , Discussion Meet- ing , Members and Friends , 7.30 p.m.",Discussion Meeting,,7.30 p.m.,,"March 31, 1911"
"April 1, 1911","4. Clements Inn, W.C.","Saturday , 1 *** "" "" "" ** "" "" "" "" "" ** 13 ==== "" "" "" 21 Speakers ' Class , Miss Rosa Leo .........",,['Miss Rosa Leo'],,,"March 31, 1911"
"April 1, 1911","Upper Tooting, 22, Foulser Street","Saturday, 1 Upper Tooting , 22 , Foulser Street, Drawing - room meeting Wimbledon , Compton Hall",Drawing - room meeting,,,,"March 31, 1911"
"April 1, 1911",Catford Tram Terminus,"Saturday, 1 Catford Tram Terminus Mrs. Kranich , Miss Batson ... 8 p.m.",,,,,"March 31, 1911"
"April 1, 1911","Finchley, Church End, near Railway Hotel","Saturday, 1 Finchley , Church End , near Railway Hotel ...... Miss M. Wright , Miss Nettlefold ...... 7.30 p.m.",,,,,"March 31, 1911"
"April 1, 1911","Ilford, outside Town Hall","Saturday, 1 Ilford , outside Town Hall . Station Miss Winpore , Miss Haslam ...... 8 p.m.",,,,,"March 31, 1911"
"April 1, 1911","Kilburn, Birchington Road","Saturday, 1 Kilburn , Birchington Road Miss Barwell 8 p.m.",,,,,"March 31, 1911"
"April 1, 1911","Lewisham, Shop","Saturday, 1 Lewisham, Shop Miss M. D. Thompson 8 p.m.",,,,,"March 31, 1911"
"April 1, 1911","Uxbridge, Old Pump","Saturday, 1 Uxbridge , Old Pump Miss Brewster and others 7.30 p.m.",,,,,"March 31, 1911"
"April 1, 1911",Ilford,"Saturday the familiar colours as usual drew a large crowd , when Miss Haslam spoke.",,['Miss Haslam'],,,"March 31, 1911"
"April 2, 1911",Hampstead Heath,"Sunday, 2 Hampstead Heath Miss Tyson . Chair : Mrs. Bouvier ... 3.15 p.m.",,['Miss Tyson'],3.15 p.m.,,"March 31, 1911"
