Date,Location,Raw,Speakers,Issue date
MARCH 9,"Dublin - 35, Molesworth Street","Dublin - 35, Molesworth Street - Irish W.S. and Local Government Association - Committee Meeting.",[],"MARCH 9 , 1911"
MARCH 9,Reigate,Reigate Mrs. Alexander's Drawing - room Meeting - Mrs. Cooper.,['Mrs. Cooper'],"MARCH 9 , 1911"
MARCH 9,Sutton Coldfield Town Hall,Sutton Coldfield Town Hall - Miss C. Hamilton's Anti - Suffrage Waxworks and Dr. Waite's Play.,[],"MARCH 9 , 1911"
MARCH 9,Hove Town Hall,"Hove Town Hall - Miss Maude Royden, Mr. Cecil Chapman.","['Miss Maude Royden', 'Mr. Cecil Chapman']","MARCH 9 , 1911"
MARCH 9,Whaley Bridge,Whaley Bridge - Open - air Meeting - Miss Robertson.,['Miss Robertson'],"MARCH 9 , 1911"
MARCH 9,Bournemouth,"Bournemouth - Mrs. Rowe's Drawing - room Meeting- ""Woman's Work and Women Workers"" -Mrs. Merivale Mayer.",['Mrs. Merivale Mayer'],"MARCH 9 , 1911"
MARCH 10,Oxted,Oxted Mrs. Kitchin's Drawing - room Meeting - Mrs. Stanbury.,['Mrs. Stanbury'],"MARCH 9 , 1911"
MARCH 10,Reigate Lesbourne Parish Hall,"Reigate Lesbourne Parish Hall - Mrs. Auerbach (chair), Mrs. Cooper, Miss A. M. Royden.","['Mrs. Auerbach', 'Mrs. Cooper', 'Miss A. M. Royden']","MARCH 9 , 1911"
MARCH 10,Whaley Bridge,Whaley Bridge - Open - air Meeting - Miss Robertson.,['Miss Robertson'],"MARCH 9 , 1911"
MARCH 10,Bolton - Girls' Recreation Club,Bolton - Girls' Recreation Club - Annual Meeting - Miss Robertson.,['Miss Robertson'],"MARCH 9 , 1911"
MARCH 10,"Bristol - 46, College Road, Clifton","Bristol - 46, College Road, Clifton - Mrs. Usher's Working Party",[],"MARCH 9 , 1911"
MARCH 11,Letchworth - Howard Hall,"Letchworth - Howard Hall ""American Fair.""",[],"MARCH 9 , 1911"
MARCH 11,Southboro' - Victoria Hall,"Southboro' - Victoria Hall - Miss Eva Macnaughten, Miss Nina Boyle.","['Miss Eva Macnaughten', 'Miss Nina Boyle']","MARCH 9 , 1911"
MARCH 13,New Shildon - Friends' Meeting House,"New Shildon - Friends' Meeting House - Miss Lucas (chair), Miss C. M. Gordon, M.A.","['Miss Lucas', 'Miss C. M. Gordon']","MARCH 9 , 1911"
MARCH 13,Whaley Bridge - Mechanics' Institute,"Whaley Bridge - Mechanics' Institute - Miss Robertson, Mr. Lyon Blease.","['Miss Robertson', 'Mr. Lyon Blease']","MARCH 9 , 1911"
MARCH 13,Camberley - St. George's Room,Camberley - St. George's Room - Women's Co - op. Guild Meeting- Mrs. Cooper.,['Mrs. Cooper'],"MARCH 9 , 1911"
MARCH 14,Rugby Small Co - operative Hall,"Rugby Small Co - operative Hall - Miss Helga Gill, F. West, Esq.","['Miss Helga Gill', 'F. West, Esq.']","MARCH 9 , 1911"
MARCH 14,Rugby Large Co - operative Hall,"Rugby Large Co - operative Hall - Mrs. Philip Snowden, Miss Helga Gill.","['Mrs. Philip Snowden', 'Miss Helga Gill']","MARCH 9 , 1911"
MARCH 14,Camberley Porterberry Hill,Camberley Porterberry Hill - Drawing - room Meeting Mrs. Cooper.,['Mrs. Cooper'],"MARCH 9 , 1911"
MARCH 14,"Stockport - 19, Tiviot Dale","Stockport - 19, Tiviot Dale - Mrs. Rayner's Meeting - Miss C. M. Hatton.",['Miss C. M. Hatton'],"MARCH 9 , 1911"
MARCH 14,"Bournemouth - Assembly Rooms, Town Hall Avenue","Bournemouth - Assembly Rooms, Town Hall Avenue At Home Miss Knapp.",['Miss Knapp'],"MARCH 9 , 1911"
MARCH 14,Bradford - Mechanics' Institute,"Bradford - Mechanics' Institute - Miss Ashton, Mrs. Parrish.","['Miss Ashton', 'Mrs. Parrish']","MARCH 9 , 1911"
