Date,Location,Raw,Speakers,Time,Description,Hosts,Issue date
MAY 12,Tunbridge Wells - Christ Church Parish Room,MAY 12 . Tunbridge Wells - Christ Church Parish Room - Dr . Louise Martindale . 3.0,['Dr. Louise Martindale'],3.0,,,1910-05-12
MAY 12,"Nottingham - 36, Bridlesmith Gate","Nottingham - 36 , Bridlesmith Gate - Tea and Cocoa . 7-9",,7-9,Tea and Cocoa,,1910-05-12
MAY 12,"Essex Hall, Strand","London Church League - Essex Hall , Strand - Miss Royden . 8.30",['Miss Royden'],8.30,,['London Church League'],1910-05-12
MAY 13,Uxbridge,"MAY 13 . Uxbridge Church League for W.S. - Inaugural Public Meeting- The Rev. C. Hinscliff , Miss Canning . 8.0","['Rev. C. Hinscliff', 'Miss Canning']",8.0,Inaugural Public Meeting,['Uxbridge Church League for W.S'],1910-05-12
MAY 13,"Edinburgh - 40, Shandwick Place","Edinburgh - 40 , Shandwick Place - Mrs . Johnstone . 4.0",['Mrs. Johnstone'],4.0,,,1910-05-12
MAY 13,Bournemouth - Prince's Hall,Bournemouth - Prince's Hall - Lady Stout . 8.0,['Lady Stout'],8.0,,,1910-05-12
MAY 14,Folkestone,MAY 14 . Folkestone - Public Meeting - Miss Abadam . 4.0,['Miss Abadam'],4.0,,,1910-05-12
MAY 17,Farnham - Tilford Schools,MAY 17 . Farnham - Tilford Schools - Miss Abadam . 8.0,['Miss Abadam'],8.0,,,1910-05-12
MAY 18,Rugby,MAY 18 . Rugby - Open - air Meeting - Mrs . Mayer . 8.0,['Mrs. Mayer'],8.0,Open-air Meeting,,1910-05-12
MAY 18,Hull - Paragon Square,Hull - Paragon Square - Open - air Meeting - Mr . Herbert Jacobs . 8.0,['Mr. Herbert Jacobs'],8.0,Open-air Meeting,,1910-05-12
MAY 18,Hull,Hull - Public Meeting - Mr . Herbert Jacobs . 7.0,['Mr. Herbert Jacobs'],7.0,,,1910-05-12
MAY 18,Farnham - South Street Institute,Farnham - South Street Institute - Miss Abadam . 8.0,['Miss Abadam'],8.0,,,1910-05-12
MAY 19,"Edinburgh - 40, Shandwick Place","MAY 19 . Edinburgh - 40 , Shandwick Place - Sale to be opened by the Lady Frances Balfour . 11.0",,11.0,Sale to be opened by the Lady Frances Balfour,,1910-05-12
MAY 19,"Dublin - 35, Molesworth Street","Dublin - 35 , Molesworth Street - Committee Meeting . 3.0",,3.0,Committee Meeting,,1910-05-12
MAY 19,Cranleigh - Village Hall,Cranleigh - Village Hall - Miss Abadam . 8.0,['Miss Abadam'],8.0,,,1910-05-12
MAY 19,"Leamington - 44, Avenue Road","Leamington - 44 , Avenue Road - Miss Harrison's Drawing - room Meeting - Mrs . Julian Osler . 8.0",['Mrs. Julian Osler'],8.0,Miss Harrison's Drawing-room Meeting,['Miss Harrison'],1910-05-12
MAY 19,Watford - Masonic Hall,Watford - Masonic Hall - Mr . J. Malcolm Mitchell . 8.0,['Mr. J. Malcolm Mitchell'],8.0,,,1910-05-12
MAY 21,Oxford,MAY 21 . Oxford - Miss Abadam . 3.0,['Miss Abadam'],3.0,,,1910-05-12
MAY 21,Woodstock,Woodstock - Miss Abadam . 4.0,['Miss Abadam'],4.0,,,1910-05-12
MAY 21,Tunbridge Wells - Great Hall,Tunbridge Wells - Great Hall - Miss Mason's Lantern Lecture . 8.0,,8.0,Miss Mason's Lantern Lecture,,1910-05-12
MAY 24,Leatherhead - Public Hall,MAY 24 . Leatherhead - Public Hall - Mrs . Fawcett . 8.0,['Mrs. Fawcett'],8.0,,,1910-05-12
MAY 25,Darlington - Temperance Institute,MAY 25 . Darlington - Temperance Institute - Annual Meeting . 8.0,,8.0,Annual Meeting,,1910-05-12
MAY 25,London (Esher) - Village Hall,London ( Esher ) -Village Hall - Mrs . Fawcett . 3.15,['Mrs. Fawcett'],3.15,,,1910-05-12
MAY 25,London (Enfield),London ( Enfield ) -Public Meeting . 8.0,,8.0,,,1910-05-12
MAY 26,Birmingham - Grand Hotel,MAY 26 . Birmingham - Grand Hotel - Annual Meeting . 7.30,,7.30,Annual Meeting,,1910-05-12
MAY 26,London (Ealing),London ( Ealing ) -Suffrage Play . 8.0,,8.0,Suffrage Play,,1910-05-12
MAY 26,London (Richmond) - Miss Bailey's Drawing-room Meeting,London ( Richmond ) -Miss Bailey's Drawing - room Meeting - Lady Isabel Margesson . 4.0,['Lady Isabel Margesson'],4.0,Miss Bailey's Drawing-room Meeting,['Miss Bailey'],1910-05-12
MAY 26,London (South Paddington) - Miss Partridge's Drawing-room Meeting,London ( South Paddington ) -Miss Partridge's Drawing - room Meeting . 8.0,,8.0,Miss Partridge's Drawing-room Meeting,,1910-05-12
MAY 27,Dorking - Public Hall,"MAY 27 . Dorking - Public Hall - Mrs . Fawcett , Miss Abadam . 8.0","['Mrs. Fawcett', 'Miss Abadam']",8.0,,,1910-05-12
MAY 27,Edinburgh - Synod Hall,Edinburgh - Synod Hall - Mrs . Philip Snowden . 8.0,['Mrs. Philip Snowden'],8.0,,,1910-05-12
MAY 27,Peaslake,Peaslake Drawing - room Meeting . 3.0,,3.0,Drawing-room Meeting,,1910-05-12
MAY 27,Shere Village Hall,"Shere Village Hall - Mrs . Fawcett , Miss Abadam . 5.30","['Mrs. Fawcett', 'Miss Abadam']",5.30,,,1910-05-12
MAY 30,Newdigate - Schools,MAY 30 . Newdigate - Schools - Mrs . Fawcett . 8.0,['Mrs. Fawcett'],8.0,,,1910-05-12
