Date,Location,Raw,Speakers,Hosts,Description,Issue date
JULY 4,BLACKHEATH,"BLACKHEATH - Debate at the Red House , Dartmouth Grove - Hostess , Mrs. F. E. Duck- ham - Speakers , Mrs. Corbett Ashby and Mrs. Gladstone Solomon - Chair , R. H. Green , Esq .","['Mrs. Corbett Ashby', 'Mrs. Gladstone Solomon', 'R. H. Green, Esq . (Chair) ']",,,"JULY 4 , 1913"
JULY 4,WALWORTH,"WALWORTH - Surrey Square , Old Kent Road -Open - air Meeting - Speakers , Mr. Sargeant , Miss R. Young , Miss Easther","['Mr. Sargeant', 'Miss R. Young', 'Miss Easther']",,,"JULY 4 , 1913"
JULY 5,CLAPTON,"CLAPTON - Garden Party , Moreton Lodge , 117 , Mount Pleasant Lane , Clapton , N.E. - Hostess , Mrs. J. Bishop - Speakers , The Lady Frances Balfour , Rev. Hugh Chapman - Chair , Sidney White , Esq . , LL.D. , B.A.","['The Lady Frances Balfour', 'Rev. Hugh Chapman', 'Sidney White, Esq . , LL.D. , B.A. (Chair)']",['Mrs. J. Bishop'],,"JULY 4 , 1913"
JULY 6,HAMMERSMITH,"HAMMERSMITH . - Discussion class at Hamp- shire House , Hog Lane - Speaker , Miss O'Malley","[""Miss O'Malley""]",,,"JULY 4 , 1913"
JULY 7,CLAPHAM,"CLAPHAM . Meeting of the Women's Own at Stormont Hall , Stormont Road Congregational Church - Speaker , Miss R. Young",['Miss R. Young'],,,"JULY 4 , 1913"
JULY 7,KENNINGTON,"KENNINGTON - Claylands Road , Clapham Road - Open - air Meeting - Speaker , Miss D. E. Brown - Miss A. E. Gloyn","['Miss D. E. Brown', 'Miss A. E. Gloyn']",,,"JULY 4 , 1913"
JULY 8,CHISWICK,"CHISWICK - Garden Meeting at Milton House , The Orchard , Bedford Park - Hostess , Mrs. Hall- ward - Speaker , Mrs. Gimingham , M.A. - Music and Recitations","['Mrs. Gimingham', 'M.A.']",['Mrs. Hallward'],,"JULY 4 , 1913"
JULY 8,HAMPSTEAD,"HAMPSTEAD - Garden Party Meeting ( kind permission Miss Lister ) at Upper Heath , Heath Street - Dumb Show Plays , arranged by Miss Marjorie Strachey , dances , & c . Tickets , 2s . 6d . , five for 10s . , Miss Boyd , 5 , Onslow Place . Tea 6d .",,,"Dumb Show Plays , arranged by Miss Marjorie Strachey , dances , & c . Tickets , 2s . 6d . , five for 10s . , Miss Boyd , 5 , Onslow Place .","JULY 4 , 1913"
JULY 9,WALTHAMSTOW,"WALTHAMSTOW - Garden meeting at Forest Lodge , Whipps Cross - Speaker , Miss Geraldine Cooke",['Miss Geraldine Cooke'],,,"JULY 4 , 1913"
JULY 9,N. WIMBLEDON,"N. WIMBLEDON - Garden Meeting at Beverley Wood , Coombe , Kingston - Hostess , Mrs. Ellis- Chair , Mrs. H. M. Ellis , J.P. - Speakers , Mrs. Corbett Ashby and Mr. John E. Raphael","['Mrs. Corbett Ashby', 'Mr. John E. Raphael', 'Mrs. H. M. Ellis , J.P. (Chair)']",['Mrs. Ellis'],,"JULY 4 , 1913"
JULY 9,EAST AND WEST ST . PANCRAS,"EAST AND WEST ST . PANCRAS - Open - air Meeting Netley Street and Hampstead Road- Speakers , Miss Dawson , Miss Hoblyn .","['Miss Dawson', 'Miss Hoblyn']",,,"JULY 4 , 1913"
JULY 9,BRIXTON,"BRIXTON - Trade Union Hall - New Zealand Women and the Vote - Speaker , Mrs. Pember Reeves - Chair , Mr. Sydney Pascall","['Mrs. Pember Reeves', 'Mr. Sydney Pascall (Chair)']",,,"JULY 4 , 1913"
JULY 10,CLAPHAM,"CLAPHAM - Drawing - room Meeting , 16 , Vic- toria Road , Clapham - Hostess , Miss Lawrence- Chair , Mrs. Bertram - Speaker , Miss Fielden","['Miss Fielden', 'Mrs. Bertram (Chair)']",['Miss Lawrence'],,"JULY 4 , 1913"
JULY 11,SUTTON,"SUTTON - Garden Meeting at Highfield , Over- ton Road , Sutton - Chair , The Rev. F. I. Harrison - Speaker , Mrs. A. Savory","['Mrs. A. Savory', 'The Rev. F. I. Harrison (Chair)']",,,"JULY 4 , 1913"
JULY 11,SURBITON,"SURBITON - Garden Meeting at Caverleigh , 107 , Maple Road , Surbiton - Hostess , Mrs. Stuart Horner",,['Mrs. Stuart Horner'],,"JULY 4 , 1913"
JULY 14,W. SOUTHWARK,"W. SOUTHWARK - Garden Row , London Road -Open - air Meeting - Speakers , Miss P. Fawcett , Mr. McKenley , Miss Gloyn","['Miss P. Fawcett', 'Mr. McKenley', 'Miss Gloyn']",,,"JULY 4 , 1913"
JULY 4,HASLEMERE AND HINDHEAD,"HASLEMERE AND HINDHEAD Meeting at Ravensdale , Portsmouth Road- Speaker , Miss Stoehr",['Miss Stoehr'],,,"JULY 4 , 1913"
