Date,Location,Raw,Speakers,Description,Issue date
September 10,"Birmingham, Bull Ring","Birmingham , Bull Ring",['Miss Laura Ainsworth'],,"September 10 , 1909"
September 10,"Birmingham, Iron Foundry, London St. and Grove Lane","Birmingham , Iron Foundry , London St. and Grove Lane",['Mrs. B. Smith'],,"September 10 , 1909"
September 10,"Birmingham, Alum Rock Rd","Birmingham , Alum Rock Rd .",['Miss Laura Ainsworth'],,"September 10 , 1909"
September 10,"Birmingham, Green Lane and Grange Road","Birmingham , Green Lane and Grange Road",['Miss Burkitt'],,"September 10 , 1909"
September 10,"Birmingham, Kynoch's Lion Works, Witton","Birmingham , Kynoch's Lion Works , Witton",['Miss Laura Ainsworth'],,"September 10 , 1909"
September 10,"Bristol, top of Park Street","Bristol , top of Park Street",['Mrs. Dove - Willcox'],,"September 10 , 1909"
September 10,"Lewisham, Avenue House, Avenue Rd","Lewisham , General Meeting , Avenue House , Avenue Rd .",,General Meeting,"September 10 , 1909"
September 10,"Liverpool, Wellington Column","Liverpool , Wellington Column","['Miss Woodlock', 'Miss Broughton']",,"September 10 , 1909"
September 11,"Birkenhead, Haymarket","Birkenhead , Haymarket","['Miss Woodlock', 'Miss Crewe']",,"September 10 , 1909"
September 11,"Birmingham, Stratford Place, Camp Hill","Birmingham , Stratford Place , Camp Hill",['Miss Burkitt'],,"September 10 , 1909"
September 11,"Birmingham, Monument Rd. and Plough & Harrow Rd","Birmingham , Monument Rd . and Plough & Harrow Rd .",['Miss Burkitt'],,"September 10 , 1909"
September 11,"Glasgow, Charing Cross Hall","Glasgow , At Home , Charing Cross Hall",['Lady Constance Lytton'],At Home,"September 10 , 1909"
September 11,"Crouch End, Clock Tower","Crouch End , Clock Tower",,,"September 10 , 1909"
September 11,"Richmond, Heron Court","Richmond , Heron Court",,,"September 10 , 1909"
September 11,"Teignmouth, The Fountain","Teignmouth , The Fountain",,,"September 10 , 1909"
September 12,"Kew, Bridge Approach","Kew , Bridge Approach",,,"September 10 , 1909"
September 12,"Liverpool, Wellington Column","Liverpool , Wellington Column",['Miss Woodlock'],,"September 10 , 1909"
September 12,Blackheath,Blackheath,,,"September 10 , 1909"
September 12,Putney Heath,Putney Heath,,,"September 10 , 1909"
September 12,Streatham Common,Streatham Common,,,"September 10 , 1909"
September 12,Wimbledon Common,Wimbledon Common,,,"September 10 , 1909"
September 12,"Oldham, Park Gates","Oldham , Park Gates",,,"September 10 , 1909"
September 12,"Bradford, Shipley Glen","Bradford , Shipley Glen",,,"September 10 , 1909"
September 13,"Birmingham, Perry's, Lancaster Street","Birmingham , Perry's , Lancaster Street",['Miss G. A. Brackenbury'],,"September 10 , 1909"
September 13,"Birmingham, Kynoch's Works, Witton","Birmingham , Kynoch's Works , Witton",['Miss E. Myers'],,"September 10 , 1909"
September 13,"Birmingham, Floodgate Street and River Street","Birmingham , Floodgate Street and River Street",['Miss Howey'],,"September 10 , 1909"
September 13,"Birmingham, Portland Street, Aston","Birmingham , Portland Street , Aston","['Miss C. Marsh', 'Miss Newton', 'Miss Steventon', 'Miss Wilson']",,"September 10 , 1909"
September 13,"Birmingham, Bull Ring","Birmingham , Bull Ring",['Miss Laura Ainsworth'],,"September 10 , 1909"
September 13,Bury,Bury,,,"September 10 , 1909"
September 13,"Putney, 9, High Street","Putney , 9 , High Street",,,"September 10 , 1909"
