Date,Location,Raw,Speakers,Description,Issue date
FEB . 14,"Chelsea, King's - road , Wellington - square","Chelsea , King's - road , Wellington - square . Mr. H. Fry , Mr. Thornton Jones , Mr. H. B. Macpherson","['Mr. H. Fry', 'Mr. Thornton Jones', 'Mr. H. B. Macpherson']",,"February 14 , 1913"
FEB . 14,Chelsea,"Chelsea , 308 , King's road . Mrs. Young",['Mrs. Young'],,"February 14 , 1913"
FEB . 14,Clapham,"Clapham , The Plough . Miss Coombs",['Miss Coombs'],,"February 14 , 1913"
FEB . 14,Cricklewood,"Cricklewood , Clock Tower . Miss Agnes Kelly . Miss Jacobs","['Miss Agnes Kelly', 'Miss Jacobs']",,"February 14 , 1913"
FEB . 14,Edmonton,"Edmonton , Silver - street . M.P.U. Mr. H. Gillespie , Miss Guttridge","['Mr. H. Gillespie', 'Miss Guttridge']",,"February 14 , 1913"
FEB . 14,Ilford,"Ilford , Broadway - chambers . Miss Townsend . Chair : Mr. J. Silver , B.A.",['Miss Townsend'],,"February 14 , 1913"
FEB . 14,"Lincoln's Inn House, Kingsway","Lincoln's Inn House , Kingsway . Speakers Class . Miss Rosa Leo",['Miss Rosa Leo'],,"February 14 , 1913"
FEB . 14,Putney,"Putney , Werter - road . Miss Edith New . Chair : Miss Belile",['Miss Edith New'],,"February 14 , 1913"
FEB . 14,Sloane - square,"Sloane - square . Mrs. Penn Gaskell , Mrs. Temple Bird","['Mrs. Penn Gaskell', 'Mrs. Temple Bird']",,"February 14 , 1913"
FEB . 15,Battersea,"Battersea , Falcon - road and Lavender - terrace . Miss Kelly , Mrs. Bartlett","['Miss Kelly', 'Mrs. Bartlett']",,"February 14 , 1913"
FEB . 15,Battersea,"Barry A. D. Macpherson , Mr. G. Pamment , Mr. W. Willox","['A. D. Macpherson', 'Mr. G. Pamment', 'Mr. W. Willox']",,"February 14 , 1913"
FEB . 15,Chiswick,"Chiswick , Duke's - road . Mrs. Brindley",['Mrs. Brindley'],,"February 14 , 1913"
FEB . 15,Fulham,"Fulham , Munster - road . Mrs. Bouvier",['Mrs. Bouvier'],,"February 14 , 1913"
FEB . 15,Fulham - road,"Fulham - road , Beaufort - street . Miss Blacklock , Miss Haig , Miss Grahame","['Miss Blacklock', 'Miss Haig', 'Miss Grahame']",,"February 14 , 1913"
FEB . 15,Harlesden,"Harlesden , Manor Park - road . Mrs. Ball , Miss Haarbleicher","['Mrs. Ball', 'Miss Haarbleicher']",,"February 14 , 1913"
FEB . 15,Ilford,"Ilford , Balfour - road . Miss Hopkins",['Miss Hopkins'],,"February 14 , 1913"
FEB . 15,Kingston,"Kingston , Church - street . Miss N. Lightman . Chair : Mrs. Dacro Fox",['Miss N. Lightman'],,"February 14 , 1913"
FEB . 15,Chelsen,"Chelsen , Manor - street , near Town Hall . Miss A. Wright , Miss M.",['Miss A. Wright'],,"February 14 , 1913"
FEB . 15,Chelsea,"Chelsea , King's road , Glebe - place . M.F.W.S. Mr. F. Fox , Dr.","['Mr. F. Fox', 'Dr.']",,"February 14 , 1913"
FEB . 15,Putney,"Putney , Werter - road . Miss Gwen Richard",['Miss Gwen Richard'],,"February 14 , 1913"
