Date,Location,Raw,Description,Speakers,Hosts,Issue date
APRIL 27,"Oldham Music Room, Werneth Park","Oldham Music Room , Werneth Park - Social for members and friends . 7.30",Social for members and friends,[],,"APRIL 27 , 1911"
APRIL 27,Leeds,"Leeds - Co - operative Guild , Burley - Mrs . Parrish .",,['Mrs. Parrish'],,"APRIL 27 , 1911"
APRIL 27,Goole St. Mary's Hall,Goole St. Mary's Hall - Miss I. O. Ford .,,['Miss I. O. Ford'],,"APRIL 27 , 1911"
APRIL 27,"Redhill - King's Hall, Colman Institute","Redhill - King's Hall , Colman Institute - Annual Meeting of Evening Redhill , Reigate and District Society - Miss Nina Boyle .","Annual Meeting of Redhill, Reigate and District Society",['Miss Nina Boyle'],,"APRIL 27 , 1911"
APRIL 27,Sunderland,Sunderland - Mrs . Jaques ' Drawing - room Meeting - Miss Alice 7.30 Low .,Drawing-room Meeting,['Miss Alice Low'],['Mrs. Jaques'],"APRIL 27 , 1911"
APRIL 27,Sunderland,Sunderland - Miss Milbanke's Drawing - room Meeting - Miss Alice Low . 8.0,Drawing-room Meeting,['Miss Alice Low'],['Miss Milbanke'],"APRIL 27 , 1911"
APRIL 27,West Bromwich - Y.M C.A. Rooms,"West Bromwich - Y.M C.A. Rooms - Debate - Miss E. , Gardner , B.A. Evening",Debate,"['Miss E. Gardner, B.A.']",,"APRIL 27 , 1911"
APRIL 28,Letchworth Ashwell County Council School,Letchworth Ashwell County Council School - Mrs . Rackham .. 8.0,,['Mrs. Rackham'],,"APRIL 27 , 1911"
APRIL 28,Middlesbrough,Middlesbrough - Mrs . Howell's Drawing - room Meeting - Mrs . Merivale Mayer .,Drawing-room Meeting,['Mrs. Merivale Mayer'],['Mrs. Howell'],"APRIL 27 , 1911"
APRIL 28,Newcastle,"Newcastle Miss Louise Davies ' "" At Home "" -Miss Alice Low . 3.30","""At Home""",['Miss Alice Low'],['Miss Louise Davies'],"APRIL 27 , 1911"
APRIL 28,Banbury Town Hall,"Banbury Town Hall - Mrs . Fawcett , LL.D. , Mrs. Osler , Rev. 8.0 F. A. M. Spencer , M.A.",,"['Mrs. Fawcett, LL.D.', 'Mrs. Osler', 'Rev. F. A. M. Spencer, M.A.']",,"APRIL 27 , 1911"
APRIL 29,Sunderland - Girls ' High School,"Sunderland - Girls ' High School - Variety Entertainment- Tickets , 2s . and 1s .",Variety Entertainment,,,"APRIL 27 , 1911"
MAY 1,Leeds - Salem Congregational Chapel,Leeds - Salem Congregational Chapel - Mrs . Parrish .,,['Mrs. Parrish'],,"APRIL 27 , 1911"
MAY 1,Matton - Adult School,"Matton - Adult School A. Taylor , Esq . , J.P. ( chairman ) , Merivale Mayer . 8.0 Mrs.",,['Mrs. Merivale Mayer'],,"APRIL 27 , 1911"
MAY 1,Eastbourne Town Hall,Eastbourne Town Hall - Mass Meeting in support of Sir G. Kemp's Bill - Lady Stout .,Mass Meeting in support of Sir G. Kemp's Bill,['Lady Stout'],,"APRIL 27 , 1911"
MAY 1,Newcastle - Forest Hall,Newcastle - Forest Hall - Mrs . Mackenzie's Drawing - room Meet- ing - Miss Alice Low .,Drawing-room Meeting,['Miss Alice Low'],['Mrs. Mackenzie'],"APRIL 27 , 1911"
MAY 1,"Newcastle - 27, Ridley Place","Newcastle - 27 , Ridley Place - Committee's Reception - Miss Alice Low . 3.30",Committee's Reception,['Miss Alice Low'],,"APRIL 27 , 1911"
MAY 2,Shrewsbury - Co-operative Hall,Shrewsbury - Co - operative Hall - Mrs . Timpany .,,['Mrs. Timpany'],,"APRIL 27 , 1911"
MAY 2,"Bristol - 111A, White Ladies Road","Bristol - 111A , White Ladies Road - Lecture , Reincarnation "" -Miss Ley .","Lecture, ""Reincarnation""",['Miss Ley'],,"APRIL 27 , 1911"
MAY 2,Jarrow - Women's Liberal Association,Jarrow - Women's Liberal Association - Miss Low .,,['Miss Low'],,"APRIL 27 , 1911"
MAY 2,Tynemouth Parish Hall,Tynemouth Parish Hall - Miss I. O. Ford .,,['Miss I. O. Ford'],,"APRIL 27 , 1911"
MAY 3,"Darlington, Temperance Institute","Darlington , Temperance Institute - Miss I. O. Ford .",,['Miss I. O. Ford'],,"APRIL 27 , 1911"
MAY 3,Shildon - Friends' Meeting House,"Shildon - Friends ' Meeting House - Miss Ford , M. Watson , Esq . , J.P. ( chairman ) .",,"['Miss Ford', 'M. Watson, Esq., J.P.']",,"APRIL 27 , 1911"
