Date,Location,Raw,Description,Speakers,Hosts,Issue date
JULY 6,Leamington - Birch's Music Rooms,Leamington - Birch's Music Rooms - Franchise Club .,Franchise Club,,,"JULY 6 , 1911"
JULY 6,Manchester,"Manchester - Miss Woolley's Garden Meeting - Miss Robert- son , B.A.",,"['Miss Robert-son, B.A.']",,"JULY 6 , 1911"
JULY 6,Eastbourne,Eastbourne Mrs. Charmer's Meeting - Mrs . Strickland .,,['Mrs. Strickland'],['Mrs. Charmer'],"JULY 6 , 1911"
JULY 7,Nottingham,"Nottingham Mrs. W. B. Thorpe's Garden Meeting - Miss C. Corbett , B.A. , Hon . Mrs. Handford ( chair ) .",,"['Miss C. Corbett, B.A.', 'Hon. Mrs. Handford']",['Mrs. W. B. Thorpe'],"JULY 6 , 1911"
JULY 6,Nottingham,"Nottingham - Mrs . W. E. Dowson's Garden Meeting - Miss C. Corbett , B.A.",,"['Miss C. Corbett, B.A.']",['Mrs. W. E. Dowson'],"JULY 6 , 1911"
JULY 7,"Norwich - Southwell Lodge, Ipswich Road","Norwich - Southwell Lodge , Ipswich Road - Miss E. L. Willis's . "" At Home "" for Members .",At Home for members,,['Miss E. L. Willis'],"JULY 6 , 1911"
JULY 8,New Forest - Brockenhurst School,"New Forest - Brockenhurst School - Annual Meeting - Miss C. Corbett , Miss Clough ( chair ) .",Annual Meeting,"['Miss C. Corbett', 'Miss Clough']",,"JULY 6 , 1911"
JULY 11,Birmingham Queen's College,"Birmingham Queen's College "" Women and the Insurance Bill "" Miss M. Bondfield , Miss Ashley ( chair ) .",Women and the Insurance Bill,"['Miss M. Bondfield', 'Miss Ashley']",,"JULY 6 , 1911"
JULY 11,"Birmingham - Women's School, Conway Road","Birmingham - Women's School , Conway Road - Mrs . Ring .",,['Mrs. Ring'],,"JULY 6 , 1911"
JULY 11,Whitehaven Masonic Hall,"Whitehaven Masonic Hall - Miss C. M. Gordon , M.A.",,"['Miss C. M. Gordon, M.A.']",,"JULY 6 , 1911"
JULY 11,Shrewsbury - Women's Co-operative Guild,Shrewsbury - Women's Co - operative Guild - Mrs . Timpany .,,['Mrs. Timpany'],,"JULY 6 , 1911"
