Date,Location,Raw,Description,Speakers,Hosts,Issue date
JUNE 6,"Leamington - Birch's Music Rooms, Parade","Leamington - Birch's Music Rooms , Parade - War- wick and Leamington Franchise Club",Warwick and Leamington Franchise Club,[],,"JUNE 6 , 1912"
JUNE 6,Whitby - Crown Hotel,Whitby - Crown Hotel - Invitation meeting - Misa Helen Fraser,Invitation meeting,['Helen Fraser'],,"JUNE 6 , 1912"
JUNE 6,"Newcastle - on - Tyne - Office, 27, Ridley Place","Newcastle - on - Tyne - Office , 27 , Ridley Place - Miss M. Weddell's and Miss M. Catnach's meeting for teachers - Miss Abadam Miss Moberley ( chair )",Miss M. Weddell's and Miss M. Catnach's meeting for teachers,"['Abadam', 'Moberley']",,"JUNE 6 , 1912"
JUNE 6,Camberley - Portesberry Hill,"Camberley - Portesberry Hill- "" The present policy N.U.W.S.S . "" - Mrs . Robie Uniacke","""The present policy of the N.U.W.S.S.""",['Robie Uniacke'],,"JUNE 6 , 1912"
JUNE 6,Crick - Rectory Club Room,"Crick - Rectory Club Room - Mrs . Ring , Rev. W. C. Roberts",,"['Ring', 'W. C. Roberts']",,"JUNE 6 , 1912"
JUNE 6,Kidderminster - Kingsley Hall,Kidderminster - Kingsley Hall - West Midland Federation annual meeting - Lady Frances Balfour,West Midland Federation annual meeting,['Frances Balfour'],,"JUNE 6 , 1912"
JUNE 6,Gosforth - Northmoor Lodge,Gosforth - Northmoor Lodge - Miss Goode - Davies ' Garden meeting - Miss Abadam,Miss Goode-Davies' Garden meeting,['Abadam'],,"JUNE 6 , 1912"
"JUNE 6,","Leeds - 9, Park Lane","Leeds - 9 , Park Lane - West Riding Federation Bazaar - Café Chantant",West Riding Federation Bazaar - Café Chantant,,,"JUNE 6 , 1912"
JUNE 6,"Guildford - Judge's Room, Borough Halls","Guildford - Judge's Room , Borough Halls - Mrs . Rackham , H. Rolleston Stables ( chair )",,"['Rackham', 'H. Rolleston Stables']",,"JUNE 6 , 1912"
JUNE 6,"Bristol - Queen's Hall, Clifton","Bristol - Queen's Hall , Clifton - Miss M. Robertson , Mrs. Randall Vickers ( chair )",,"['M. Robertson', 'Randall Vickers']",,"JUNE 6 , 1912"
