Date,Location,Raw,Speakers,Description,Issue date
FEB . 21,Chelsea,"Chelsea , 308 , King's - road . Mrs. Pankhurst , Miss Brackenbury . Chair : Miss Naylor","['Mrs. Pankhurst', 'Miss Brackenbury', 'Miss Naylor (chair)']",,"February 21 , 1913"
FEB . 21,Chelsea Town Hall,"Chelsea Town Hall . Mrs. Pankhurst , Miss Brackenbury . Chair : Miss Naylor","['Mrs. Pankhurst', 'Miss Brackenbury', 'Miss Naylor (chair)']",,"February 21 , 1913"
FEB . 21,Clapham,"Clapham , The Plough . Miss G. Richard",['Miss G. Richard'],,"February 21 , 1913"
FEB . 21,Cricklewood,"Cricklewood , Clock Tower . Mrs. Theresa Gough , Miss Jacobs","['Mrs. Theresa Gough', 'Miss Jacobs']",,"February 21 , 1913"
FEB . 21,Lincoln's Inn House,"Lincoln's Inn House , Kingsway . Speakers ' Class . Miss Rosa Leo",['Miss Rosa Leo'],,"February 21 , 1913"
FEB . 21,Lower Edmonton,"Lower Edmonton , Town Hall . M.P.U. Mrs. Lamartine Yates , Mr. Victor Duval , Mr. R. Pott . Chair : Rev. R. B. L. Exton","['Mrs. Lamartine Yates', 'Mr. Victor Duval', 'Mr. R. Pott', 'Rev. R. B. L. Exton (chair)']",,"February 21 , 1913"
FEB . 21,Mile End Waste,Mile End Waste . Miss Harvey,['Miss Harvey'],,"February 21 , 1913"
FEB . 21,North Kensington,"North Kensington , Free Library , Ladbroke grove . Miss Coombs",['Miss Coombs'],,"February 21 , 1913"
FEB . 21,Sloane - square,Sloane - square . Miss M. Sheppard . Chair : Mrs. Temple Bird,"['Miss M. Sheppard', 'Mrs. Temple Bird (chair)']",,"February 21 , 1913"
FEB . 22,Battersea,"Battersea , Falcon - road and Lavender - terrace . Miss Randall",['Miss Randall'],,"February 21 , 1913"
FEB . 22,Hammersmith,"Hammersmith , near Broadway . M.F.W.S. Mr. H. Macpherson , Mr. G. Pamment , Mr. W. Willox","['Mr. H. Macpherson', 'Mr. G. Pamment', 'Mr. W. Willox']",,"February 21 , 1913"
FEB . 22,Harlesden,"Harlesden , Manor Park - road . Miss Coombs",['Miss Coombs'],,"February 21 , 1913"
FEB . 22,Kingston,"Kingston , Church - street . Mrs. Theresa Gough . Chair : Mrs. Dacre Fox","['Mrs. Theresa Gough', 'Mrs. Dacre Fox (chair)']",,"February 21 , 1913"
FEB . 22,West Ham,"West Ham , Maryland Point . Miss Hopkins",['Miss Hopkins'],,"February 21 , 1913"
FEB . 22,Hackney,Hackney . Drawing - room Meeting,,,"February 21 , 1913"
FEB . 22,Hornsey,"Hornsey , 5 , Hope - terrace , Middle - lane . Mrs. Furley Smith",['Mrs. Furley Smith'],,"February 21 , 1913"
FEB . 22,Streatham,Streatham . General Meeting . Chair : Miss Leonora Tyson,,,"February 21 , 1913"
FEB . 23,Hampstead Heath,"Hampstead Heath , Flagstaff . Miss Nancy Lightman",['Miss Nancy Lightman'],,"February 21 , 1913"
