Date,Location,Raw,Description,Speakers,Issue date
FEBRUARY 15,"Lancaster - Friends ' Hall , Fenton Street","Lancaster - Friends ' Hall , Fenton Street - White Elephant Tea",White Elephant Tea,,"FEBRUARY 15 , 1912"
FEBRUARY 15,Shotley Bridge - Miss Walton Wilson's drawing- room,Shotley Bridge - Miss Walton Wilson's drawing- room meeting - Mrs . Abbott,,['Mrs . Abbott'],"FEBRUARY 15 , 1912"
FEBRUARY 15,Consett Swainston's Café,Consett Swainston's Café - Mrs . Abbott,,['Mrs . Abbott'],"FEBRUARY 15 , 1912"
FEBRUARY 15,Sunderland - St . George's Hall,"Sunderland - St . George's Hall - Miss A. Maude Royden , R. A. Bartram , Esq . ( chair )",,"['Miss A. Maude Royden', 'R. A. Bartram , Esq .']","FEBRUARY 15 , 1912"
FEBRUARY 15,Llanduduo - Town Hall,"Llanduduo - Town Hall - Mrs . Philip Snowden , E. E. Bone , Esq . ( chair )",,"['Mrs . Philip Snowden', 'E. E. Bone , Esq .']","FEBRUARY 15 , 1912"
FEBRUARY 15,Knutsford - King's Coffee House,Knutsford - King's Coffee House Annot Robinson Annual meeting,Annot Robinson Annual meeting,,"FEBRUARY 15 , 1912"
FEBRUARY 15,Monkwearmouth - The Rectory,Monkwearmouth - The Rectory Mrs. meeting - Brown's Miss A.,Mrs. Brown's meeting,,"FEBRUARY 15 , 1912"
FEBRUARY 15,Marlow - Mrs . Tindell's drawing - room,Marlow - Mrs . Tindell's drawing - room meeting - Mrs . Robie Uniacke,,"['Mrs . Robie Uniacke', 'Uniacke']","FEBRUARY 15 , 1912"
FEBRUARY 15,"Bedford - 14 , The Crescent","Bedford - 14 , The Crescent - Social evening , music , etc.",,,"FEBRUARY 15 , 1912"
FEBRUARY 15,Keswick Town Hall,"Keswick Town Hall - Miss M. Norma - Smith , Miss Newling , Mrs. Slack ( chair )",,"['Miss M. Norma - Smith', 'Miss Newling', 'Mrs. Slack']","FEBRUARY 15 , 1912"
FEBRUARY 15,Tunbridge Wells - Mrs . White's,"Tunbridge Wells - Mrs . White's "" At Home """,""" At Home """,,"FEBRUARY 15 , 1912"
FEBRUARY 15,"Birmingham "" The Lea , "" Harborne - Mrs . Godlee's drawing - room","Birmingham "" The Lea , "" Harborne - Mrs . Godlee's drawing - room meeting",,,"FEBRUARY 15 , 1912"
FEBRUARY 15,Letchworth - Pixmore,Letchworth - Pixmore,,,"FEBRUARY 15 , 1912"
FEBRUARY 15,"Newport , Salop - Town Hall","Newport , Salop - Town Hall - Miss W. Elkin , Miss Eva Ward , J. Collins , Esq . , J.P. ( chair )",,"['Miss W. Elkin', 'Miss Eva Ward', 'J. Collins , Esq . , J.P.']","FEBRUARY 15 , 1912"
FEBRUARY 16,Gateshead Mrs. Spence Watson's drawing - room,Gateshead Mrs. Spence Watson's drawing - room meeting - Miss A. Maude Royden,,['Miss A. Maude Royden'],"FEBRUARY 15 , 1912"
