Date,Location,Raw,Speakers,Issue date
JUNE 27,WESTMINSTER PALACE HOTEL,"WESTMINSTER PALACE HOTEL - London Society's Reception - Chair , Miss Edith Palliser -Speakers , N.U.W.S.S. Delegates returned from Buda Pesth , and others - Speech on "" The Women's Suffrage Pilgrimage","['N.U.W.S.S. Delegates returned from Buda Pesth', 'others Speech on "" The Women\'s Suffrage Pilgrimage""']","JUNE 27 , 1913"
JUNE 27,NORTH WEST HAM,"NORTH WEST HAM - Garden Meeting at the N.W. HAM Progressive Club - Chair , Alderman J. Hurry , J.P. - Speaker , Mrs. Stanbury ( Mem- ber of the Ex . Com . N.U.W.S.S. ) , R. F. Cholmeley , Esq","['Mrs. Stanbury', 'R. F. Cholmeley, Esq.']","JUNE 27 , 1913"
JUNE 27,LAMBETH,"LAMBETH - Tenison Street , York Road , Waterloo - Open - air Meeting Speakers , Jameson , Miss Rinder","['Jameson', 'Miss Rinder']","JUNE 27 , 1913"
JUNE 27,MUSWELL HILL,"MUSWELL HILL - Open - air Meeting , The Exchange - Speakers , Miss W. A. Elkin , Mrs. H. J. Baker","['Miss W.A. Elkin', 'Mrs. H.J. Baker']","JUNE 27 , 1913"
JUNE 27,"ST. GEORGE'S, HANOVER SQUARE","ST . GEORGE'S , HANOVER SQUARE - Enter- tainment and Meeting at St. Andrew's Parish Hall , Carlisle Place ( near Victoria Station ) - Speaker , Miss J. H. Thomson , M.A. - One act play , "" The Ideal Woman""","['Miss J.H. Thomson, M.A.', 'One act play, ""The Ideal Woman""']","JUNE 27 , 1913"
JUNE 30,SOUTHWARK,"SOUTHWARK - St . George's Circus - Open- air Meeting - Speakers , Miss Dawson , Mrs. Stan- bury ( Ex . Com . N.U W.S.S. ) , Mrs. Watson","['Miss Dawson', 'Mrs. Stanbury', 'Mrs. Watson']","JUNE 27 , 1913"
JUNE 30,FINCHLEY,"FINCHLEY - Drawing - room Meeting , 1 , Caven- Avenue , Church End , Finchley , N.- Hostess , Mrs. Wood - Speaker , Miss Rinder",['Miss Rinder'],"JUNE 27 , 1913"
JULY 1,HAMMERSMITH,"HAMMERSMITH - The Grove - Open - air Meet- ing - Speakers , Miss Goddard , Miss P. Fawcett","['Miss Goddard', 'Miss P. Fawcett']","JUNE 27 , 1913"
JULY 1,WESTMINSTER,"WESTMINSTER - Meeting at the Suffrage Club , 3 , York Street , St. James's - Speaker , The Lady Frances Balfour - Chair , The Hon . Mrs. Spencer Graves",['The Lady Frances Balfour'],"JUNE 27 , 1913"
JULY 2,BATTERSEA,"BATTERSEA - Garden Meeting at 146 , Lavender Hill , S.W. - Hostess , Mrs. McDade - Speakers , The Hon . Mrs. E. L. Franklin , Mr. Malcolm Mitchell","['The Hon. Mrs. E.L. Franklin', 'Mr. Malcolm Mitchell']","JUNE 27 , 1913"
