Date,Location,Raw,Speakers,Description,Hosts,Issue date
FEBRUARY 28,Swindon - Mechanics ' Institute,"Swindon - Mechanics ' Institute - Miss Abadam , "" The White Slave Traffic : Its Causes and Cure ""","['Miss Abadam', 'Mrs. A. Nield Chew', 'Mrs Robie Uniacke', 'Mr. F. J. K. Cross, J.P., C.C.']",,,"FEBRUARY 28 , 1913"
FEBRUARY 28,Farringdon Town Hall,"Farringdon Town Hall - Public Meeting - Sweated Industries - Speakers , Mrs. A. Nield Chew , Mrs Robie Uniacke - Chair , Mr. F. J. K. Cross , J.P. , C.C.",,Public Meeting - Sweated Industries,,"FEBRUARY 28 , 1913"
MARCH 1,Woking - Central Assembly Hall,"Woking - Central Assembly Hall - Meeting - Chair , The Lady Betty Balfour - Miss Phillipa Fawcett","['Miss Phillipa Fawcett', 'The Lady Betty Balfour']",,,"FEBRUARY 28 , 1913"
MARCH 3,"Croydon - 34a, The Arcade, Hight Street","Croydon - 34a , The Arcade , Hight Street - Meeting -The Rev. W. Major Scott , M.A. , "" Woman's Suffrage and Social Welfare ""","['The Rev. W. Major Scott, M.A.']",,,"FEBRUARY 28 , 1913"
MARCH 3,St. York - Exhibition Hall,"St. York - Exhibition Hall - Women's Suffrage Demon-stration - Mr . Philip Snowden - Chair , Hon . Mrs. Wilkinson .","['Mr. Philip Snowden', 'Hon. Mrs. Wilkinson.']",,,"FEBRUARY 28 , 1913"
MARCH 3,Olton - Kineton Road Schoolroom,"Olton - Kineton Road Schoolroom - Miss Maude Roydon , "" The Vote and the Home """,['Miss Maude Roydon'],,,"FEBRUARY 28 , 1913"
MARCH 3,St. Neots - Corn Exchange,"St. Neots - Corn Exchange Meeting - Mr . W. Mirrlees , Mrs. Rackham - Chair , Miss Cockrane","['Mr. W. Mirrlees', 'Mrs. Rackham', 'Miss Cockrane']",,,"FEBRUARY 28 , 1913"
MARCH 3,"Preston - Assembly Room, Public Hall","Preston - Assembly Room , Public Hall - Miss Evelyn Deakin , C.L.J.-Mr. Holt , M.A. , L.L.B.-Mr. J. M. Cameron Grant","['Miss Evelyn Deakin, C.L.J.', 'Mr. Holt, M.A., L.L.B.', 'Mr. J. M. Cameron Grant']",,,"FEBRUARY 28 , 1913"
MARCH 3,West Bromwich - Library Lecture Hall,"West Bromwich - Library Lecture Hall - Miss Maude Royden , on "" The Religious Aspect of the Woman's Movement "" Chair , Alderman J. H. Blades , J.P.","['Miss Maude Royden', 'Alderman J. H. Blades, J.P.']",,,"FEBRUARY 28 , 1913"
MARCH 3,Worcester - Public Hall,"Worcester - Public Hall - Public Meeting - Dr . C. W. Saleeby , M.D. - Miss Helen Fraser- Chair , Dr. Mabyn Read , M.O.H.","['Dr. C. W. Saleeby, M.D.', 'Miss Helen Fraser', 'Dr. Mabyn Read, M.O.H.']",,,"FEBRUARY 28 , 1913"
MARCH 3,Sutton Coldfield - Town Hall,"Sutton Coldfield - Town Hall - Public Meeting - The Lady Frances Balfour - Chair , Mrs. A. C. Osler","['The Lady Frances Balfour', 'Mrs. A. C. Osler']",,,"FEBRUARY 28 , 1913"
MARCH 3,Worthing - Literary Institute,"Worthing - Literary Institute Miss Abadam , "" From the Women's Watch Tower "" -Chair , Councillor Ellen Chapman","['Miss Abadam', 'Councillor Ellen Chapman']",,,"FEBRUARY 28 , 1913"
MARCH 3,Chelmsford - Literary Institute,"Literary Institute - Chair , Dr. Den-sham - Speaker , Miss Abadam","['Miss Abadam', 'Dr. Densham']",,,"FEBRUARY 28 , 1913"
MARCH 3,Chelmsford - The Corn Exchange,"Chelmsford The Corn Exchange - Mrs . R. Cavendish Bentinck and Mr. Horace E. Craufurd- Chair , Mr. O. C. Collinge","['Mrs. R. Cavendish Bentinck', 'Mr. Horace E. Craufurd', 'Mr. O. C. Collinge']",,,"FEBRUARY 28 , 1913"
MARCH 3,Dovercourt - Co-operative Hall,Dovercourt - Co - operative Hall - Social Evening,,,,"FEBRUARY 28 , 1913"
MARCH 4,Stourbridge Music Rooms,"Stourbridge Music Rooms - Public Meeting- Speaker , The Lady Frances Balfour- Chair , Dr. McCrombie ( Birmingham University )","['The Lady Frances Balfour', 'Dr. McCrombie']",,,"FEBRUARY 28 , 1913"
MARCH 4,"Guildford - Village Hall, Cranleigh","Guildford - Village Hall , Cranleigh - Speakers , Mrs. Sterling and Mrs. Nolan - Slaney- Chair , Mrs. Drew","['Mrs. Sterling', 'Mrs. Nolan-Slaney', 'Mrs. Drew']",,,"FEBRUARY 28 , 1913"
MARCH 4,"Reading - Assembly Rooms, Bridge Street","Reading - Assembly Rooms , Bridge Street - Miss Irene Cox on "" Industrial Law """,['Miss Irene Cox'],,,"FEBRUARY 28 , 1913"
MARCH 4,Dorridge - Forest Hotel,Dorridge - Forest Hotel - Miss A. Maude Royden,['Miss A. Maude Royden'],,,"FEBRUARY 28 , 1913"
MARCH 4,Hastings - Town Hall,Hastings - Town Hall - Public Meeting - Miss Abadam and Mr. Harben,"['Miss Abadam', 'Mr. Harben']",,,"FEBRUARY 28 , 1913"
MARCH 4,Lincoln - I.L.P. Hall,"Lincoln - I . L . P . Hall - Branch Meeting - Chair , Mr. W. Hill - Speaker , Miss M. Norma Smith","['Mr. W. Hill', 'Miss M. Norma Smith']",,,"FEBRUARY 28 , 1913"
MARCH 4,Shildon - Dean Street School,"Shildon - Dean Street School - Suffrage Fair , opened by Mrs. A. F. Pease - Chair , Mr. G. E. Markham","['Mrs. A. F. Pease', 'Mr. G. E. Markham']",Suffrage Fair,,"FEBRUARY 28 , 1913"
MARCH 4,"Birmingham - Ruskin Hall, Bournville","Birmingham - Ruskin Hall , Bournville - Mrs . Rack-ham , Mr. G. H. Wood - Chair , Miss Newcombe","['Mrs. Rackham', 'Mr. G.H. Wood', 'Miss Newcombe']",,,"FEBRUARY 28 , 1913"
MARCH 4,"Oxford - Assembly Room, Town Hall","Oxford - Assembly Room , Town Hall - Chair , the Rev. Canon H. Scott Holland- Speakers , Miss I. O. Ford , Professor Gilbert Murray","['Rev. Canon H. Scott Holland', 'Miss I.O. Ford', 'Professor Gilbert Murray']",,,"FEBRUARY 28 , 1913"
MARCH 4,Worthing - Office of W.S.S.,"Worthing - Office of W.S.S. - Miss Coasts ' "" At Home "" Mrs. Mayson "" Gleanings from Thirty Years ' Slum Work """,['Mrs. Mayson'],,['Miss Coasts'],"FEBRUARY 28 , 1913"
MARCH 5,Colwyn Bay - Pier Pavilion,"Colwyn Bay - Pier Pavilion - Public meeting - Mr . George Lansbury - Chair , Lady Aber-conway","['Mr. George Lansbury', 'Lady Aberconway']",,,"FEBRUARY 28 , 1913"
MARCH 5,"Huddersfield - Glen House, Gledholt","Huddersfield - Glen House , Gledholt - Hostess , Mrs. Hoyle Speaker , Mrs. Renton","['Mrs. Renton', 'Mrs. Hoyle']",,,"FEBRUARY 28 , 1913"
