Date,Location,Raw,Speakers,Description,Issue date
JUNE 13,"Bethnal Green, Red Church","Bethnal Green , Red Church . M.P.U. Mrs. Hughes , Mr. Mac- kinley","['Mrs. Hughes', 'Mr. Mac- kinley']",,"June 13 , 1913"
JUNE 13,"Empress Rooms, High Street, Kensington","Empress Rooms , High Street , Kensington . Festival",,Festival,"June 13 , 1913"
JUNE 13,"Hornsey, High Street Fountain","Hornsey , High Street Fountain . Miss Bonwick , B.A.","['Miss Bonwick, B.A.']",,"June 13 , 1913"
JUNE 13,"North Kensington, Free Library, Ladbroke Grove","North Kensington , Free Library , Ladbroke Grove . Miss Coombs .",['Miss Coombs'],,"June 13 , 1913"
JUNE 13,Sloane Square,Sloane Square . Miss Kinord,['Miss Kinord'],,"June 13 , 1913"
JUNE 13,"West Ham, Forest Gate Station","West Ham , Forest Gate Station . Miss Gilliatt . Chair : Miss Brice",['Miss Gilliatt'],,"June 13 , 1913"
JUNE 14,Buckingham Palace Road,"Funeral Procession . Miss Emily Wilding Davison . Forms up at 1 p.m. in Buckingham Palace Road , and starts at 2 p.m.",,Funeral Procession. Forms up at 1 p.m. and starts at 2 p.m.,"June 13 , 1913"
JUNE 14,"St. George's Church, Bloomsbury","Service in St. George's Church , Bloomsbury",,Service at 4 p.m.,"June 13 , 1913"
JUNE 14,"Islington, Holloway Road, corner of Jones Bros","Islington , Holloway Road , corner of Jones Bros. Miss Agnes Kelly",['Miss Agnes Kelly'],,"June 13 , 1913"
JUNE 14,"New Barnet, The Triangle","New Barnet , The Triangle . Miss Gwen Richard",['Miss Gwen Richard'],,"June 13 , 1913"
JUNE 14,"West Ham, Stratford Broadway","West Ham , Stratford Broadway . Miss Harvey , Miss Harbott","['Miss Harvey', 'Miss Harbott']",,"June 13 , 1913"
JUNE 14,"Battersea, Strath Terrace","Battersea , Strath Terrace .","['Mrs. Mason', 'Dr. Macpherson']",,"June 13 , 1913"
JUNE 14,Chelsea,Chelsea . Miss Jacobs,['Miss Jacobs'],,"June 13 , 1913"
JUNE 14,"Crouch End, Clock Tower","Crouch End , Clock Tower . Miss Bonwick , B.A.","['Miss Bonwick, B.A.']",,"June 13 , 1913"
JUNE 15,Wimbledon Broadway,Wimbledon Broadway . Miss Rickard . Chair : Mrs. Beatty,['Miss Rickard'],,"June 13 , 1913"
