Date,Location,Raw,Speakers,Issue date
DECEMBER 5,"London, Balham",Balham - Open - air Meeting - Corner of Orme- ley Road and High Street,[],"DECEMBER 5 , 1913"
DECEMBER 5,"London, Ealing and Acton","Ealing and Acton - St . Stephen's Hall , St. Stephen's Road - Speakers , Miss M. Fielden and Mr. Malcolm Mitchell - Chair , The Rev. W. Muirhead Hope , M.A.","['Miss M. Fielden', 'Mr. Malcolm Mitchell']","DECEMBER 5 , 1913"
DECEMBER 5,"London, East Greenwich","East Greenwich - L.C.C . Schools , Calvert Road -Speaker , Mrs. Ford Smith - Duologue , "" A Chat with Mrs. Chicky """,['Mrs. Ford Smith'],"DECEMBER 5 , 1913"
DECEMBER 5,"London, Hammersmith","Hammersmith Meeting of the Independent Labour Party - Speaker , Mrs. Stanbury",['Mrs. Stanbury'],"DECEMBER 5 , 1913"
DECEMBER 5,"London, Islington","Islington - Barnsbury Hall , Upper Street- Suffrage Club - Members ' Night ( one guest each allowed )",[],"DECEMBER 5 , 1913"
DECEMBER 5,"London, Stepney","Stepney The Mission Hall , Ernest Street , Harford Street - Speaker , Mrs. Garrett Jones",['Mrs. Garrett Jones'],"DECEMBER 5 , 1913"
DECEMBER 5,"London, Westminster Palace Hotel","Westminster Palace Hotcl Reception Speakers , Miss A. Maude Royden , Mr. W. H. Dickinson , M.P. - Chair , Miss H. D. Cockle","['Miss A. Maude Royden', 'Mr. W. H. Dickinson, M.P.']","DECEMBER 5 , 1913"
DECEMBER 7,"London, Hornsey","Hornsey Men's Adult School at Adult School Building , Campsbourne Road - Speaker , Mr. William Adams",['Mr. William Adams'],"DECEMBER 5 , 1913"
DECEMBER 7,"London, N. Lambeth","N. Lambeth Lying - in Hospital , York Road- Nurses ' Literary Hour - Speaker , Miss M. Goddard",['Miss M. Goddard'],"DECEMBER 5 , 1913"
DECEMBER 8,"London, Croydon","Croydon - 34a , The Arcade , High Street- "" At Home Speaker , The Rev. M. T. Dodds",['The Rev. M. T. Dodds'],"DECEMBER 5 , 1913"
DECEMBER 8,"London, S. London","S. London - Trade Union Hall , 30 , Brixton Road At Home "" -Mrs . Oliver Strachey on "" The Child and the State "" -Chair , Mrs. Franklin",['Mrs. Oliver Strachey'],"DECEMBER 5 , 1913"
DECEMBER 9,"London, Fulham","Fulham - 16 , Glazbury Road , W. Kensington- Drawing - room Meeting Hostess , Mrs. Mac- kinley Barton - Mrs . Rawlings on "" Child Life and Suffrage "" -Chair . The Rev. B. H. Berlyn",['Mrs. Rawlings'],"DECEMBER 5 , 1913"
DECEMBER 9,"London, St. George's, Hanover Square","Tea at St. George's , Hanover Square - 24 , Park Lane- Drawing - room Meeting Hostess and Chair , Lady Brassey - Speaker , Miss Anna Martin , on "" The Married Working Woman ""","['Miss Anna Martin', 'Lady Brassey']","DECEMBER 5 , 1913"
