Date,Location,Raw,Speakers,Description,Hosts,Issue date
OCTOBER 31,Westminster,"Westminster London Society's Reception - Palace Hotel - Chair , Miss Rosamond Smith- Speakers , Mrs. Heitland , Dr. Florence Willey , R. F. Cholmeley , Esq . 3.30-6.15","['Mrs. Heitland', 'Dr. Florence Willey', 'R. F. Cholmeley, Esq.']",,,"OCTOBER 31, 1913"
OCTOBER 31,Catford,"Lewisham Public Meeting of the Independent Labour Party - Co - operative Hall , Catford- Speaker , Mrs. Stanbury",['Mrs. Stanbury'],,,"OCTOBER 31, 1913"
OCTOBER 31,Wimbledon,"Wimbledon Public Meeting - Johnson's Rooms , The Broadway - Chair , Lady Gibb- Speaker , Miss Ellen Walshe",['Miss Ellen Walshe'],,,"OCTOBER 31, 1913"
OCTOBER 31,Islington,"Islington - Suffrage Club - Meeting at Barns- bury Hall , to inaugurate the Club Chair , the Hon . Mrs. Spencer Graves - Speakers , R. F. Cholmeley , Esq . , M.A. , and others - Music and Recitations , Mrs. Hadrill","['R. F. Cholmeley, Esq.', 'others']",,,"OCTOBER 31, 1913"
OCTOBER 31,Plaistow,"S. W. Ham - Women's Total Abstinence Union - Wilson Institute , Plaistow",,Given,,"OCTOBER 31, 1913"
NOVEMBER 2,Walworth,"Walworth Meeting of British Socialist Party , at 4 , York Road , Walworth . - Speaker , Mrs. Stanbury",['Mrs. Stanbury'],,,"OCTOBER 31, 1913"
NOVEMBER 3,West Smith Road,"West Smith Road Southwark Borough Baptist Chapel - Women's Meeting - Speaker , Mrs. Ford",['Mrs. Ford'],,,"OCTOBER 31, 1913"
NOVEMBER 3,Finchley,Finchley Social Afternoon at Granville Hall,,,,"OCTOBER 31, 1913"
NOVEMBER 3,Hampstead,"Hampstead Hampstead Heath Women's Adult School , 120 , Heath Street - Speaker , Miss D. E. Brown",,,,"OCTOBER 31, 1913"
NOVEMBER 3,Brixton,"S. London - At Home - Trade Union Hall , 30 , Brixton Road , S.W - Chair , J. Osborne , Esq . , P.L.G. Speaker , J. Cameron Grant , Esq .","['J. Cameron Grant, Esq.']",,,"OCTOBER 31, 1913"
NOVEMBER 3,Southwark,"West Southwark - Debate at the Borough Polytechnic Institute - Speaker , Miss Agnes Dawson",['Miss Agnes Dawson'],,,"OCTOBER 31, 1913"
NOVEMBER 3,Ealing,"Ealing Drawing - room Meeting - 37 , Uxbridge Road Hostess , Miss Debac Speaker , Mrs. Savory",['Mrs. Savory'],,,"OCTOBER 31, 1913"
NOVEMBER 4,Islington,"Islington St. Peter's Literary and Debating Society St. Peter's Institute , Vincent Terrace , Islington - Speaker , Miss A. Dawson .",['Miss A. Dawson'],,,"OCTOBER 31, 1913"
NOVEMBER 4,Harrow Road,"Paddington , N. & S. Social - Guardian's offices , 213 , Harrow Road - Chair , Mrs. L. B. Franklin - Speaker , Miss Roper",['Miss Roper'],,,"OCTOBER 31, 1913"
NOVEMBER 5,Wimbledon,"Wimbledon Annual Members ' Meeting - Stam- ford House , Wimbledon Common - Chair , Lady Anderson - Speaker , the Lady Frances Balfour",['The Lady Frances Balfour'],,,"OCTOBER 31, 1913"
NOVEMBER 5,Holloway,"Holloway Women's Adult School - Speaker , Miss Ellen Walshe",['Miss Ellen Walshe'],,,"OCTOBER 31, 1913"
NOVEMBER 7,Westminster,"London Society's Reception - Westminster Palace Hotel - Chair , Mrs. Oliver Strachey- Speakers , Mrs. C. A. V. Conybeare , Miss Edith Palliser , Sir Thomas Barclay","['Mrs. C. A. V. Conybeare', 'Miss Edith Palliser', 'Sir Thomas Barclay']",,,"OCTOBER 31, 1913"
NOVEMBER 7,N. Paddington,"N. Paddington - Bosworth Hall Branch of the B.W.T.A. Speaker , Miss Anna Martin",['Miss Anna Martin'],,,"OCTOBER 31, 1913"
