Date,Location,Raw,Description,Speakers,Hosts,Issue date
NOVEMBER 16,"Birmingham - 10, Easy Row","Birmingham - 10 , Easy Row - Franchise Club .",Franchise Club,,,"NOVEMBER 16 , 1911"
NOVEMBER 16,Bristol,"Bristol 26 , Cumberland Street , St. Paul's - Parlour Meeting - Mrs . Mrs. Hicks , Mrs. Willis .",,"['Mrs. Hicks', 'Mrs. Willis . ']",,"NOVEMBER 16 , 1911"
NOVEMBER 16,"Winchester - Banqueting Hall, Guildhall","Winchester - Banqueting Hall , Guildhall - The Lady Frances Balfour , H. Rolleston Stables , Esq . Mrs. Valfy ( chair ) .",,"['The Lady Frances Balfour', 'H. Rolleston Stables, Esq.']",,"NOVEMBER 16 , 1911"
NOVEMBER 16,Egham - Constitutional Hall,"Egham - Constitutional Hall - Lord Lytton , Mrs. Robie Uniacke , H. Weller , Esq . , J.P. ( chair ) .",,"['Lord Lytton', 'Mrs. Robie Uniacke', 'H. Weller, Esq.']",,"NOVEMBER 16 , 1911"
NOVEMBER 16,Letchworth - Howard Hall,"Letchworth - Howard Hall "" Women and Parliamentary Elections "" Councillor Margaret Ashton , Miss M. Norma - Smith ( chair ) .",,['Councillor Margaret Ashton'],,"NOVEMBER 16 , 1911"
NOVEMBER 16,Worthing - Blackman's Hotel,"Worthing - Blackman's Hotel "" Women's Suffrage and the Right to Work "" -Miss C. Macmillan , Councillor Neale ( chair ) .",,['Miss C. Macmillan'],,"NOVEMBER 16 , 1911"
NOVEMBER 16,Hitchin - New Town Hall,"Hitchin - New Town Hall "" Women's Work on Public Bodies "" . Miss Margaret Ashton , the Earl of Lytton ( chair ) .",,['Miss Margaret Ashton'],,"NOVEMBER 16 , 1911"
NOVEMBER 16,Grayshott - Village Hall,"Grayshott - Village Hall - Produce Market , Plays ( Actresses ' Franchise League ) -Mrs . F. T. Swanwick .",,['Mrs. F. T. Swanwick'],,"NOVEMBER 16 , 1911"
NOVEMBER 17,Hitchin - The Vicarage,Hitchin The Vicarage - Mrs . Jones's Drawing - room Meeting - Miss M. Norma - Smith .,Mrs. Jones's Drawing-room Meeting,['Miss M. Norma - Smith.'],,"NOVEMBER 16 , 1911"
NOVEMBER 17,Gateshead,Gateshead - Miss Almond's Drawing - room Meeting - Miss C. M. Gordon .,Miss Almond's Drawing-room Meeting,['Miss C. M. Gordon'],,"NOVEMBER 16 , 1911"
NOVEMBER 17,Ramsgate Congregational Hall,"Ramsgate Congregational Hall- "" Insurance Bill "" -Miss C. Mac- millan .",,['Miss C. Macmillan'],,"NOVEMBER 16 , 1911"
NOVEMBER 18,Hitchin - Town Hall,"Hitchin Town Hall - Mrs . Rackham , Miss M. Norma - Smith , Lady Selborne ( chair ) .",,"['Mrs. Rackham', 'Miss M. Norma-Smith']",,"NOVEMBER 16 , 1911"
NOVEMBER 20,Shildon - Dene Street Schools,Shildon - Dene Street Schools - Musical Evening .,,,,"NOVEMBER 16 , 1911"
NOVEMBER 20,Bangor - Queen's Head Café,Bangor Queen's Head Café - Annual General Meeting .,,,,"NOVEMBER 16 , 1911"
NOVEMBER 20,Bangor - Queen's Head Café,Bangor - Queen's Head Café - Open Meeting - Miss Eskrigge .,,['Miss Eskrigge'],,"NOVEMBER 16 , 1911"
NOVEMBER 20,"Redhill, Reigate and District - Rees' Rooms","Redhill , Reigate and District - Rees ' Rooms - H . N. Brailsford , Esq . Mr. Jas . Powell ( chair ) .",,"['H. N. Brailsford, Esq.']",,"NOVEMBER 16 , 1911"
NOVEMBER 20,"Newcastle-on-Tyne - 27, Ridley Place","Newcastle - on - Tyne - 27 , Ridley Place - Speakers ' Class conducted by C. M. Gordon , M.A. - The Disabilities of Married Women . ""","Speakers' Class conducted by C. M. Gordon, M.A. - ""The Disabilities of Married Women.""",,,"NOVEMBER 16 , 1911"
NOVEMBER 20,King's Lynn - Central Hall,"King's Lynn - Central Hall - The Lady Frances Balfour , W. Mirrlees , Esq . , Miss Eva Ward . The Mayor ( chair ) .",,"['The Lady Frances Balfour', 'W. Mirrlees, Esq.', 'Miss Eva Ward']",,"NOVEMBER 16 , 1911"
NOVEMBER 20,"S. Salford Suffrage Club, Gardenwall Street","S. Salford Suffrage Club , Gardenwall Street - D . Thompson , Esq .",,"['D. Thompson, Esq.']",,"NOVEMBER 16 , 1911"
NOVEMBER 20,Croydon - Adult School Hall,Croydon - Adult School Hall - Cake and Bulb Sale - Miss Abadam .,Cake and Bulb Sale,['Miss Abadam'],,"NOVEMBER 16 , 1911"
NOVEMBER 20,Basingstoke Town Hall,Basingstoke Town Hall - Mrs . Rackham .,,['Mrs. Rackham'],,"NOVEMBER 16 , 1911"
NOVEMBER 21,"Tunbridge Wells Club Room, 18, Crescent Road","Tunbridge Wells Club Room , 18 , Crescent Road - Annual General Meeting .",,,,"NOVEMBER 16 , 1911"
NOVEMBER 21,Birmingham - Edgbaston Hall,"Birmingham - Edgbaston Hall - Lady Smith's Drawing - room Meeting -Lady Meyer , Mrs. Robie Uniacke ( chair ) .",Lady Smith's Drawing-room Meeting,['Lady Meyer'],,"NOVEMBER 16 , 1911"
NOVEMBER 21,Darlington - Mechanics' Hall,Darlington - Mechanics ' Hall - Lord Lytton .,,['Lord Lytton'],,"NOVEMBER 16 , 1911"
NOVEMBER 21,"Bristol - 111A, White Ladies' Road","Bristol - 111A , White Ladies ' Road - Lecture , "" The Care of Children "" -Miss Tivey .","Lecture, ""The Care of Children""",['Miss Tivey'],,"NOVEMBER 16 , 1911"
NOVEMBER 21,Hull - Committee Room,"Hull Committee Room- "" At Home . ""","""At Home""",,,"NOVEMBER 16 , 1911"
NOVEMBER 21,Bangor,"Bangor - Mrs . Gibson's Drawing - room Meeting- "" The Legal Dis- abilities of Women "" -Miss Lamport .","Mrs. Gibson's Drawing-room Meeting- ""The Legal Disabilities of Women""",['Miss Lamport'],,"NOVEMBER 16 , 1911"
NOVEMBER 21,"Newcastle-on-Tyne - 27, Ridley Place","Newcastle - on - Tyne - 27 , Ridley Place Suffrage Choir conducted by Mme . Marie Bellas Simpson .",Suffrage Choir conducted by Mme. Marie Bellas Simpson,,,"NOVEMBER 16 , 1911"
NOVEMBER 21,Swindon - Town Hall,"Swindon Town Hall - Mrs . Fawcett , LL.D. Mrs. R. C. Lambert ( chair ) .",,"['Mrs. Fawcett, LL.D.']",,"NOVEMBER 16 , 1911"
NOVEMBER 21,Middlesbrough - Settlement Hall,"Middlesbrough Settlement Hall- "" The Effect of the Vote on the Industrial Woman "" -Miss I. O. Ford .",,['Miss I. O. Ford'],,"NOVEMBER 16 , 1911"
NOVEMBER 22,"Birmingham - 10, Easy Row","Birmingham - 10 , Easy Row - Sale of Christmas Gifts .",Sale of Christmas Gifts,,,"NOVEMBER 16 , 1911"
NOVEMBER 22,Exeter - Barnfield Hall,"Exeter Barnfield Hall - Mrs . Snowden , Sir Robert Newman ( chair ) .",,['Mrs. Snowden'],,"NOVEMBER 16 , 1911"
NOVEMBER 22,Worthing - Bedford Hall,Worthing - Bedford Hall - Dramatic Entertainment .,Dramatic Entertainment,,,"NOVEMBER 16 , 1911"
NOVEMBER 22,Rotherfield - Schoolroom,"Rotherfield - Schoolroom - Miss C. Corbett , the Hon . Mrs. Franklin ( chair . )",,['Miss C. Corbett'],,"NOVEMBER 16 , 1911"
NOVEMBER 22,"Nottingham - Offices, 54, Long Row","Nottingham - Offices , 54 , Long Row- "" The Education of the Woman "" -Miss Goldberg .",,['Miss Goldberg'],,"NOVEMBER 16 , 1911"
NOVEMBER 22,Wokingham - Town Hall,"Wokingham - Town Hall - Lady Willoughby de Broke , J. Cameron Grant , Esq . , Mrs. Robie Uniacke , Sir Donald Robertson ( chair ) .",,"['Lady Willoughby de Broke', 'J. Cameron Grant, Esq.', 'Mrs. Robie Uniacke']",,"NOVEMBER 16 , 1911"
NOVEMBER 22,Welwyn - St. Mary's Hall,"Welwyn St. Mary's Hall - Miss M. Norma - Smith , F. N. Sargeant , Esq . , M. Price , Esq .",,"['Miss M. Norma-Smith', 'F. N. Sargeant, Esq.', 'M. Price, Esq.']",,"NOVEMBER 16 , 1911"
NOVEMBER 22,New Mills - Wharmby's Restaurant,"New Mills - Wharmby's Restaurant Mrs. Müter Wilson , Miss Ker ( chair ) .",,['Mrs. Müter Wilson'],,"NOVEMBER 16 , 1911"
NOVEMBER 22,Northwich,"Northwich - Mrs . Pierce's Drawing - room Meeting - Miss M. Robertson , B.A. ",Mrs. Pierce's Drawing-room Meeting,"['Miss M. Robertson, B.A.']",,"NOVEMBER 16 , 1911"
NOVEMBER 23,Salford - Town Hall,"Salford - Town Hall - Rt . Hon . Lord Lytton , Miss M. Ashton , M.A. , G. G. Armstrong , Esq . , The Mayor of Salford ( chair ) .",,"['Rt. Hon. Lord Lytton', 'Miss M. Ashton, M.A.', 'G. G. Armstrong, Esq.']",,"NOVEMBER 16 , 1911"
NOVEMBER 23,Grantham - Westgate Hall,"Grantham Westgate Hall - Mrs . Fawcett , LL.D.",,"['Mrs. Fawcett, LL.D.']",,"NOVEMBER 16 , 1911"
NOVEMBER 23,Huddersfield - Parochial Hall,"Huddersfield - Parochial Hall- "" Report of International Conference , "" Mrs. Studdard , Miss Siddon ( chair ) .",,['Mrs. Studdard'],,"NOVEMBER 16 , 1911"
NOVEMBER 23,Plymouth - The Corn Exchange,"Plymouth The Corn Exchange - Mrs . Philip Snowden , Sir John Cockburn .",,"['Mrs. Philip Snowden', 'Sir John Cockburn']",,"NOVEMBER 16 , 1911"
NOVEMBER 23,"Birmingham - 10, Easy Row","Birmingham - 10 , Easy Row - Sale of Christmas Gifts and Literature .",Sale of Christmas Gifts and Literature,,,"NOVEMBER 16 , 1911"
NOVEMBER 23,Norwich - Thatched Assembly Rooms,"Norwich Thatched Assembly Rooms - Committee "" At Home "" - Theatricals .","Committee ""At Home"" - Theatricals",,,"NOVEMBER 16 , 1911"
NOVEMBER 23,Bridlington - Oberon Café,Bridlington - Oberon Café - Whist Drive .,Whist Drive,,,"NOVEMBER 16 , 1911"
NOVEMBER 24,Bristol - Fine Arts Academy,"Bristol - Fine Arts Academy - Grand Forest of Christmas Trees- Side Shows , etc.","Grand Forest of Christmas Trees- Side Shows, etc.",,,"NOVEMBER 16 , 1911"
NOVEMBER 24,Nottingham - Circus Street Hall,"Nottingham - Circus Street Hall - Hostesses , Mrs. Hoskyns , Lady Maud Rolleston , Mrs. Fawcett",,,"['Mrs. Hoskyns', 'Lady Maud Rolleston', 'Mrs. Fawcett']","NOVEMBER 16 , 1911"
NOVEMBER 24,Gateshead - Co-operative Hall,Gateshead - Co - operative Hall - Councillor Margaret Ashton .,,['Councillor Margaret Ashton'],,"NOVEMBER 16 , 1911"
NOVEMBER 24,Southport - Rountrees Café,"Southport Rountrees Café - Cecil Chapman , Esq .",,"['Cecil Chapman, Esq.']",,"NOVEMBER 16 , 1911"
NOVEMBER 24,Falmouth - Drill Hall,Falmouth - Drill Hall - Mrs . Philip Snowden .,,['Mrs. Philip Snowden'],,"NOVEMBER 16 , 1911"
NOVEMBER 24,Barnsley - Arcade Hall,"Barnsley - Arcade Hall - Actresses ' Franchise League Performance , ard Speech by Miss I. O. Ford .",,['Miss I. O. Ford'],,"NOVEMBER 16 , 1911"
