Date,Location,Raw,Speakers,Description,Issue date
October 1,"Birmingham, Barton Arms, Aston","Birmingham , Barton Arms , Aston",[],,"October 1 , 1909"
October 1,"Edinburgh, Drawing Room Meeting, 29, George Square","Edinburgh , Drawing Room Meeting , 29 , George Square",[],,"October 1 , 1909"
October 1,"Edinburgh, Leopold Place","Edinburgh , Leopold Place",[],,"October 1 , 1909"
October 1,"Edinburgh, The Mound","Edinburgh , The Mound",[],,"October 1 , 1909"
October 1,"Edinburgh, Stockbridge","Edinburgh , Stockbridge",[],,"October 1 , 1909"
October 1,Leith,Leith,[],,"October 1 , 1909"
October 1,"Liverpool, Crawford's Factory, Burns Road","Liverpool , Crawford's Factory , Burns Road",[],,"October 1 , 1909"
October 1,"Liverpool, Islington Square","Liverpool , Islington Square",[],,"October 1 , 1909"
October 1,"London-Brixton, White Horse, Angel Road","London- Brixton , White Horse , Angel Road",[],,"October 1 , 1909"
October 1,"London-Criterion Rooms, W., Actresses' Franchise League","Criterion Rooms , W. , Actresses ' Franchise League",[],,"October 1 , 1909"
October 1,"London-Hammersmith, The Grove","Hammersmith , The Grove",[],,"October 1 , 1909"
October 1,"London-Hither Green, Debate, Torridon Rd.","Hither Green , Debate , Torridon Rd",[],,"October 1 , 1909"
October 1,"London-Lewisham, Market Place","Lewisham , Market Place",[],,"October 1 , 1909"
October 1,"London-Shepherd's Bush, Bamboro' Gdns.","Shepherd's Bush , Bamboro ' Gdns",[],,"October 1 , 1909"
October 1,"Manchester, White City Campaign, At Home, Onward Bldgs., Deansgate","Manchester , White City Campaign , At Home , Onward Bldgs . , Deansgate",[],,"October 1 , 1909"
October 1,Portobello,Portob lo,,,"October 1 , 1909"
October 2,"Glasgow, Charing Cross Hall","Glasgow , Charing Cross Hall",[],,"October 1 , 1909"
October 2,"Liverpool, The Dingle","Liverpool , The Dingle",[],,"October 1 , 1909"
October 2,"Liverpool, St. George's Plateau",Liverpool St. George's Plateau,[],,"October 1 , 1909"
October 2,"London-Chiswick, Fire Station","London- Chiswick , Fire Station",[],,"October 1 , 1909"
October 2,"London-Crouch End, Archway Tavern","Crouch End , Archway Tavern",[],,"October 1 , 1909"
October 2,"London-15, Half Moon Street, W., Drawing-room Meeting","15 , Half Moon Street , W. , Drawing- room Meeting",[],,"October 1 , 1909"
October 2,"London-Putney, Montserrat Rond","Putney , Montserrat Rond",[],,"October 1 , 1909"
