Date,Location,Raw,Issue date
DECEMBER 14,Jarrow - Mechanics ' Hall,"Jarrow - Mechanics ' Hall - Miss C. M. Gordon , Mrs Biltcliffe , Mrs. Black .","DECEMBER 14 , 1911"
DECEMBER 14,Hull,"Hull - Temperance Hall , Beverley - Mrs . Corbett .","DECEMBER 14 , 1911"
DECEMBER 14,Plymouth,Plymouth - Chambers - Christmas Bazaar .,"DECEMBER 14 , 1911"
DECEMBER 14,Keswick - Battersby Lecture Hall,"Keswick - Battersby Lecture Hall - Mrs . Bromley , Miss Sidney Knight , Mrs. Frank Marshall ( chair ) .","DECEMBER 14 , 1911"
DECEMBER 14,Letchworth Howard Hall,"Letchworth Howard Hall - At the Literary and and Debating Society , "" The Vote Women's Wages "" -Miss I. O. Ford .","DECEMBER 14 , 1911"
DECEMBER 14,Littlehampton,"Littlehampton - Miss K. Hobart's Drawing - room Meeting Miss O'Shea , Miss Urlin ( chair ) .","DECEMBER 14 , 1911"
DECEMBER 14,Great Missenden,Great Missenden - Miss Courtauld's Drawing - room meeting Mrs. Rackham .,"DECEMBER 14 , 1911"
DECEMBER 14,King's Lynn,"King's Lynn Assembly Rooms , Town Hall "" At Home "" -Mrs . Heitland , Miss Eva Ward , Rev. A. W. Hayes ( chair ) .","DECEMBER 14 , 1911"
DECEMBER 14,Mount,Mount Mrs. Underwood's Drawing- room meeting - Mrs . Eric Carter .,"DECEMBER 14 , 1911"
DECEMBER 14,Croydon,Croydon Mrs. H. Hayward's and Mrs. Shannon's Drawing - room meeting - Mrs . Duncan Harris .,"DECEMBER 14 , 1911"
DECEMBER 14,Olton,Olton - Oak,"DECEMBER 14 , 1911"
DECEMBER 15,"Woking - Central Assembly Hall , Chertsey Road","Woking - Central Assembly Hall , Chertsey Road- The Committee "" At Home "" -Miss C. D. Corbett , Prof. E. J. Urwick .","DECEMBER 14 , 1911"
DECEMBER 15,Newcastle - on - Tyne,"Newcastle - on - Tyne Lovaine Hall - Teachers ' "" At Home "" "" Alice in Ganderland "" - speaker , Dr. Ethel Williams .","DECEMBER 14 , 1911"
DECEMBER 15,Scarborough - Liberal Club,Scarborough - Liberal Club - Mrs . C. H Corbett .,"DECEMBER 14 , 1911"
DECEMBER 15,"Bournemouth - Princes Hall , Grand Hotel","Bournemouth - Princes Hall , Grand Hotel - Miss Abadam , Rev. H P. James ( chair ) .","DECEMBER 14 , 1911"
DECEMBER 15,Worthing - Blackman's Hotel,"Worthing - Blackman's Hotel- "" Children's Care Com- mittees ' - MTS . Handel Booth , Mrs. Henry Wright ( chair ) .","DECEMBER 14 , 1911"
DECEMBER 15,Hitchin - Workman's Hall,"Hitchin - Workman's Hall- "" Women's UnequalWages and Sweating "" -Miss I. O. Ford , Mrs. Wathen ( chair ) .","DECEMBER 14 , 1911"
DECEMBER 15,Bramhall - Council Room Board School Buildings,Bramhall - Council Room Board School Buildings- Miss Robertson .,"DECEMBER 14 , 1911"
DECEMBER 15,Swaffham - Vicarage Room,"Swaffham - Vicarage Room - Mr . W. T. Mirrlees , Miss Eva Ward , The Vicar ( chair ) .","DECEMBER 14 , 1911"
DECEMBER 16,"Newcastle - on - Tyne 27 , Ridley Place","Newcastle - on - Tyne 27 , Ridley Place "" Our hopes for 1912 "" -Miss C. M. Gordon .","DECEMBER 14 , 1911"
