Date,Location,Raw,Speakers,Issue date
OCTOBER 10,Westminster Palace Hotel,"Westminster Palace Hotel - London Society's Reception - Chair , Mrs. Oliver Strachey- Speakers , Miss K. D. Courtney , Miss Mary Lowndes","['Mrs. Oliver Strachey', 'Miss K. D. Courtney', 'Miss Mary Lowndes']","OCTOBER 10 , 1913"
OCTOBER 10,Barnet - The Town Hall,"Barnet - The Town Hall - Debate : "" Should Women Have the Parliamentary Vote ? "" - Pro , Mrs. Baker - Anti , Miss Pott - Chair , The Rev. William Manning","['Mrs. Baker', 'Miss Pott']","OCTOBER 10 , 1913"
OCTOBER 10,Deptford - Corner of Pepys Road and Newport Road,"Deptford - Corner of Pepys Road and Newport Road - Speakers , Miss M. Goddard , Miss Montgomery , Miss J. Dayne , and others","['Miss M. Goddard', 'Miss Montgomery', 'Miss J. Dayne']","OCTOBER 10 , 1913"
OCTOBER 10,"North Paddington - Open - air - Top of Elgin Avenue , opposite Prince of Wales","North Paddington - Open - air - Top of Elgin Avenue , opposite Prince of Wales - Chair , Miss Ellen Walshe - Speakers , Miss Agnes Dawson , Miss Ashton Jones , Miss Borsand . lagh","['Miss Ellen Walshe', 'Miss Agnes Dawson', 'Miss Ashton Jones', 'Miss Borsand.lagh']","OCTOBER 10 , 1913"
OCTOBER 11,"Hurlingham - Drawing - room Meeting - 4 , Rane- Hurlingham","Hurlingham - Drawing - room Meeting - 4 , Rane- Hurlingham - Hostess , Gardens , Gammon - Chair , Mrs. Layton - Speakers , Mrs. Savory , Mr. Malcolm Mitchell","['Mrs. Layton', 'Mrs. Savory', 'Mr. Malcolm Mitchell']","OCTOBER 10 , 1913"
OCTOBER 13,West Southwark - Nelson Square and Black- friars Road - Open - air Meeting,"West Southwark - Nelson Square and Black- friars Road - Open - air Meeting - Speakers , Miss V. Cumming , Miss Bagenal , Miss Green","['Miss V. Cumming', 'Miss Bagenal', 'Miss Green']","OCTOBER 10 , 1913"
OCTOBER 14,"Chingford Women's Liberal Association Meeting at Spicer Hall , Buxton Road","Chingford Women's Liberal Association Meeting at Spicer Hall , Buxton Road - Speaker , Miss E. F. Mackenzie",['Miss E. F. Mackenzie'],"OCTOBER 10 , 1913"
OCTOBER 15,Walworth - Corner of Liverpool Street and Walworth Road - Open - air Meeting,"Walworth - Corner of Liverpool Street and Walworth Road - Open - air Meeting - Speakers , Mrs. Savory , Mr. David W. Caddick","['Mrs. Savory', 'Mr. David W. Caddick']","OCTOBER 10 , 1913"
OCTOBER 16,"North Lambeth - Drawing - room Meeting - 14 , Tenison Street","North Lambeth - Drawing - room Meeting - 14 , Tenison Street - Hostess , Miss Mellish - Speaker , Mrs. Garrett Jones",['Mrs. Garrett Jones'],"OCTOBER 10 , 1913"
OCTOBER 16,Greenwich - Open - air Meeting - Corner of Van- brugh Hill and Trafalgar Road,"Greenwich - Open - air Meeting - Corner of Van- brugh Hill and Trafalgar Road - Speakers , Miss E. Walshe , Miss M. Goddard , Mr. F. N. Sargeant","['Miss E. Walshe', 'Miss M. Goddard', 'Mr. F. N. Sargeant']","OCTOBER 10 , 1913"
OCTOBER 16,Whitechapel - Toynbee Hall- Debate,"Whitechapel - Toynbee Hall- Debate Speaker , Mrs. Corbett Ashby",['Mrs. Corbett Ashby'],"OCTOBER 10 , 1913"
OCTOBER 16,"Walthamstow - Pioneer Insti- tute , 182 , Hoe Street , Walthamstow","Walthamstow - Meeting at the Pioneer Insti- tute , 182 , Hoe Street , Walthamstow - Speaker , Mrs. Homan",['Mrs. Homan'],"OCTOBER 10 , 1913"
OCTOBER 16,"Finsbury - Claremont Hall , Pentonville - Meeting of the Women's Adult School","Finsbury Meeting of the Women's Adult School at Claremont Hall , Pentonville - Speaker , Miss C. Elkin",['Miss C. Elkin'],"OCTOBER 10 , 1913"
OCTOBER 17,"Paddington - Members ' Meeting - 232 , Portsdown Road , W.","Paddington - Members ' Meeting - Hostess , Mrs. Pratt 232 , Portsdown Road , W. - Speaker , Miss O'Malley","[""Miss O'Malley""]","OCTOBER 10 , 1913"
OCTOBER 10,Dunfermline - St . Margaret's Hall,Dunfermline - Mrs . Snowden - St . Margaret's Hall,['Mrs. Snowden'],"OCTOBER 10 , 1913"
OCTOBER 11,Alloa - Museum Hall,"Alloa - Mrs . Snowden - Chair , Dr. Harper- Museum Hall","['Mrs. Snowden', 'Dr. Harper']","OCTOBER 10 , 1913"
OCTOBER 13,Paisley - Town Hall,Paisley - Mrs . Snowden - Town Hall,['Mrs. Snowden'],"OCTOBER 10 , 1913"
OCTOBER 15,Hamilton - Town Hall,"Hamilton - Lady Frances Balfour , Dr. Elsie Inglis Town Hall","['Lady Frances Balfour', 'Dr. Elsie Inglis']","OCTOBER 10 , 1913"
OCTOBER 15,Kircaldy Burghs - Adam Seinble Hall,"Kircaldy Burghs - Adam Seinble Hall - Mrs . Philip Snowden will give an address on "" How Will Women Use the Vote ? "" - Chair , Rt . Hon . Sir Henry Dalziel , M.P.","['Mrs. Philip Snowden', 'Rt. Hon. Sir Henry Dalziel']","OCTOBER 10 , 1913"
OCTOBER 10,"Edinburgh - 40 , Shandwick Place","Edinburgh - 40 , Shandwick Place , At Home- -Speaker , Miss Alice Low",['Miss Alice Low'],"OCTOBER 10 , 1913"
OCTOBER 10,"Newtongrange - Women's Labour League , Social Meeting","Newtongrange - Women's Labour ( Social ) Meeting - Speaker , Miss League , Pressley- Smith","['Miss League', 'Pressley-Smith']","OCTOBER 10 , 1913"
OCTOBER 10,Leith - Labour Hall,"Leith Councillor Crawford's Meeting , Labour Hall - Speaker , Miss Pressley - Smith",['Miss Pressley-Smith'],"OCTOBER 10 , 1913"
OCTOBER 14,"Leith - Ebenezer Branch , B.W.T. Association","Leith - Suffrage and Temperance Meeting , Ebenezer Branch , B.W.T. Association",,"OCTOBER 10 , 1913"
OCTOBER 17,"Edinburgh - 40 , Shandwick Place","Edinburgh - 40 , Shandwick Place , At Home- Speaker , Dr. Alice Hutchison Subject , Women's Work in the Balkan War """,['Dr. Alice Hutchison'],"OCTOBER 10 , 1913"
OCTOBER 10,Bristol - Coliseum,Bristol - Stall at Coliseum - Mrs . Rashleigh and Miss Hallis,,"OCTOBER 10 , 1913"
OCTOBER 10,Hereford - Percival Hall,Hereford - Percival Hall - Miss Watson,,"OCTOBER 10 , 1913"
OCTOBER 10,"Horsham - 60 , West Street","Horsham - 60 , West Street - Mrs . Dempster",,"OCTOBER 10 , 1913"
