Date,Location,Raw,Description,Speakers,Time,Hosts,Issue date
"October 7, 1911",Kingsway to Holloway Prison,arrangements are being made by the W.S.P.U. for organising a great procession from Kingsway to Holloway Prison to take place to - morrow afternoon.,Great procession,,,,"October 6, 1911"
"October 9, 1911","London Pavilion, Piccadilly Circus","Our readers are reminded that the usual Monday afternoon meetings will be held for the future at the London Pavilion , The London Pavilion Piccadilly Circus, at 3 for 3.15 p.m. is a splendidly central meeting place , and it is therefore hoped that members will make the meetings widely known among their friends and acquaintances , especially those who have never been to a suffrage meeting before . The speakers next Monday afternoon , October 9 , will be Mrs. Pethick Lawrence , Miss Christabel Pankhurst , LL.B. , and Lady Constance Lytton.",,"['Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst', 'Lady Constance Lytton']",3:15 p.m.,,"October 6, 1911"
"October 10, 1911","Victoria Hotel, Nottingham","Miss Christabel Pankhurst will address meetings at Victoria Hotel , Nottingham , on Tuesday , October 10",,['Miss Christabel Pankhurst'],,,"October 6, 1911"
"October 12, 1911",Steinway Hall,"The usual weekly evening meeting will be held at the Steinway Hall , on Thursday , October 12 , at 8 p.m. , and will be addressed by Mrs. Pethick Lawrence and Mrs. Marshall . Kindly note that these meetings are held weekly , and admission is free .",,"['Mrs. Pethick Lawrence', 'Mrs. Marshall']",8 p.m.,,"October 6, 1911"
"October 12, 1911","Oak Hall, Princes Street, Edinburgh","Miss Vida Goldstein will speak at the Oak Hall , Princes Street , Edinburgh , on Thursday , October 12 , at 3.15 p.m.",,['Miss Vida Goldstein'],3.15 p.m.,,"October 6, 1911"
"October 12, 1911",Haddington,"Miss Vida Goldstein will speak [...] in the Assembly Rooms , Haddington , on the same evening at 8 p.m.",,['Miss Vida Goldstein'],8 p.m.,,"October 6, 1911"
"October 13, 1911","Charing Cross Hall, Glasgow","Miss Vida Goldstein will speak at Charing Cross Hall , Glasgow , on Friday , October 13 , at 3.15 p.m.",,['Miss Vida Goldstein'],3.15 p.m.,,"October 6, 1911"
"October 13, 1911","Oddfellows' Hall, Kilmarnock","Miss Vida Goldstein will speak at the Oddfellows ' Hall , Kilmarnock , on the same evening at 8 p.m.",,['Miss Vida Goldstein'],8 p.m.,,"October 6, 1911"
"October 16, 1911",Winchmore Hill,"Miss Christabel Pankhurst will address meetings [...] at Winch- more Hill , on Monday , October 16 , at 8 p.m.",,['Miss Christabel Pankhurst'],8 p.m.,,"October 6, 1911"
"October 16, 1911",Leicester,Lord Lytton has also an extensive programme of meetings arranged for the autumn . Those for this month include a meeting [...] at Leicester on October 16,,['Lord Lytton'],,,"October 6, 1911"
