Date,Location,Raw,Speakers,Description,Hosts,Issue date
"Friday , March 27","Chiswick , Duke Road","Chiswick , Duke Road . Miss Gilliatt",['Miss Gilliatt'],,,"March 27 , 1914"
"Friday , March 27","Kentish Town , Modbury Street","Kentish Town , Modbury Street . Miss Marie Naylor",['Miss Marie Naylor'],,,"March 27 , 1914"
"Friday , March 27","Lincoln's Inn House , Kingsway","Lincoln's Inn House , Kingsway . Speakers ' Class . Miss Rosa Leo",['Miss Rosa Leo'],Speakers ' Class,,"March 27 , 1914"
"Friday , March 27","North Kensington , Lancaster Baths , Lancaster Road","North Kensington , Lancaster Baths , Lancaster Road . Miss Ennis Chair : Miss Chave",['Miss Ennis'],,,"March 27 , 1914"
"Friday , March 27",Sloane Square,Sloane Square Mr. Theresa Gough,['Mr. Theresa Gough'],,,"March 27 , 1914"
"Friday , March 27","Walthamstow , Tower Corner , Hoe Street","Walthamstow , Tower Corner , Hoe Street . Miss Taylor . Chair : Mrs. Gladman",['Miss Taylor'],,,"March 27 , 1914"
"Friday , March 27","West Ham . The Grove , Stratford","West Ham . The Grove , Stratford . Miss Harbott , Miss Hooper","['Miss Harbott', 'Miss Hooper']",,,"March 27 , 1914"
"Friday , March 27",Willesden Green Library,"Willesden Green Library . Miss Short , Miss Kidman-","['Miss Short', 'Miss Kidman']",,,"March 27 , 1914"
"Friday , March 27","Battersea , Strath Terrace","Battersea , Strath Terrace .",[],,,"March 27 , 1914"
"Saturday , March 23",Chelsea,Chelsea . Miss Rose Barry,['Miss Rose Barry'],,,"March 27 , 1914"
"Saturday , March 23","Ilford , East Ham , Myrtle Road","Ilford , East Ham , Myrtle Road",[],,,"March 27 , 1914"
"Saturday , March 23","Kingston , Church Street","Kingston , Church Street",[],,,"March 27 , 1914"
"Saturday , March 23","Lewisham , Whitburn Road","Lewisham , Whitburn Road . Miss Richmond",['Miss Richmond'],,,"March 27 , 1914"
"Saturday , March 23",Tooting Broadway,"Tooting Broadway . Mrs. Thoinson , Chair : Miss Greer",['Mrs. Thoinson'],,,"March 27 , 1914"
"Saturday , March 23","West Ham , Forest Gate Station","West Ham , Forest Gate Station . Miss Rickard , Miss Watts","['Miss Rickard', 'Miss Watts']",,,"March 27 , 1914"
"Saturday , March 23","South Wimbledon , Broadway","South Wimbledon , Broadway . Miss Margaret Wright",['Miss Margaret Wright'],,,"March 27 , 1914"
"Saturday , March 23","Wimbledon , 9 , Victoria Crescent","Wimbledon , 9 , Victoria Crescent",[],,,"March 27 , 1914"
March 29,"Hampstead Heath , Flagstaff","Hampstead Heath , Flagstaff . Miss Margaret Wright",['Miss Margaret Wright'],,,"March 27 , 1914"
March 29,"Lewisham , Market Place","Lewisham , Market Place . Mr. Bostock",['Mr. Bostock'],,,"March 27 , 1914"
March 29,Wimbledon Common,Wimbledon Common . Miss M. Rogers,['Miss M. Rogers'],,,"March 27 , 1914"
March 29,"Chelsea , 308 , King's Road","Chelsea , 308 , King's Road . Miss Downing",['Miss Downing'],,,"March 27 , 1914"
"Monday , March 30","Croydon , Small Public Hall","Croydon , Small Public Hall . Dr. Frank Moxon",['Dr. Frank Moxon'],,,"March 27 , 1914"
"Monday , March 30","Ilford , Broadway Chambers","Ilford , Broadway Chambers . Mrs. Lawson Beldon . Miss E. Swan","['Mrs. Lawson Beldon', 'Miss E. Swan']",,,"March 27 , 1914"
"Monday , March 30","Kentish Town , 41. Malden Road","Kentish Town , 41. Malden Road . Women's Meeting",,Women's Meeting,,"March 27 , 1914"
"Monday , March 30","Knightsbridge Hall , W.","Knightsbridge Hall , W. Miss Marie Naylor . Chair : Mrs. Dacre Fox",['Miss Marie Naylor'],,,"March 27 , 1914"
"Monday , March 30","Streatham , Blue Hall , Streatham Hall","Streatham , Blue Hall , Streatham Hall . Miss Barbara Wylie . Chair : Miss Leonora Tyson",['Miss Barbara Wylie'],,,"March 27 , 1914"
"Monday , March 30","Wimbledon , 5 , Elm Grove","Wimbledon , 5 , Elm Grove . Miss Emma Wylie",['Miss Emma Wylie'],,,"March 27 , 1914"
"Tuesday , March 31",Battersea Square,Battersea Square . Miss W. Duval,['Miss W. Duval'],,,"March 27 , 1914"
"Tuesday , March 31","Hampstead , 178 , Finchley Road","Hampstead , 178 , Finchley Road . Speakers Class",,Speakers Class,,"March 27 , 1914"
"Tuesday , March 31","Kilburn , Messina Avenue","Kilburn , Messina Avenue . Mr. H. J. Verden",['Mr. H. J. Verden'],,,"March 27 , 1914"
"Tuesday , March 31",Purley Tram Terminus,Purley Tram Terminus . Miss I. Green,['Miss I. Green'],,,"March 27 , 1914"
"Wednesday , April 1","Chelsen , World's End","Chelsen , World's End . Miss Gilliatt",['Miss Gilliatt'],,,"March 27 , 1914"
"Wednesday , April 1","Battersea , Latchmere Baths","Battersea , Latchmere Baths . Mrs. Cameron Swan",['Mrs. Cameron Swan'],,,"March 27 , 1914"
"Thursday , April 2","Bayswater , Elysee Galleries , Queen's Road","Bayswater , Elysee Galleries , Queen's Road . Dr. Frank Maxon , M. B. , B.S. , Miss Barbara Wylie . Chair : Miss Oive Bartels","['Dr. Frank Maxon', 'Miss Barbara Wylie']",,,"March 27 , 1914"
"Thursday , April 2","Clapham , Oriental Café , The Pavement","Clapham , Oriental Café , The Pavement . Women's Meeting . Miss I. Green",['Miss I. Green'],Women's Meeting,,"March 27 , 1914"
"Thursday , April 2","Crouch End , Assembly Rooms , Middle Lane","Crouch End , Assembly Rooms , Middle Lane . Mrs. Beatty and others . Chair : Miss Bonwick , B.A.",['Mrs. Beatty'],,,"March 27 , 1914"
"Thursday , April 2","Kensington , Royal Palace Hotel","Kensington , Royal Palace Hotel . Miss H. Newcomb , Mrs. Gough","['Miss H. Newcomb', 'Mrs. Gough']",,,"March 27 , 1914"
"Thursday , April 2","Kilburn , 310. High Road","Kilburn , 310. High Road . Miss Delia Wilkin",['Miss Delia Wilkin'],,,"March 27 , 1914"
"Thursday , April 2","West Ham , Workmen's Hall","West Ham , Workmen's Hall . Women only . Miss Friedlaender , Miss Gullick","['Miss Friedlaender', 'Miss Gullick']",Women only,,"March 27 , 1914"
