Date,Location,Raw,Speakers,Hosts,Issue date
January 16,Bow,"Bow , Ford Road . Dr. McPherson 8 p.m.",['Dr. McPherson'],,"January 16 , 1914"
January 16,Chelsen,"Chelsen , 308 , King's Road . Speakers ' Class . Miss Ada Moore ... 6 p.m.",['Miss Ada Moore'],,"January 16 , 1914"
January 16,Chiswick,"Chiswick , Duke Road . Mrs. Brindley ... 7 p.m.",['Mrs. Brindley'],,"January 16 , 1914"
January 16,Walthamstow,"Walthamstow , Tower Corner , Hoe Street . Mrs. Bouvier . Chair : Mrs. Gladman",['Mrs. Bouvier'],,"January 16 , 1914"
January 16,Clapham,"Clapham , Gild Hall , 610 , Wandsworth Road , Lavender Hill . Annual Meeting . Mrs. Dove Wilcox , Miss Dorice Smith ... 8 p.m.","['Mrs. Dove Wilcox', 'Miss Dorice Smith']",,"January 16 , 1914"
January 16,Kentish Town,"Kentish Town , Modbury Street . Miss Glidewell , Mrs. Eugenie Freeman ... 8 p.m.","['Miss Glidewell', 'Mrs. Eugenie Freeman']",,"January 16 , 1914"
January 16,North Kensington,"North Kensington , Blenheim Crescent and Portobello Road . Miss Coombs . Chair : Mrs. Thomson",['Miss Coombs'],,"January 16 , 1914"
January 16,Poplar,"Poplar , 319 , East India Dock Road . Miss Haarbleicher ... 8 p.m.",['Miss Haarbleicher'],,"January 16 , 1914"
January 16,Sloane Square,Sloane Square . Miss Naylor . Chair : Miss F. Haig,['Miss Naylor'],,"January 16 , 1914"
January 16,West Ham,"West Ham , The Grove , Stratford . Miss Haughton , Miss Brice ... 12.30 p.m.","['Miss Haughton', 'Miss Brice']",,"January 16 , 1914"
January 16,Westminster,"Westminster , Greycoat Place . Mrs. Smithwick , Miss Cumberland","['Mrs. Smithwick', 'Miss Cumberland']",,"January 16 , 1914"
January 17,Ilford,"Ilford , Manor Park , Earl of Essex . Miss Rose Barry",['Miss Rose Barry'],,"January 16 , 1914"
January 17,Kilburn,"Kilburn , Messina Avenue . Miss A. Jacobs , Miss P. Verden","['Miss A. Jacobs', 'Miss P. Verden']",,"January 16 , 1914"
January 17,Kingston,"Kingston , Church Street . Mrs. Bouvier 12 noon",['Mrs. Bouvier'],,"January 16 , 1914"
January 17,South Wimbledon,"South Wimbledon , Broadway , Dr. McPherson 6 p.m.",['Dr. McPherson'],,"January 16 , 1914"
January 17,Tooting,"Tooting , Broadway . Miss Elsa Myers ... 8 p.m.",['Miss Elsa Myers'],,"January 16 , 1914"
January 18,Hampstead Heath,"Hampstead Heath , Flagstaff . Miss Nancy Lightman 11.30 a.m.",['Miss Nancy Lightman'],,"January 16 , 1914"
January 18,Lewisham,"Lewisham , Market Place . Mrs. Bouvier 6.30 p.m.",['Mrs. Bouvier'],,"January 16 , 1914"
January 18,Poplar,"Poplar , East India Dock Gates . Miss Palmer : 6.30 p.m.",['Miss Palmer'],,"January 16 , 1914"
January 18,Wimbledon Common,Wimbledon Common . Miss Marie Naylor 12 noon,['Miss Marie Naylor'],,"January 16 , 1914"
January 19,Bow,"Bow , Obelisk , Devons Road . Mrs. Bouvier .... 8 p.m.",['Mrs. Bouvier'],,"January 16 , 1914"
January 19,Chelsea,"Chelsea , 308 , King's Road . Women's Meeting . Miss B. Edwards",['Miss B. Edwards'],,"January 16 , 1914"
January 19,Kentish Town,"Kentish Town , 44 , Malden Road . Women's Meeting . Mrs. Penn Gaskell 8.15 p.m.",['Mrs. Penn Gaskell'],,"January 16 , 1914"
January 19,Kilburn,"Kilburn , Victoria Road . Miss Jacobs , Miss Pepper 8 p.m.","['Miss Jacobs', 'Miss Pepper']",,"January 16 , 1914"
January 19,Knightsbridge Hall,"Knightsbridge Hall , W. Mr. H. Baillie Weaver , Miss Dorothy Gordon . Chair : Mrs. Dacre Fox 3.15 p.m.","['Mr. H. Baillie Weaver', 'Miss Dorothy Gordon']",,"January 16 , 1914"
January 19,Streatham Town Hall,"Streatham Town Hall , Blue Hall . Miss Gwen Richard 8.15 p.m.",['Miss Gwen Richard'],,"January 16 , 1914"
January 20,Bow,"Bow , Out and Out Mission Hall , Tredegar Road . Mrs. Tyson . 8 p.m.",['Mrs. Tyson'],,"January 16 , 1914"
January 20,Poplar,"Poplar , East India Dock Gates . Miss Benett 8 p.m.",['Miss Benett'],,"January 16 , 1914"
January 21,Bromley,"Bromley , Crisp Street and Morris Road",[],,"January 16 , 1914"
January 21,Chelsen,"Chelsen , World's End . Miss Joan Dugdale . Chair : Miss F. Haig 12.30 p.m.",['Miss Joan Dugdale'],,"January 16 , 1914"
January 21,Hampstead,"Hampstead , Prince Arthur Road Library . Mrs , Archibald Mackirdy , Mr. Cecil Chapman 8.30 p.m.","['Mrs , Archibald Mackirdy', 'Mr. Cecil Chapman']",,"January 16 , 1914"
January 21,Ilford,"Ilford , Barking , Old Town Hall . Miss Haslam 8 p.m.",['Miss Haslam'],,"January 16 , 1914"
January 21,Killun,"Killun , Messina Avenue . Miss Glidewell ... 8 p.m.",['Miss Glidewell'],,"January 16 , 1914"
January 21,Palmer's Green,"Palmer's Green , 6 , Stonard Road . Fireside Talks -",[],,"January 16 , 1914"
