Date,Location,Raw,Speakers,Description,Issue date
OCTOBER 24,London. Westminster Palace Hotel,"London . Westminster Palace Hotel - London Society's Reception - Chair , the Hon . Mrs. Spencer Graves - Speakers , Mrs. Henry Fawcett , LL.D. , Miss M. Lowndes","['Mrs. Henry Fawcett', 'Miss M. Lowndes', 'Mrs. Oliver Strachey', 'Mrs. H. J. Baker', 'Mrs. Hadrill and friends', 'Mrs. Garnett', 'Mrs. Bouman', 'Mrs. Oliver Strachey', 'Miss Fielden', 'Mrs. Richardson', 'Miss Helen Ward', 'Mrs. Rackham', 'Mrs. Stanbury', 'Mrs. Gimingham', 'Miss H. Ward', 'Mrs. Swanwick', 'Mrs. Nevinson', 'Mrs. Despard', 'Mrs. Hyde', 'Mrs. Heitland', 'Dr. Florence Willey', 'R. F. Cholmeley', 'Miss Rosamond Smith', 'Mrs. Berney', 'Mrs. Swanwick', 'Councillor Egerton Wake', 'Mr. Wake', 'Miss Pressley Smith', 'Mrs. Townley', 'Mr. R. C. Wallhead', 'Mr. Fenner Brockway', 'Mrs. Cooper', 'Mrs. Aldersley', 'Mr. Dennis Hird', 'Councillor Ayles', 'Miss Hilston', 'Mrs. Aldersley', 'Ada Nield Chew', 'Miss Mackenzie', 'Miss Buchanan', 'Miss Grayson', 'Mrs. Gidley', 'Mrs. Lees', 'Dr. Archibald Fleming', 'Mrs. Bramwell Booth', 'Commisioner Cox', 'Miss Lena Ashwell', 'Miss Evelyn Sharp', 'Miss May Whitty', 'Mrs. Robie Uniacke', 'Miss W. Hamilton', 'Miss Violet Eustace', 'Mr. G. Startup', 'Mrs. Bertrand Russell', 'Mrs. Master Smith', 'Mr. W. Duke', 'Mrs. Dixon Davies', 'Mr. Startup', 'Miss Sands', 'Miss Louisa Turquand', 'Mrs. Cowmeadow', 'Mrs. Livingstone', 'Miss H. C. Jones', 'Miss L. Turquand', 'Miss E. M. Sutton', 'Miss Margaret Jones', 'Miss Hilda Jones', 'Mrs. Cowmeadow', 'Mr. A. Broadley', 'Miss H. Jones', 'Miss Evans', 'Miss Ashcroft', 'Miss V. Eustace', 'Mrs. Robie Uniacke', 'Miss Shaen', 'Mrs. Auerbach', 'Mrs. Swanwick', 'Mrs. Greatbatch', 'Miss Wilme Meikle', 'Mrs. Dowson', 'Mrs. Manners', 'Mr. Gugenheim', 'Lord Robert Cecil', 'Miss Maude Royden', 'Rev. H. H. Malleson', 'Mrs. Lockwood', 'Miss Siddon', 'Mrs. Studdard', 'Mrs. Renton', 'Miss Muriel Matters', 'Mrs. Grattan Newboult', 'Lady Betty Balfour', 'Miss I. O. Ford', 'Ernest H. Foster', 'Mrs. Lomax', 'Dr. Rabagliati', 'Miss Emerson', 'William Archer', 'Miss C. Wilkinson', 'Mr. Elcock', 'Mrs. Robinson', 'Mrs. Rackham', 'Mrs. Humphry Ward', 'Miss Lyle Brown', 'Dr. Ethel Williams', 'Miss Bessie Davies Campbell', 'Mr. Hayllar', 'Miss Geraldine Cooke', 'Mrs. Gladstone Salomon', 'Mrs. Tupman', 'The Ranee of Sarawak', 'Mrs. Warren', 'Mr. Lyon', 'Miss A. S. Verrall', 'Mrs. Ashton', 'Dr. Mabel Ramsay', 'Miss Alice Low', 'Rev. L. Donaldson', 'Canon Höernlea', 'Miss Lisa M. Gordon', 'Miss Pressley-Smith', 'Miss Low', 'Miss Foggs', 'Miss Pressley-Smith', 'Miss Matters', 'Miss Lucy Shakspeare', 'Sir Arthur Haworth', 'G. Armstrong', 'Mr. Corbett Ashby', 'Mr. Laurence Housman', 'Miss F. O. Philp', 'D. M. Mason', 'Mrs. Henry Fawcett', 'Miss Helen Fraser', 'Sidney Gilford', 'Professor Jevons', 'E. Frost', 'Miss Clough', 'Professor Geldart', 'Miss Susan Lawrence', 'Miss Lucas', 'Miss Jessie Beavan', 'Miss St. John', 'E. J. Price', 'Mrs. J. Watson', 'Miss Ellen C. Wilkinson', 'Jane Redford', 'Mrs. Hiller', 'Principal Smith', 'Mr. F. E. Marshall', 'Mrs. Whalley', 'Miss Ramsbotham', 'Lieutenant Sofocles Pantcheff', 'Miss Geraldine Cooke', 'Councillor Jane Redford', 'Mrs. Hiller', 'Miss Clough', 'Mrs. Haile', 'Miss St. John', 'Mr. Barry Parker', 'Mrs. Rackham', 'Mrs. A Villiers', 'Miss Geraldine Cooke', 'Mrs. Ziegler', 'Lady Rochdale', 'Miss Abadam', 'Mrs. Ring', 'Mrs. Vane Rinder', 'Turner', 'Mrs. Rackham', 'Mrs. Rawlings', 'Mrs. Stanbury', 'Mrs. Rackham', 'Mrs. Gladstone Solomon', 'Mr. Laurence Housman', 'Miss Griffith Jones', 'Miss I. O. Ford', 'J. Maddocks', 'Mrs. Renton', 'Mrs. Cowmeadow', 'Miss Gill', 'Mrs. Pethick Lawrence', 'Dr. Lang', 'Mrs. Fawcett', 'M. P. Stanbury', 'Miss A. Maude Royden', 'Lady Yoxall', 'Duchess of Marlborough', 'Mrs. Murray', 'Miss Ruth Rouse', 'Olga Lenz', 'Mlle . Selma Riza', 'Madame Catherine Milovouk', 'Sir Henry Wood', 'Lady Wood', 'Lady Speyer', 'Sir Charles Stanford', 'Miss Jessie Grimson', 'Miss Elsie Dudding', 'Miss Dora Garland', 'Miss Jessie Stewart', 'Miss Sybil Maturin', 'Miss Rebecca Clarke', 'Mr. Edward Mason', 'Mr. Maurice Sons', 'Mr. Inwards', 'Señor Arbos', 'Hausmann', 'Ysaye', 'Miss Elsie Wild', 'Elspeth Spencer', 'Miss P. Strachey', 'Mrs. Nevinson', 'Mrs. Despard', 'Mrs. Hyde', 'Fanny Johnson', 'Katherine C. Boswell', 'F. T. Swanwick', 'Florence de Fonblanque', 'Emily Rigby', 'Dr. Helen Webb', 'Miss Irwin', 'Mrs. Aldersley', 'Miss Pressley Smith', 'Mr. Winstone', 'Messrs. W. L. Cook', 'T. Langley', 'Isaac Carter', 'Palmer', 'G. Barker', 'Arthur Jenkins', 'Councillor B. Williams', 'Mrs. K. Harvey', 'Mildred Ransom', 'W. G. Smith', 'Miss L. B. Evetts', 'Miss F. H. Garlick', 'L. Lind-af-Hageby', 'Ellie Schleusser', 'Miss Lind-af-Hageby', 'Mrs. Cavendish-Bentinck', 'Miss Susan Lawrence', 'Mrs. Chew', 'Lady Aberconway', 'Lady Maud Parry', 'Mrs. Havelock Ellis', 'Mrs. Leo Strachey', 'Mrs. Pember Reeves', 'Dr. Constance Long', 'Maharanee of Sarawak', 'Lady Selborne', 'Lady Betty Balfour', 'Lady Wedderburn', 'Lady Scott-Moncrieff', 'Lady Guise', 'Mrs. Cecil Chapman', 'Lady Johnston', 'Dr. Margaret Alden', 'Lady Meyer', 'Mrs. Franklin', 'Mrs. S. A. Barnett', 'Lady Apperly', 'Mrs. Alys Russell', 'Rev. Canon Rushby-Smith', 'Miss Abadam', 'Miss Irene Cox', 'McGregor', 'Miss M. B. Buchanan', 'M. Jaques Copean', 'D. J. Simon', 'Sir Rufus Isaacs', 'Captain Leslie Wilson', 'Mr. G. P. Gooch', 'Mr. Stanger', 'Mr. Howard', 'Mr. J. G. Butler', 'Lord Lascelles', 'Mr. Buckmaster', 'Mr. Kidd', 'Bailie Pratt', 'Mr. Alexander Ure', 'Miss Emily Foggo', 'Miss Craigie', 'Miss Pressley-Smith', 'Miss Westwood', 'Miss Rachel Jeffrey', 'Miss Lisa Gordon', 'Dr. Elsie Inglis', 'Miss Muriel Matters', 'Miss Alice Low', 'Miss Hilda Jones', 'Miss Dora Mason', 'Mrs. Renton', 'Mrs. Beardon', 'Miss Jane Hay', 'Dr. Elsie Inglis', 'The Lady Margaret Sackville', 'Professor Sampson', 'Mr. Lyon Blease', 'Mr. Herbert Jacobs', 'Mrs. Percy Dearmer', 'Miss Edith Craig', 'Mr. Norreys Connell', 'Miss Mary Jerrold', 'Mr. Ben Webster', 'Mr. Harcourt Williams', 'Mr. Rudge Harding', 'Messrs. Stanley Turnbull', 'Hubert Harben', 'Moffat Johnston', 'Mesdames Rosemary Craig', 'Mildred Surrey', 'Mrs. Hume', 'Mr. and Mrs. Corbett Fisher', 'Mrs. Julius Lawrence', 'Mr. Harry R. Lewis', 'Mrs. Herringham', 'Miss E. Courtenay', 'Miss Hilda J. Hartle', 'Miss Dora Martyn', 'Miss L. A. H. Mason', 'Mrs. Ellis', 'Miss F. A. Geoghegan', 'Mrs. Stuart Hogg', 'Miss M. E. Marshall', 'Mrs. Cecil Hunt', 'Miss Mabel Kent', 'Miss C. C. Lyon', 'Miss Hankes', 'Mrs. A. K. Barfoot', 'Mrs. S. Lake', 'Miss Mary Payne', 'Mrs. Erskine Murray', 'Miss Sylvia Drew', 'Miss I. M. Cleaver', 'Mrs. B. H. Brough', 'Miss T. H. Crosfield', 'Miss Geraldine M. Clayton Watson', 'Mrs. J. Marshall', 'Miss Davenport Hill', 'Miss N. Straw', 'Mrs. Lilienfeld', 'Mrs. Henry Vigne', 'Miss Bawden', 'Mrs. H. Boyd', 'Miss Barbara Gibson', 'Miss M. Spencer', 'Miss Dinnis', 'Miss Drury', 'Miss T. Gosse', 'Miss Philippa Fawcett', 'Mr. A. G. Stevenson', 'Miss D. Jessett', 'Mrs. Manning Prentice', 'Miss Nellie Horne', 'Miss Rowlette', 'Miss Thorbjörn', 'Mrs. Ennis Richmond', 'Miss A. Preston', 'Miss Ellen Maynard', 'Mary McLachlan', 'Mrs. Marks', 'Mrs. Russell', 'Miss Bell', 'Mrs. Ayres Purdie', 'Romney & Co.', 'Miss C. C. Field', 'Madame Kirby Lunn', 'A. H. Valentine', 'Knitted Corset Co.', 'Lady Betty', 'Mora Puckle', ""Arthur's Stores"", 'Misses Davies and Janes', 'The Misses Evans', 'Miss Sullivan', 'Miss H. Veitch-Brown', 'Miss Davies', 'L. W.', 'Ark', 'Ward', ""Hutton's"", 'Mrs. Russell', ""The Women's Tea Company"", 'Miss Mildred Ransom', 'W. G. Smith', 'John Knight Ltd.', 'The Oatine Company', 'The Benduble Shoe Co.', 'Vaughan & Heather', 'Swan & Edgar', 'The Burberry', 'Debenham & Freebody', 'John Pound & Co.', 'William Owen Ld.', 'Cassell & Co.', 'Alexander & Co.', 'Harvey Nichols & C Ld.', 'Dowie & Marshall', 'C. Brooks', 'Alfred Brooks', 'The National Press Agency Ltd.', 'W. H. Smith & Son', 'George Vickers', 'John Heywood Ltd.', 'Abel Heywood & Son', 'J. Menzies & Co.', 'Eason & Son', 'Fels-Naptha', 'Charlton', 'John Knight Ltd.']",,"OCTOBER 24 , 1913"
OCTOBER 25,Hunton,Hunton Mrs. Matters,['Mrs. Matters'],,"OCTOBER 24 , 1913"
OCTOBER 27,Kirkliston,"Kirkliston ( By - election Meeting ) Speakers , Miss Lisa M. Gordon and Miss Pressley - Smith","['Miss Lisa M. Gordon', 'Miss Pressley - Smith']",,"OCTOBER 24 , 1913"
OCTOBER 27,Edinburgh - Café Hall Princes' Street,"Edinburgh - Church League Meeting - Café Hall Princes ' Street Speakers , Miss Alice Low and Rev. L. Donaldson - Chair , Canon Höernlea","['Miss Alice Low', 'Rev. L. Donaldson', 'Canon Höernlea']",,"OCTOBER 24 , 1913"
OCTOBER 28,Edinburgh - Masonic Hall - Easter Road,"Edinburgh - Masonic Hall - Easter Road- ( Rail- way - Women's Guild ) -Speaker , Miss Alice Low",['Miss Alice Low'],,"OCTOBER 24 , 1913"
OCTOBER 29,Fauldhouse - Public Hall,"Fauldhouse Public Hall- ( By - election Meet- ing ) Speaker , Miss Low - Chair , Miss E. Foggs","['Miss Low', 'Miss E. Foggs']",,"OCTOBER 24 , 1913"
OCTOBER 30,Whitburn,"Whitburn ( By - election Meeting ) - Speaker , Miss Pressley - Smith - Chair , Miss Foggs","['Miss Pressley - Smith', 'Miss Foggs']",,"OCTOBER 24 , 1913"
OCTOBER 31,"Edinburgh - 40, Shandwick Place","Edinburgh - 40 , Shandwick Place- "" At Home "" -Speaker , Miss Matters - Subject , "" Delinquent Children """,['Miss Matters'],,"OCTOBER 24 , 1913"
OCTOBER 31,Winchburgh,Winchburgh ( By - election ) Open - air Meeting - Evening -,,Open-air Meeting - Evening,"OCTOBER 24 , 1913"
OCTOBER 31,Glasgow - Charing Hall,Glasgow - Annual Meeting Charing Hall,,Annual Meeting,"OCTOBER 24 , 1913"
