Date,Location,Raw,Description,Speakers,Time,Hosts,Issue date
Unknown,London,"At the Monday after- noon meeting in London the audience was profoundly stirred , and a man expressed his intention and that of his four sons ( all of them sturdy Liberals ) of voting against the Government in consequence of the incident.","Audience was profoundly stirred by the story of the brutality inflicted upon Selina Martin in Walton Green Gaol, Liverpool. A man and his four sons expressed their intention of voting against the Government in consequence of the incident.",,,,"January 7, 1910"
Unknown,Haslingden,Nurse Bryant has been imprisoned for a month for her share in the protest in Haslingden on the occasion of Mr. Harcourt's meeting.,Nurse Bryant was imprisoned for her share in the protest on the occasion of Mr. Harcourt's meeting.,,,,"January 7, 1910"
Unknown,Manchester,"Meanwhile the action brought by Miss Davison against the Local Visiting Justices of Strangeways Gaol , Man- chester , for having the hose pipe turned on to her in prison will come on before the Manchester County Court",The action brought by Miss Davison against the Local Visiting Justices of Strangeways Gaol will come on before the Manchester County Court.,,,,"January 7, 1910"
"January 7, 1910","Queen's Hall, London","Next Monday afternoon Mrs. Pethick Lawrence will address the meeting January 7 , 1910 .",,['Mrs. Pethick Lawrence'],afternoon,,"January 7, 1910"
"January 10, 1910",Battersea Town Hall,On Mon- day ( 10th ) Miss Christabel Pankhurst will at the Town speak Hall at 8 p.m.,,['Miss Christabel Pankhurst'],8 p.m.,,"January 7, 1910"
"January 13, 1910",Battersea,The W.S.P.U. Band will advertise this on Tues- day evening .,W.S.P.U. Band to advertise the January 10 meeting,,,,"January 7, 1910"
"January 13, 1910",Fulham,Among other ways of advertising this meeting the W.S.P.U. band has been requi-sitioned for January 13 ( evening ) .,W.S.P.U. band requisitioned to advertise meeting,,evening,,"January 7, 1910"
"January 14, 1910",Battersea Town Hall,"Friday ( Jan.14 ) . Town Hall , Miss Christabel Pank- hurst .",,['Miss Christabel Pankhurst'],,,"January 7, 1910"
"January 7, 1910",Chelsea Kerrison Street,Kerrison Street . Open Air Meeting .,,,7.30,,"January 7, 1910"
"January 7, 1910",Chelsea Cedars Road,"Cedars Road , Open Air Meeting .",,,7.30,,"January 7, 1910"
"January 8, 1910",Chelsea Prince's Head,Saturday . Prince's Head .,,,7.30,,"January 7, 1910"
"January 8, 1910",Chelsea Rossbury Road,Rossbury Road .,,,7.30,,"January 7, 1910"
"January 10, 1910",Chelsea Town Hall,"Monday . - Town Hall , Miss Christabel Pankhurst .",,['Miss Christabel Pankhurst'],8,,"January 7, 1910"
"January 11, 1910",Chelsea James Grove,Tuesday . James Grove .,,,,,"January 7, 1910"
"January 7, 1910","Fulham Broughton Road, Wandsworth Bridge Road","Friday . Broughton Road , Wandsworth Bridge Road . Miss Pitfield , Miss Wright .",,"['Miss Pitfield', 'Miss Wright']",7.30,,"January 7, 1910"
"January 7, 1910","Fulham Colehill Lane, Fulham Palace Road","Colehill Lane , Fulham Palace Road , Mrs. Furley Smith , Miss Cutten .",,"['Mrs. Furley Smith', 'Miss Cutten']",7:30,,"January 7, 1910"
"January 7, 1910",Fulham Fulham Cross,"Fulham Cross , Miss Gilliatt , Mrs. Burman",,"['Miss Gilliatt', 'Mrs. Burman']",7.30,,"January 7, 1910"
"January 7, 1910",Fulham Beaufort House Schools,"Beaufort House Schools , Mrs. Lamartine Yates . Chair , Mrs. Lorsignol .",,['Mrs. Lamartine Yates'],"8
3",,"January 7, 1910"
"January 8, 1910","Fulham Broughton Road, Wandsworth Bridge Road","Saturday . Broughton Road , Wandsworth Bridge Road , Miss Naylor , Miss Glover .",,"['Miss Naylor', 'Miss Glover']",3,,"January 7, 1910"
"January 8, 1910",Fulham Effie Road,"Effe Road , Miss G. Brackenbury , Miss Wright .",,"['Miss G. Brackenbury', 'Miss Wright']",3,,"January 7, 1910"
"January 8, 1910",Fulham Kingwood Road Schools,"Kingwood Road Schools , Mrs. Lorsignol , Mrs. Furley Smith .",,"['Mrs. Lorsignol', 'Mrs. Furley Smith']",7,,"January 7, 1910"
"January 8, 1910",Fulham St. John's Church,"St. John's Church , Miss Wylie , Miss Cutten .",,"['Miss Wylie', 'Miss Cutten']",7,,"January 7, 1910"
"January 8, 1910",Fulham Effle Road,"Effle Road , Mrs. Pitfield , Miss Cutten .",,"['Mrs. Pitfield', 'Miss Cutten']",7,,"January 7, 1910"
"January 8, 1910",Fulham Greyhound Road,"Greyhound Road , Miss Jarvis , Miss Wright .",,"['Miss Jarvis', 'Miss Wright']",7,,"January 7, 1910"
"January 8, 1910",Fulham St. Dunstan's Road,"St. Dunstan's Road , Miss West , Miss Woolf .",,"['Miss West', 'Miss Woolf']",7.30,,"January 7, 1910"
"January 10, 1910","Fulham Borlington Road, New King's Road","Monday . Borlington Road , New King's Road , Mrs. Lamartine Yates , Miss Cutten .",,"['Mrs. Lamartine Yates', 'Miss Cutten']",3,,"January 7, 1910"
"January 10, 1910",Fulham Greyhound Road,"Greyhound Road , Mrs. Furley Smith , Miss Glover .",,"['Mrs. Furley Smith', 'Miss Glover']",3,,"January 7, 1910"
"January 10, 1910",Fulham St. Dunstan's Road,"St. Dunstan's Road , Miss Gilliatt , Miss Wright .",,"['Miss Gilliatt', 'Miss Wright']",3,,"January 7, 1910"
"January 10, 1910",Fulham Langford Road Schools,"Langford Road Schools , Mrs. Lorsignol . Chair , Miss West .",,['Mrs. Lorsignol'],7,,"January 7, 1910"
"January 11, 1910","Fulham Alderville Road, New King's Road","Tuesday . - Alderville Road , New King's Road , Mrs. Furley Smith , Miss Cutten .",,"['Mrs. Furley Smith', 'Miss Cutten']",8,,"January 7, 1910"
"January 11, 1910","Fulham Munster Road, Fulham Road","Munster Road , Fulham Road , Miss Pitfield , Miss Wright .",,"['Miss Pitfield', 'Miss Wright']",7.30,,"January 7, 1910"
"January 11, 1910",Fulham Raaton Road,"Raaton Road , Miss Gilliatt , Miss Glover .",,"['Miss Gilliatt', 'Miss Glover']",7.30,,"January 7, 1910"
"January 11, 1910",Fulham Fulham Palace Road Schools,"Fulham Palace Road Schools , Mrs. Lorsignol .",,['Mrs. Lorsignol'],8.30,,"January 7, 1910"
"January 12, 1910",Fulham Effie Road,"Wednesday . Effie Road , Mrs. Lamartine Yates , Miss Gilliatt .",,"['Mrs. Lamartine Yates', 'Miss Gilliatt']",7.30,,"January 7, 1910"
"January 12, 1910",Fulham Fulham Crosa,"Fulham Crosa , Miss Pitfield , Miss Cutten .",,"['Miss Pitfield', 'Miss Cutten']",7.30,,"January 7, 1910"
"January 12, 1910",Fulham Racton Road,"Racton Road , Miss Jarvis , Miss Wright .",,"['Miss Jarvis', 'Miss Wright']",7.30,,"January 7, 1910"
"January 12, 1910",Fulham New King's Road Schools,"New King's Road Schools , Mrs. Furley Smith . Chair , Mrs. Lorsignol .",,['Mrs. Furley Smith'],8,,"January 7, 1910"
"January 13, 1910","Fulham Broughton Road, Wandsworth Bridge Road","Thursday . Broughton Road , Wandsworth Bridge Road , Miss West , Miss Cutten .",,"['Miss West', 'Miss Cutten']",7.30,,"January 7, 1910"
"January 13, 1910",Fulham Parson's Green,"Parson's Green , Miss Pitfield , Miss Glover .",,"['Miss Pitfield', 'Miss Glover']",7.30,,"January 7, 1910"
"January 13, 1910",Fulham St. John's Church,"St. John's Church , Miss Gilliatt , Miss Wright .",,"['Miss Gilliatt', 'Miss Wright']",7.30,,"January 7, 1910"
"January 13, 1910",Fulham Lillie Road Schools,"Lillie Road Schools , Mrs. Lamartine Yates , Mrs. Furley Smith .",,"['Mrs. Lamartine Yates', 'Mrs. Furley Smith']",8,,"January 7, 1910"
"January 7, 1910","Kensington Junction of Portobello Road and Ladbroke Grove, W.","Friday - Junction of Portobello Road and Ladbroke Grove , W. , Miss B. Wylie , Miss Evelyn Sharp .",,"['Miss B. Wylie', 'Miss Evelyn Sharp']",7.0,,"January 7, 1910"
"January 8, 1910","Kensington Junotion of Kenley Street and Prince's Road, Notting Hill","Saturday , Junotion of Kenley Street and Prince's Road , Notting Hill , Miss Brackenbury and Miss",,['Miss Brackenbury'],7.0,,"January 7, 1910"
"January 8, 1910","Kensington Ladbroke Grove, W.","Ladbroke Grove , W.8.P.U. Drum & Fife Band .",Drum & Fife Band,,3.0,,"January 7, 1910"
"January 10, 1910",Kensington St. Mark's Hall,"Monday . - St . Mark's Hall , Mrs. Saul Solomon , Mrs. Arundel Smith , Miss Boyd . Chair , Mrs. Dates .",,"['Mrs. Saul Solomon', 'Mrs. Arundel Smith', 'Miss Boyd']",3.0,,"January 7, 1910"
"January 10, 1910","Kensington Christ Church Hall, Faraday Road","Christ Church Hall , Faraday Road , H. W. Nevinson , Esq . Miss Trim , Chair , Miss Bracken- bury .",,"['H. W. Nevinson', 'Miss Trim']",8.0,,"January 7, 1910"
"January 12, 1910","Kensington Horbury Rooms, Notting Hill Gate","Wednesday . - Horbury Rooms , Notting Hill Gate , Miss Christabel Pankhurst , LL.B. , Miss L. Garrett Anderson , M.D. Chair , Mrs. Bates .",,"['Miss Christabel Pankhurst', 'Miss L. Garrett Anderson']",8.0,,"January 7, 1910"
"January 14, 1910","Kensington Ladbroke Hall, Notting Hill","Friday ( Jan. 14 ) .- Ladbroke Hall , Notting Hill , F. W. Pethick Lawrence , Esq . , etc. Chair , Miss Evelyn Sharp .",,['F. W. Pethick Lawrence'],3.0,,"January 7, 1910"
"January 7, 1910","Marylebone Circus Road, St. John's Wood","Friday Circus Road , St. John's Wood , Mrs. Baldock , Miss D. Dugdale .",,"['Mrs. Baldock', 'Miss D. Dugdale']",11.30,,"January 7, 1910"
"January 7, 1910",Marylebone Bolsover Street,"Bolsover Street , Miss Davison and Miss Blun- dell .",,"['Miss Davison', 'Miss Blundell']",8.15,,"January 7, 1910"
"January 8, 1910",Marylebone St . Marylebone Lane,"Saturday . - St . Marylebone Lane , Mrs. Baldock ..",,['Mrs. Baldock'],1.30,,"January 7, 1910"
"January 8, 1910",Marylebone Nutford Place,"Nutford Place , Miss Blundell , Miss Fagg .",,"['Miss Blundell', 'Miss Fagg']",8.15,,"January 7, 1910"
"January 11, 1910",Marylebone Bolsover Street,"Tuesday . - Bolsover Street , Mrs. Baldock .",,['Mrs. Baldock'],11.30,,"January 7, 1910"
"January 11, 1910","Marylebone Circus Road, St. John's Wood","Circus Road , St. John's Wood , Mrs. Nourse ,",,['Mrs. Nourse'],8,,"January 7, 1910"
"January 12, 1910",Marylebone South Street,"Wednesday . South Street , Mrs. Baldock .",,['Mrs. Baldock'],8,,"January 7, 1910"
"January 12, 1910",Marylebone Nutford Place,"Nutford Place , Miss Blundell .",,['Miss Blundell'],8.15,,"January 7, 1910"
"January 13, 1910",Marylebone Bolsover Street,"Thursday - Bolsover Street , Mrs. Baldock .",,['Mrs. Baldock'],3.15,,"January 7, 1910"
"January 13, 1910",Marylebone St . Marylebone Lane,"St . Marylebone Lane , Mrs. Nourse .",,['Mrs. Nourse'],12,,"January 7, 1910"
"January 12, 1910","St. Pancras Percy Hall, Percy Street","Wednesday , -- Percy Hall , Percy Street ( women only ) .",women only,,3.0,,"January 7, 1910"
"January 13, 1910",St. Pancras Prospect Terrace Schools,"Thursday . - Prospect Terrace Schools , Mrs. Pethick Lawrence .",,['Mrs. Pethick Lawrence'],8.0,,"January 7, 1910"
"January 10, 1910",West Ham Earlham Hall,"Next Monday , Miss Leonora Tyson will be the speaker at the Earl- ham Hall meeting at 8 pm .",,['Miss Leonora Tyson'],8 pm,,"January 7, 1910"
"January 7, 1910",Chelsea Sloane Square,"Friday . Sloane Square , Miss Naylor , Miss Barwell , 7.30",,"['Miss Naylor', 'Miss Barwell']",7.30,,"January 7, 1910"
"January 7, 1910",Chelsea Battersea Square,Battersea Square . 7.30,,,7.30,,"January 7, 1910"
"January 7, 1910",Chelsea Aliwal Road,Aliwal Road . 7.30,,,7.30,,"January 7, 1910"
"January 7, 1910","Chelsea Nine E ms Baths, Small Hall","Nine E ms Baths , Small Hall ( women only ) . 3",women only,,3,,"January 7, 1910"
"January 12, 1910",Chelsea Cedars Road,Wednesday . Cedars Road .,,,3,,"January 7, 1910"
