Date,Location,Raw,Description,Speakers,Hosts,Issue date
APRIL 20,Camberley - Oddfellows' Hall,APRIL 20 . Camberley - Oddfellows ' Hall Annual Meeting - Miss Nina Boyle . 3.0,Annual Meeting,['Miss Nina Boyle'],,"APRIL 20, 1911"
APRIL 22,Malton - Market Place,APRIL 22 . Malton - Market Place - Open - air Meeting - Mrs . Merivale Mayer . 6.30,Open - air Meeting,['Mrs. Merivale Mayer'],,"APRIL 20, 1911"
APRIL 24,Knutsford,"APRIL 24 . Knutsford Society - Annual Meeting at 85 , Deansgate Arcade , Manchester . 3.30",Annual Meeting,[],,"APRIL 20, 1911"
APRIL 24,Sevenoaks - Kippington Parish Room,Sevenoaks - Kippington Parish Room - Mrs . Rackham .,,['Mrs. Rackham'],,"APRIL 20, 1911"
APRIL 24,"Leeds - Congregational Church, Oak Road","Leeds - Congregational Church , Oak Road - Mrs . Parrish .",,['Mrs. Parrish'],,"APRIL 20, 1911"
APRIL 26,Liscard Concert Hall,"APRIL 26 . Liscard Concert Hall - Mrs . Fawcett , Mrs. Allan Bright ( chair ) . 8.0",,"['Mrs. Fawcett', 'Mrs. Allan Bright']",,"APRIL 20, 1911"
APRIL 26,Baldock Town Hall,"Baldock Town Hall - Miss A. M. Royden , Rev. H. Cubbon , M.A. 8.15",,"['Miss A. M. Royden', 'Rev. H. Cubbon']",,"APRIL 20, 1911"
APRIL 26,"Bristol - 9, Beaufort Road, Clifton","Bristol - 9 , Beaufort Road , Clifton - Mrs . Cross ' Working Party . 3.0",Working Party,,['Mrs. Cross'],"APRIL 20, 1911"
APRIL 26,Cuckfield Queen's Hall,Cuckfield Queen's Hall - Miss A. Martin .,,['Miss A. Martin'],,"APRIL 20, 1911"
APRIL 27,"Oldham Music Room, Werneth Park","APRIL 27 . Oldham Music Room , Werneth Park - Social for members and friends . 7.30",Social for members and friends,,,"APRIL 20, 1911"
APRIL 27,"Leeds - Co - operative Guild, Burley","Leeds - Co - operative Guild , Burley - Mrs . Parrish .",,['Mrs. Parrish'],,"APRIL 20, 1911"
APRIL 27,Goole St. Mary's Hall,Goole St. Mary's Hall - Miss I. O. Ford .,,['Miss I. O. Ford'],,"APRIL 20, 1911"
APRIL 27,"Redhill King's Hall, Colman Institute","Redhill King's Hall , Colman Institute Annual Meeting of Redhill , Reigate and District Society - Miss Nina Boyle . 7.30","Annual Meeting of Redhill, Reigate and District Society",['Miss Nina Boyle'],,"APRIL 20, 1911"
APRIL 28,Letchworth - Ashwell County Council School,APRIL 28 . Letchworth - Ashwell County Council School - Mrs . Rackham . 8.0,,['Mrs. Rackham'],,"APRIL 20, 1911"
MAY 1,Leeds - Salem Congregational Chapel,MAY 1 . Leeds - Salem Congregational Chapel - Mrs . Parrish . 8.0,,['Mrs. Parrish'],,"APRIL 20, 1911"
MAY 3,Darlington - Temperance Institute,MAY 3 . Darlington - Temperance Institute - Miss I. O. Ford .,,['Miss I. O. Ford'],,"APRIL 20, 1911"
MAY 3,Shildon - Friends' Meeting House,"Shildon - Friends ' Meeting House - Miss Ford , M. Watson , Esq . , J.P. ( in the chair ) .",,"['Miss Ford', 'M. Watson, Esq., J.P.']",,"APRIL 20, 1911"
MAY 4,Cambridge - Guildhall,"MAY 4 . Cambridge - Guildhall - Sir J. Cockburn , Mrs. Corbett Ashby , Mr. G. Lansbury , M.P. , Mrs. Nevinson .",,"['Sir J. Cockburn', 'Mrs. Corbett Ashby', 'Mr. G. Lansbury', 'Mrs. Nevinson']",,"APRIL 20, 1911"
MAY 4,Croydon - Large Public Hall,Croydon - Large Public Hall - Mass Meeting of Suffrage Societies .,Mass Meeting of Suffrage Societies,,,"APRIL 20, 1911"
MAY 4,Leamington - Birch's Music Room,Leamington - Birch's Music Room - Franchise Club . 8.0,Franchise Club,,,"APRIL 20, 1911"
APRIL 21,"London - North Lambeth, 28a, Wincott Street","April 21 : North Lambeth , 28a , Wincott Street , S.E. , Debate , Miss Emily Hill v . Mr. Samuels ( A.-S. L. ) .",Debate,"['Miss Emily Hill', 'Mr. Samuels']",,"APRIL 20, 1911"
APRIL 21,Edmonton - Town Hall,"Edmonton , Town Hall , Mrs. G. S. Abbot .",,['Mrs. G. S. Abbot'],,"APRIL 20, 1911"
APRIL 22,"London - Norwood, Suffrage Offices","April 22 : Norwood , Suffrage Offices , Miss Eunice Murray , Miss Abadam .",,"['Miss Eunice Murray', 'Miss Abadam']",,"APRIL 20, 1911"
APRIL 22,"London - Highgate and N. St. Pancras, Corner of Pratt Street, Camden Town","Highgate and N. St. Pancras , Corner of Pratt Street , Camden Town , J. Malcolm Mitchell , Esq . , Mrs. McRae .",,"['J. Malcolm Mitchell, Esq.', 'Mrs. McRae']",,"APRIL 20, 1911"
APRIL 22,"Windsor - Reception Room, Guildhall","Windsor , Reception Room , Guildhall , "" At Home , "" Miss A. H. Ward .","""At Home""",['Miss A. H. Ward'],,"APRIL 20, 1911"
APRIL 22,"London - Hampstead, The Library, Prince Arthur Road","Hampstead , The Library , Prince Arthur Road , Debate , Mr. Chomeley v . Mr. G. Calderon . Chairman , J. S. Fletcher , Esq . , M.P.",Debate,"['Mr. Chomeley', 'Mr. G. Calderon']",,"APRIL 20, 1911"
APRIL 26,"London - Kingston, Market Place","April 26 : Kingston , Market Place , Open - air Meeting , Speakers from Men's League .",Open - air Meeting,"[""Speakers from Men's League""]",,"APRIL 20, 1911"
APRIL 26,"London - Portman Rooms, Baker Street","Portman Rooms , Baker Street , "" At Home , "" Miss Adler , L.C.C. , Miss Boyle , and others .","""At Home""","['Miss Adler', 'Miss Boyle', 'and others']",,"APRIL 20, 1911"
APRIL 27,"London - Lambeth, Moffat Institute","April 27 : Lambeth , Moffat , Institute , Miss J. H. Thomson , B.A. 3.30",,['Miss J. H. Thomson'],,"APRIL 20, 1911"
APRIL 27,"London - Esher and E. Molesey, The Fountain","Esher and E. Molesey , The Fountain , Open - air Meet- 8.0 ing , Miss A. Dawson .",Open - air Meeting,['Miss A. Dawson'],,"APRIL 20, 1911"
APRIL 29,"London - Highgate and N. St. Pancras, Cobden Statue, Camden Town","April 29 : Highgate and N. St. Pancras , Cobden Statue , Camden Town , Miss Ruth Young , Miss Davies . 3.30",,"['Miss Ruth Young', 'Miss Davies']",,"APRIL 20, 1911"
MAY 1,"London - Balham, Assembly Rooms","May 1 : Balham , Assembly Rooms , The Lady Frances Balfour . 8.0",,['The Lady Frances Balfour'],,"APRIL 20, 1911"
MAY 2,"London - Willesden, Furness Road Council Schools","May 2 : Willesden , Furness Road Council Schools , Mrs. Philip Snowden , Mr. L. Housman , chair W. B. Luke , Esq . , J.P. 8.0",,"['Mrs. Philip Snowden', 'Mr. L. Housman']",,"APRIL 20, 1911"
