Date,Location,Raw,Description,Hosts,Speakers,Time,Issue date
MARCH 25,"40, Shandwick Place - Edinburgh","MARCH 25. Edinburgh - 40, Shandwick Place - At Home - Mrs. Joseph Dobbie.",At Home,['Mrs. Joseph Dobbie'],,,1910-03-24
MARCH 30,Bull Ring - Birmingham,MARCH 30. Birmingham - Bull Ring.,,,,,1910-03-24
MARCH 31,Willesden - London,MARCH 31. London (Willesden) - Members' Meeting - Miss Palliser.,Members' Meeting,,['Miss Palliser'],,1910-03-24
MARCH 31,Liscard Concert Hall - Wallasey,MARCH 31. Wallasey - Liscard Concert Hall - At Home - Miss Ashton.,At Home,,['Miss Ashton'],,1910-03-24
MARCH 31,Market - Rugby,MARCH 31. Rugby - Market - Miss Gardner.,,,['Miss Gardner'],,1910-03-24
APRIL 1,Co-operative Hall - Rugby,APRIL 1. Rugby - Co-operative Hall - Miss Fraser.,,,['Miss Fraser'],,1910-03-24
APRIL 1,Town Hall - Rugby,"APRIL 1. Rugby - Town Hall - Miss Fraser, Miss Gardner.",,,"['Miss Fraser', 'Miss Gardner']",,1910-03-24
APRIL 1,"Salford, S.","APRIL 1. Salford, S. - Open-air Meeting - Miss Robertson.",Open-air Meeting,,['Miss Robertson'],,1910-03-24
APRIL 2,Parr Hall - Warrington,"APRIL 2. Warrington - Parr Hall - Mrs. Snowden, Miss Abadam.",,,"['Mrs. Snowden', 'Miss Abadam']",,1910-03-24
APRIL 4,Textile Hall - Bury,"APRIL 4. Bury - Textile Hall - Mrs. Snowden, Miss Ashton.",,,"['Mrs. Snowden', 'Miss Ashton']",,1910-03-24
APRIL 4,Heywood,APRIL 4. Heywood - Members' Meeting - Miss Robertson.,Members' Meeting,,['Miss Robertson'],,1910-03-24
APRIL 5,Priory Rooms - Coventry,APRIL 5. Coventry - Priory Rooms - Miss Gardner.,,,['Miss Gardner'],,1910-03-24
APRIL 6,Windsor and Eton - London,APRIL 6. London (Windsor and Eton) - Drawing-room Meeting - Mrs. Stanbury.,Drawing-room Meeting,['Mrs. Stanbury'],,,1910-03-24
APRIL 6,Windsor and Eton - London,APRIL 6. London (Windsor and Eton) - Drawing-room Meeting.,Drawing-room Meeting,,,,1910-03-24
