Date,Location,Raw,Hosts,Speakers,Description,Issue date
JULY 14,London (N. Hackney),"London (N. Hackney)-Mrs. Coumbe's Garden Party, 69, Lordship Road-Mrs. Fawcett.",['Mrs. Coumbe'],['Mrs. Fawcett'],,"JULY 14 , 1910"
JULY 14,Shrewsbury,Shrewsbury-Mrs. Harley's At Home and Garden Meeting-Miss Taylor.,['Mrs. Harley'],['Miss Taylor'],,"JULY 14 , 1910"
JULY 14,Leeds,"Leeds-Mrs. Hess' Drawing-room Meeting-Miss I. O. Ford, Miss Fielden.",['Mrs. Hess'],"['Miss I. O. Ford', 'Miss Fielden']",,"JULY 14 , 1910"
JULY 14,Brighton,"Brighton-Beeding-Miss Basden, Miss Duncan.",,"['Miss Basden', 'Miss Duncan']",,"JULY 14 , 1910"
JULY 14,London (Chiswick),"London (Chiswick)-Mrs. Macgregor's Drawing-room Meeting-Major Gorsett, Miss C. Corbett.",['Mrs. Macgregor'],"['Major Gorsett', 'Miss C. Corbett']",,"JULY 14 , 1910"
JULY 14,London (Hampstead Heath),London (Hampstead Heath)-Flagstaff-Miss C. Corbett.,,['Miss C. Corbett'],,"JULY 14 , 1910"
JULY 14,Newcastle,"Newcastle-33, Grosvenor Place-Working Party.",,,Working Party,"JULY 14 , 1910"
JULY 14,Cuckfield,"Cuckfield-Horsted Keynes-Mrs. Francis, Miss Merrifield.",,"['Mrs. Francis', 'Miss Merrifield']",,"JULY 14 , 1910"
JULY 15,Birmingham,"Birmingham-Botanical Gardens, Edgbaston-Pastoral Plays.",,,Pastoral Plays,"JULY 14 , 1910"
JULY 15,Brighton,"Brighton-Rottingdean-Miss Bryan, Miss Duncan.",,"['Miss Bryan', 'Miss Duncan']",,"JULY 14 , 1910"
JULY 16,Birmingham,Birmingham-Solihull-Morris Dances and Folk Songs.,,,Morris Dances and Folk Songs,"JULY 14 , 1910"
JULY 16,Cheltenham,"Cheltenham-Garden Meeting-Sandford Lawn, Bath Road.",,,,"JULY 14 , 1910"
JULY 16,London (Highgate),London (Highgate)-Parliament Hill Fields-Mrs. Bowden Smith.,,['Mrs. Bowden Smith'],,"JULY 14 , 1910"
JULY 16,York,York-Hon. Mrs. Wilkinson's Garden Party-Miss Phillips.,['Hon. Mrs. Wilkinson'],['Miss Phillips'],,"JULY 14 , 1910"
JULY 19,Farnham,Farnham-Annual General Meeting.,,,,"JULY 14 , 1910"
JULY 19,London (Sydenham),London (Sydenham)-I.L.P. Women's Suffrage Meeting-Mrs. Archibald Little,,['Mrs. Archibald Little'],,"JULY 14 , 1910"
JULY 20,Southsea,Southsea-Garden Meeting and Cake Sale-Mr. Cameron.,,['Mr. Cameron'],,"JULY 14 , 1910"
JULY 20,London (Hampstead),"London (Hampstead)-Library, Prince Arthur Road-Lady Strachey, Lady Frances Balfour.",,"['Lady Strachey', 'Lady Frances Balfour']",,"JULY 14 , 1910"
JULY 20,Nottingham,"Nottingham-36, Bridlesmith Gate-At Home-Tea and Cocoa.",,,,"JULY 14 , 1910"
JULY 20,London (S. Kensington),London (S. Kensington)-Mrs. Hay Chapman's Drawing-room Meeting-Miss I. O. Ford.,['Mrs. Hay Chapman'],['Miss I. O. Ford'],,"JULY 14 , 1910"
JULY 25,London (Windsor),London (Windsor)-Grove Road Schoolroom-At Home-Miss Cockle.,,['Miss Cockle'],,"JULY 14 , 1910"
JULY 27,Nottingham,"Nottingham-36, Bridlesmith Gate-Tea and Cocoa.",,,,"JULY 14 , 1910"
