Date,Location,Raw,Speakers,Description,Issue date
NOVEMBER 21,Balham,"Balham - Open - air at corner of Ormsby Road , Balham High Road - Speaker , Miss Agnes Dawson",['Miss Agnes Dawson'],,"NOVEMBER 21 , 1913"
NOVEMBER 21,Islington,"Islington - Suffrage Club at Barnsbury Hall , Upper Street",,Suffrage Club,"NOVEMBER 21 , 1913"
NOVEMBER 21,Westminster,"London Society's Reception Westminster Palace Hotel Speakers , Miss Emily Hill , P.L.G. , and Mrs. F. T. Swanwick , M.A. - Chair , Miss Helen Ward","['Miss Emily Hill', 'Mrs. F. T. Swanwick', 'Miss Helen Ward (Chair)']",,"NOVEMBER 21 , 1913"
NOVEMBER 21,Walthamstow,"Walthamstow - Public Meeting in the Waltham- stow Public Baths - Chairman , the Right Hon . Sir John Simon , K.C.V.O. , K.C. , M.P. - Speakers Mrs. Philip Snowden and Mr. R. Cholmeley.- Tickets , 1s . , 6d . , and 3d .","['Sir John Simon (Chair)', 'Mrs. Philip Snowden', 'Mr. R. Cholmeley']",,"NOVEMBER 21 , 1913"
NOVEMBER 21,Caxton Hall,Caxton Hall - Annual meeting of Members of the London Society,,Annual meeting of Members of the London Society,"NOVEMBER 21 , 1913"
NOVEMBER 21,Hammersmith,"Hammersmith Amalgamated Society of Car- penters and Joiners , at the Bush Hotel , Gold- hawk Road - Speaker , Mrs. Stanbury",['Mrs. Stanbury'],,"NOVEMBER 21 , 1913"
NOVEMBER 21,Hackney,"Central and South Hackney - Meeting at North- fields School , Stamford Hill - Hostess , Miss Alice James Speaker , Mrs. Swanwick - Chair , Miss Campbell",,,"NOVEMBER 21 , 1913"
NOVEMBER 21,Croydon,"Croydon - 34a , The Arcade , High Street- "" At Home "" -Miss Hull , on "" Facts about Women in India """,['Miss Hull'],,"NOVEMBER 21 , 1913"
NOVEMBER 21,Hoxton,"Hoxton Mothers ' Meeting , Maurice Hostel , 51 , Herbert Street - Speaker , Mrs. Rogers",,,"NOVEMBER 21 , 1913"
NOVEMBER 21,Hackney,"S. Hill- Hackney Northfield , Stamford Hostess , Miss Alice James - Chair , Miss Camp- bell - Speaker , Mrs. Swanwick , M.A. , "" Women's Suffrage and Social Reform """,['Mrs. Swanwick'],,"NOVEMBER 21 , 1913"
NOVEMBER 21,Brixton,"S. London- "" At Home "" -Trade Union Hall , 30 , Brixton Road - Lantern lecture - Speaker , Miss Hibbert Ware , "" Pioneers of Education "" Chair Mrs. Spring Rice","['Miss Hibbert Ware', 'Mrs. Spring Rice (Chair)']",,"NOVEMBER 21 , 1913"
NOVEMBER 25,Bethnal Green,"Bethnal Green Meeting at St Paul's Insti- tute , St. Paul's Church - Speaker , Mr. T. Ernst Jackson , D.S.S.",,,"NOVEMBER 21 , 1913"
NOVEMBER 25,Camden Town,"and East St. Pancras - Women's Liberal Labour Association , at Gladstone House , 23 , High Street , Camden Town",,,"NOVEMBER 21 , 1913"
NOVEMBER 25,Highgate,"Highgate Drawing room Meeting - 7 , Brook- field Road , Highgate - Hostess , Mrs. Burr- Chair , Mrs. Ronald Garrett - Speaker , Mrs. Oliver Strachey",,,"NOVEMBER 21 , 1913"
NOVEMBER 25,Richmond,"Richmond - Independent Labour Party meet- ing , 119 , Kew Road , Richmond - Speaker , Mrs. Stanbury",,,"NOVEMBER 21 , 1913"
NOVEMBER 25,Shoreditch,Shoreditch - Mothers ' Meeting at St. Leonard's Church Room ( next to Shoreditch Church ),,,"NOVEMBER 21 , 1913"
