Date,Location,Raw,Description,Speakers,Issue date
FEBRUARY 27,Balham Corner of Ormeley Road and High Road,Balham Corner of Ormeley Road and High Road Open - air Meeting,Open - air Meeting,,"FEBRUARY 27 , 1914"
FEBRUARY 27,"Chiswick - 15, Essex Place","Chiswick - 15, Essex Place Adult School Meeting",Adult School Meeting,,"FEBRUARY 27 , 1914"
FEBRUARY 27,"Islington Barnsbury Hall, Upper Street","Islington Barnsbury Hall , Upper Street- Discussion on "" Friends of Women's Suffrage ""","Discussion on "" Friends of Women's Suffrage """,,"FEBRUARY 27 , 1914"
FEBRUARY 27,Walthamstow - Pioneer Institute,Walthamstow - Pioneer Institute Annual Business Meeting of the Branch - Election of Officers and Committee,,,"FEBRUARY 27 , 1914"
FEBRUARY 27,Westminster Palace Hotel,"Westminster Palace Hotel - Public Recep- tion Miss C. Black , Miss C. Marshall on The N.U. Council Meeting "" -Mr . H. Cawby and Mr. A. Whyte Chair , Mrs. Spencer Graves",,"['Miss C. Black', 'Miss C. Marshall', 'Mr. H. Cawby', 'Mr. A. Whyte', 'Mrs. Spencer Graves (Chair)']","FEBRUARY 27 , 1914"
MARCH 1,"Walthamstow - Winchester House, Shernhall Street","Walthamstow - Winchester House , Shernhall Street Meeting of Adult School - Mrs . Lister on "" Our Future Citizens """,,['Mrs. Lister'],"FEBRUARY 27 , 1914"
MARCH 2,"Deptford Central Hall, Creek Road","Deptford Central Hall , Creek Road- Women's Meeting - Speaker , Mrs. Ford Smith",,['Mrs. Ford Smith'],"FEBRUARY 27 , 1914"
MARCH 2,Epsom Sweated Industries Exhibition,"Epsom Sweated Industries Exhibition , with demonstrations by workers - Speakers , Mrs. Heaton ( Secy . C.S.U. Research Committee ) , Mrs. Homan , Mrs. Stephens , the Rev. A. M. Chirgwin - Chair , the Rev. W. Bainbridge , who will open the Exhibition at 3.0. Lantern lecture by Mr. T. H. Norman- Admission free - Collection",,"['Mrs. Heaton', 'Mrs. Homan', 'Mrs. Stephens', 'Rev. A. M. Chirgwin', 'Mr. T. H. Norman', 'Rev. W. Bainbridge (Chair)']","FEBRUARY 27 , 1914"
MARCH 3,"Central and South Hackney - 216, Mare Street","Central and South Hackney - 216 , Mare Street -Liberal Association - Debate - Speakers , Miss Mildred Ransom and Miss Mabel Smith",,"['Miss Mildred Ransom', 'Miss Mabel Smith']","FEBRUARY 27 , 1914"
MARCH 3,"West Southwark - 294, Borough High Street","West Southwark - 294 , Borough High Street- Unionist Association - Speaker , Miss Helen Ward",,['Miss Helen Ward'],"FEBRUARY 27 , 1914"
MARCH 4,"Chelsea - Sydney Hall, Pond Place","Chelsea - Sydney Hall , Pond Place - Enter- tainment and Music - Suffrage Speech",,,"FEBRUARY 27 , 1914"
MARCH 4,"Highgate National Liberal Association- Corner of Fairbridge Road, Upper Holloway Road","Highgate National Liberal Association- Corner of Fairbridge Road , Upper Holloway Road Meeting of Highgate Branch of Union af Shop Assistants",,,"FEBRUARY 27 , 1914"
MARCH 4,Wimbledon St. Mark's Hall,"Wimbledon St. Mark's Hall - Speakers , Mrs. Fawcett , LL.D. , Mrs Oliver Strachey , Mr. Perkins , Miss N. W. Hughes - Chair , Mr. H. N. Ellis",,"['Mrs. Fawcett', 'Mrs Oliver Strachey', 'Mr. Perkins', 'Miss N. W. Hughes', 'Mr. H. N. Ellis (Chair)']","FEBRUARY 27 , 1914"
MARCH 5,"St. George's, Hanover Square - 12, Chantry House, Ecclestone Street","St. George's , Hanover Square - 12 , Chantry House , Ecclestone Street - Drawing - room Meet- ing Hostesses , the Misses Trollope - Speaker , Miss Hay - Cooper - Chair , Mrs. Savory",,"['Miss Hay-Cooper', 'Mrs. Savory (Chair)']","FEBRUARY 27 , 1914"
MARCH 5,"West St. Pancras - 11, St. Mark's Square, Regent's Park","West St. Pancras - 11 , St. Mark's Square , Regent's Park - Members ' Meeting Speaker , Miss Rinder",,['Miss Rinder'],"FEBRUARY 27 , 1914"
MARCH 5,Wimbledon - 9. Ridgway Gardens,"Wimbledon - 9 . Ridgway Gardens - Study Circle - Leader , Miss Pares",,['Miss Pares'],"FEBRUARY 27 , 1914"
MARCH 6,"Islington - Barnsbury Hall, Upper Street","Islington - Barnsbury Hall , Upper Street- Suffrage Club - Speaker , Miss Mackay ( Presby- terian Women's Settlement )",,['Miss Mackay'],"FEBRUARY 27 , 1914"
MARCH 6,"North Hackney - 148, Stamford Hill","North Hackney - 148 , Stamford Hill - Drawing- room Meeting - Hostess , Mrs. Petty - Speaker , Mrs. Ford Smith",,"['Mrs. Ford Smith', 'Mrs. Petty (Hostess)']","FEBRUARY 27 , 1914"
FEBRUARY 27,Barnsley - Peel Square,"Barnsley - Peel Square -- Speaker , Mr. Thatcher",,['Mr. Thatcher'],"FEBRUARY 27 , 1914"
FEBRUARY 27,Bolton Spinners' Hall,"Bolton Spinners ' Hall Annual Meeting Speaker , Miss H. Fraser - Chair , Mr. H. M. Harwood , J.P. - Open to the public",,"['Miss H. Fraser', 'Mr. H. M. Harwood (Chair)']","FEBRUARY 27 , 1914"
FEBRUARY 27,"Hyde - Slack Mills, Queen Street","Hyde - Slack Mills , Queen Street - Dinner Hour Meeting - Speaker , Mrs. Chew",,['Mrs. Chew'],"FEBRUARY 27 , 1914"
